Orthogroup	MHP_J_genes	MHP_ES2L_genes
OG0000507	MHJ_RS00950	HZK19_RS00950
OG0000508	MHJ_RS00230	HZK19_RS00235
OG0000509	MHJ_RS00265	HZK19_RS00270
OG0000510	MHJ_RS00275	HZK19_RS00280
OG0000511	MHJ_RS00410	HZK19_RS00415
OG0000513	MHJ_RS03395	HZK19_RS03475
OG0000514	MHJ_RS02830	HZK19_RS02825
OG0000515	MHJ_RS01535	HZK19_RS01530
OG0000516	MHJ_RS01965	HZK19_RS01975
OG0000517	MHJ_RS00065	HZK19_RS00065
OG0000518	MHJ_RS03080	HZK19_RS03145
OG0000519	MHJ_RS00760	HZK19_RS00760
OG0000520	MHJ_RS00885	HZK19_RS00885
OG0000521	MHJ_RS00245	HZK19_RS00250
OG0000522	MHJ_RS00280	HZK19_RS00285
OG0000523	MHJ_RS03335	HZK19_RS03410
OG0000524	MHJ_RS02635	HZK19_RS02640
OG0000525	MHJ_RS03305	HZK19_RS03375
OG0000526	MHJ_RS03870	HZK19_RS03755
OG0000527	MHJ_RS03865	HZK19_RS01730
OG0000528	MHJ_RS01970	HZK19_RS01980
OG0000529	MHJ_RS02190	HZK19_RS02210
OG0000530	MHJ_RS02290	HZK19_RS02315
OG0000531	MHJ_RS01370	HZK19_RS01365
OG0000532	MHJ_RS01585	HZK19_RS01590
OG0000533	MHJ_RS00585	HZK19_RS00590
OG0000534	MHJ_RS00360	HZK19_RS00365
OG0000535	MHJ_RS00045	HZK19_RS00045
OG0000536	MHJ_RS03510	HZK19_RS03590
OG0000537	MHJ_RS00705	HZK19_RS00700
OG0000538	MHJ_RS01095	HZK19_RS01100
OG0000539	MHJ_RS00190	HZK19_RS00200
OG0000540	MHJ_RS02600	HZK19_RS02605
OG0000541	MHJ_RS02680	HZK19_RS02685
OG0000542	MHJ_RS00330	HZK19_RS00335
OG0000544	MHJ_RS01225	HZK19_RS01215
OG0000545	MHJ_RS01770	HZK19_RS01785
OG0000546	MHJ_RS02755	HZK19_RS02755
OG0000547	MHJ_RS02885	HZK19_RS02875
OG0000548	MHJ_RS01550	HZK19_RS01560
OG0000549	MHJ_RS03295	HZK19_RS03365
OG0000550	MHJ_RS03430	HZK19_RS03510
OG0000551	MHJ_RS02965	HZK19_RS02945
OG0000552	MHJ_RS03115	HZK19_RS03180
OG0000553	MHJ_RS02650	HZK19_RS02655
OG0000554	MHJ_RS02335	HZK19_RS02360
OG0000555	MHJ_RS03945	HZK19_RS02880
OG0000557	MHJ_RS01235	HZK19_RS01230
OG0000558	MHJ_RS01205	HZK19_RS01195
OG0000559	MHJ_RS01645	HZK19_RS01670
OG0000560	MHJ_RS01760	HZK19_RS01770
OG0000561	MHJ_RS01080	HZK19_RS01085
OG0000562	MHJ_RS01765	HZK19_RS01775
OG0000563	MHJ_RS01750	HZK19_RS01760
OG0000564	MHJ_RS01260	HZK19_RS03725
OG0000565	MHJ_RS01820	HZK19_RS01835
OG0000566	MHJ_RS01810	HZK19_RS01815
OG0000567	MHJ_RS01780	HZK19_RS01790
OG0000568	MHJ_RS00665	HZK19_RS00660
OG0000569	MHJ_RS01210	HZK19_RS01200
OG0000570	MHJ_RS01215	HZK19_RS01205
OG0000571	MHJ_RS01220	HZK19_RS01210
OG0000572	MHJ_RS01240	HZK19_RS01235
OG0000573	MHJ_RS01640	HZK19_RS01665
OG0000574	MHJ_RS01280	HZK19_RS01275
OG0000575	MHJ_RS01195	HZK19_RS01185
OG0000576	MHJ_RS03625	HZK19_RS01615
OG0000577	MHJ_RS02620	HZK19_RS02625
OG0000578	MHJ_RS02645	HZK19_RS02650
OG0000579	MHJ_RS01740	HZK19_RS01750
OG0000580	MHJ_RS02760	HZK19_RS02760
OG0000581	MHJ_RS01725	HZK19_RS01735
OG0000582	MHJ_RS03835	HZK19_RS01225
OG0000583	MHJ_RS01630	HZK19_RS01655
OG0000585	MHJ_RS03590	HZK19_RS02180
OG0000586	MHJ_RS01620	HZK19_RS01635
OG0000587	MHJ_RS04025	HZK19_RS03875
OG0000588	MHJ_RS01600	HZK19_RS01610
OG0000589	MHJ_RS03650	HZK19_RS02120
OG0000591	MHJ_RS03990	HZK19_RS03885
OG0000592	MHJ_RS02610	HZK19_RS02615
OG0000593	MHJ_RS03495	HZK19_RS03575
OG0000594	MHJ_RS01200	HZK19_RS01190
OG0000595	MHJ_RS03020	HZK19_RS02965
OG0000597	MHJ_RS03015	HZK19_RS02960
OG0000601	MHJ_RS01755	HZK19_RS01765
OG0000602	MHJ_RS01990	HZK19_RS02005
OG0000606	MHJ_RS01730	HZK19_RS01740
OG0000615	MHJ_RS02655	HZK19_RS02660
OG0000621	MHJ_RS03985	HZK19_RS03880
