Orthogroup	MHP_J_genes	MHP_UFV02_genes
OG0000503	MHJ_RS00735	FEF31_RS00415
OG0000504	MHJ_RS00870	FEF31_RS00550
OG0000505	MHJ_RS00905	FEF31_RS00585
OG0000506	MHJ_RS00915	FEF31_RS00595
OG0000507	MHJ_RS00950	FEF31_RS00630
OG0000508	MHJ_RS00230	FEF31_RS03520
OG0000509	MHJ_RS00265	FEF31_RS03555
OG0000510	MHJ_RS00275	FEF31_RS03565
OG0000511	MHJ_RS00410	FEF31_RS00095
OG0000512	MHJ_RS02510	FEF31_RS02295
OG0000513	MHJ_RS03395	FEF31_RS03100
OG0000514	MHJ_RS02830	FEF31_RS02600
OG0000515	MHJ_RS01535	FEF31_RS01240, FEF31_RS01235
OG0000516	MHJ_RS01965	FEF31_RS04490
OG0000517	MHJ_RS00065	FEF31_RS03350
OG0000518	MHJ_RS03080	FEF31_RS03675
OG0000519	MHJ_RS00760	FEF31_RS00440
OG0000520	MHJ_RS00885	FEF31_RS00565
OG0000521	MHJ_RS00245	FEF31_RS03535
OG0000522	MHJ_RS00280	FEF31_RS03570
OG0000523	MHJ_RS03335	FEF31_RS03035
OG0000524	MHJ_RS02635	FEF31_RS02410
OG0000525	MHJ_RS03305	FEF31_RS04585
OG0000526	MHJ_RS03870, MHJ_RS01785	FEF31_RS01585
OG0000527	MHJ_RS03865	FEF31_RS01525
OG0000528	MHJ_RS01970	FEF31_RS01760
OG0000529	MHJ_RS02190	FEF31_RS01980
OG0000530	MHJ_RS02290	FEF31_RS02080
OG0000531	MHJ_RS01370	FEF31_RS01060
OG0000532	MHJ_RS01585	FEF31_RS01290
OG0000533	MHJ_RS00585	FEF31_RS00260
OG0000534	MHJ_RS00360	FEF31_RS00045
OG0000535	MHJ_RS00045	FEF31_RS04655
OG0000536	MHJ_RS03510	FEF31_RS03215
OG0000537	MHJ_RS00705	FEF31_RS00380
OG0000538	MHJ_RS01095	FEF31_RS00780
OG0000539	MHJ_RS00190	FEF31_RS03485
OG0000540	MHJ_RS02600	FEF31_RS02380
OG0000541	MHJ_RS02680	FEF31_RS02460
OG0000542	MHJ_RS00330	FEF31_RS00015
OG0000544	MHJ_RS01225	FEF31_RS04410
OG0000545	MHJ_RS01770	FEF31_RS01570
OG0000546	MHJ_RS02755	FEF31_RS02530
OG0000547	MHJ_RS02885	FEF31_RS02650
OG0000548	MHJ_RS01550	FEF31_RS01255
OG0000549	MHJ_RS03295	FEF31_RS04580
OG0000550	MHJ_RS03430	FEF31_RS03135
OG0000552	MHJ_RS03115	FEF31_RS03710
OG0000553	MHJ_RS02650	FEF31_RS04535
OG0000554	MHJ_RS02335	FEF31_RS02125
OG0000555	MHJ_RS03945	FEF31_RS02655
OG0000557	MHJ_RS01235	FEF31_RS00920
OG0000558	MHJ_RS01205	FEF31_RS00890
OG0000559	MHJ_RS01645	FEF31_RS01360
OG0000560	MHJ_RS01760	FEF31_RS01560
OG0000561	MHJ_RS01080	FEF31_RS00765
OG0000562	MHJ_RS01765	FEF31_RS01565
OG0000563	MHJ_RS01750	FEF31_RS01550
OG0000564	MHJ_RS01260	FEF31_RS00945
OG0000565	MHJ_RS01820	FEF31_RS01620
OG0000566	MHJ_RS01810	FEF31_RS01605
OG0000567	MHJ_RS01780	FEF31_RS01580
OG0000568	MHJ_RS00665	FEF31_RS00340
OG0000569	MHJ_RS01210	FEF31_RS00895
OG0000570	MHJ_RS01215	FEF31_RS04405
OG0000571	MHJ_RS01220	FEF31_RS00905
OG0000572	MHJ_RS01240	FEF31_RS00925
OG0000573	MHJ_RS01640	FEF31_RS01355
OG0000574	MHJ_RS01280	FEF31_RS00965
OG0000575	MHJ_RS01195	FEF31_RS00880
OG0000576	MHJ_RS03625	FEF31_RS01315
OG0000577	MHJ_RS02620	FEF31_RS02400
OG0000578	MHJ_RS02645	FEF31_RS02420
OG0000579	MHJ_RS01740	FEF31_RS01540
OG0000580	MHJ_RS02760	FEF31_RS02535
OG0000581	MHJ_RS01725	FEF31_RS01530
OG0000582	MHJ_RS03835	FEF31_RS04415
OG0000583	MHJ_RS01630	FEF31_RS01345
OG0000585	MHJ_RS03590	FEF31_RS01950
OG0000586	MHJ_RS01620	FEF31_RS01330
OG0000587	MHJ_RS04025	FEF31_RS04780
OG0000588	MHJ_RS01600	FEF31_RS01305
OG0000589	MHJ_RS03650	FEF31_RS01890
OG0000591	MHJ_RS03990	FEF31_RS04065
OG0000592	MHJ_RS02610	FEF31_RS02390
OG0000593	MHJ_RS03495	FEF31_RS03200
OG0000594	MHJ_RS01200	FEF31_RS00885
OG0000595	MHJ_RS03020	FEF31_RS02735
OG0000596	MHJ_RS01685	FEF31_RS01490
OG0000597	MHJ_RS03015	FEF31_RS02730
OG0000598	MHJ_RS01690	FEF31_RS01495
OG0000599	MHJ_RS01695	FEF31_RS01500
OG0000601	MHJ_RS01755	FEF31_RS01555
OG0000606	MHJ_RS01730	FEF31_RS01535
OG0000607	MHJ_RS03755	FEF31_RS00870
OG0000610	MHJ_RS03970	FEF31_RS03930
OG0000612	MHJ_RS03855	FEF31_RS01505
OG0000615	MHJ_RS02655	FEF31_RS02430
OG0000652	MHJ_RS03975	FEF31_RS01250
