Orthogroup	MHP_J_genes	MHP_131B_genes
OG0000559	MHJ_RS01645	NB627_RS01830
OG0000560	MHJ_RS01760	NB627_RS01940
OG0000561	MHJ_RS01080	NB627_RS01225
OG0000562	MHJ_RS01765	NB627_RS01945
OG0000563	MHJ_RS01750	NB627_RS01935
OG0000564	MHJ_RS01260	NB627_RS01410
OG0000565	MHJ_RS01820	NB627_RS02010
OG0000566	MHJ_RS01810	NB627_RS01990
OG0000567	MHJ_RS01780	NB627_RS01960
OG0000568	MHJ_RS00665	NB627_RS00795
OG0000569	MHJ_RS01210	NB627_RS01350
OG0000570	MHJ_RS01215	NB627_RS01355
OG0000571	MHJ_RS01220	NB627_RS01360
OG0000572	MHJ_RS01240	NB627_RS01390
OG0000573	MHJ_RS01640	NB627_RS01825
OG0000574	MHJ_RS01280	NB627_RS01430
OG0000576	MHJ_RS03625	NB627_RS01780
OG0000577	MHJ_RS02620	NB627_RS02850
OG0000578	MHJ_RS02645	NB627_RS02870
OG0000579	MHJ_RS01740	NB627_RS01920
OG0000580	MHJ_RS02760	NB627_RS02980
OG0000581	MHJ_RS01725	NB627_RS01915
OG0000582	MHJ_RS03835	NB627_RS01380
OG0000583	MHJ_RS01630	NB627_RS01815
OG0000585	MHJ_RS03590	NB627_RS02370
OG0000586	MHJ_RS01620	NB627_RS01800
OG0000587	MHJ_RS04025	NB627_RS02020
OG0000588	MHJ_RS01600	NB627_RS01770
OG0000589	MHJ_RS03650	NB627_RS02300
OG0000591	MHJ_RS03990	NB627_RS02035
OG0000593	MHJ_RS03495	NB627_RS03730
OG0000594	MHJ_RS01200	NB627_RS01340
OG0000595	MHJ_RS03020	NB627_RS03195
OG0000596	MHJ_RS01685	NB627_RS01870
OG0000597	MHJ_RS03015	NB627_RS03190
OG0000598	MHJ_RS01690	NB627_RS01875
OG0000599	MHJ_RS01695	NB627_RS01880
OG0000607	MHJ_RS03755	NB627_RS01325
OG0000610	MHJ_RS03970	NB627_RS00785
OG0000612	MHJ_RS03855	NB627_RS01885
OG0000615	MHJ_RS02655	NB627_RS02880
