Orthogroup	MHP_MHP691_protein	MHP_MHP694_protein
OG0000602	WP_258555566.1	WP_258555423.1
OG0000603	WP_240536353.1	WP_308704613.1
OG0000604	WP_225972969.1	WP_160606461.1
OG0000608	WP_160590234.1	WP_160606777.1
OG0000612	WP_160607826.1	WP_160606425.1
OG0000613	WP_258555565.1	WP_135619214.1
OG0000614	WP_011290300.1	WP_258555388.1
OG0000616	WP_308704681.1	WP_243216079.1
OG0000617	WP_240536501.1	WP_258555257.1
OG0000618	WP_258555590.1	WP_044272424.1
OG0000622	WP_160607670.1, WP_160607668.1	WP_160588364.1
OG0000624	WP_160608096.1	WP_308704617.1, WP_308704618.1
OG0000626	WP_167871266.1	WP_044272591.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000642	WP_020835697.1	WP_160606456.1
OG0000646	WP_158520147.1	WP_158520147.1
OG0000647	WP_258555487.1	WP_258555487.1
OG0000648	WP_041361519.1	WP_160606899.1
OG0000651	WP_225973003.1	WP_258555488.1
OG0000652	WP_014579770.1	WP_014579770.1
OG0000653	WP_258555636.1	WP_308704611.1
OG0000664	WP_308704682.1	WP_308704612.1
OG0000739	WP_041361696.1	WP_041361696.1
OG0000741	WP_308704688.1	WP_308704590.1
