Orthogroup	MHP_133A_genes	MHP_TB1_genes
OG0000568	NB626_RS00785	B5M19_RS01860
OG0000569	NB626_RS01355	B5M19_RS03665
OG0000570	NB626_RS01360	B5M19_RS02635
OG0000571	NB626_RS01365	B5M19_RS02630
OG0000572	NB626_RS01385	B5M19_RS02610
OG0000573	NB626_RS01810	B5M19_RS02070
OG0000574	NB626_RS01425	B5M19_RS02570
OG0000575	NB626_RS01345	B5M19_RS03670
OG0000576	NB626_RS01765	B5M19_RS02030
OG0000577	NB626_RS02840	B5M19_RS00910
OG0000578	NB626_RS02865	B5M19_RS00890
OG0000579	NB626_RS01910	B5M19_RS00615
OG0000580	NB626_RS02975	B5M19_RS02550
OG0000581	NB626_RS01905	B5M19_RS00600
OG0000582	NB626_RS01375	B5M19_RS04400
OG0000583	NB626_RS01800	B5M19_RS02060
OG0000584	NB626_RS00475	B5M19_RS02310
OG0000585	NB626_RS02365	B5M19_RS02965
OG0000588	NB626_RS01755	B5M19_RS02025
OG0000590	NB626_RS00485	B5M19_RS02875
OG0000591	NB626_RS02025	B5M19_RS04575
OG0000593	NB626_RS03735	B5M19_RS00380
OG0000596	NB626_RS01860	B5M19_RS02110
OG0000598	NB626_RS01865	B5M19_RS02115
OG0000599	NB626_RS01870	B5M19_RS02120
OG0000600	NB626_RS00470	B5M19_RS02305
OG0000603	NB626_RS00465	B5M19_RS02285
OG0000604	NB626_RS02985	B5M19_RS04585
OG0000605	NB626_RS00460	B5M19_RS02280
OG0000612	NB626_RS01875	B5M19_RS04320
OG0000615	NB626_RS02875	B5M19_RS00880
OG0000616	NB626_RS00445	B5M19_RS02890
OG0000620	NB626_RS02005	B5M19_RS03820
OG0000632	NB626_RS01880	B5M19_RS04325
