Orthogroup	MHP_133A_genes	MHP_112B_genes
OG0000559	NB626_RS01815	NBX26_RS01830
OG0000560	NB626_RS01930	NBX26_RS02300
OG0000561	NB626_RS01230	NBX26_RS01245
OG0000562	NB626_RS01935	NBX26_RS02290
OG0000563	NB626_RS01925	NBX26_RS02305
OG0000564	NB626_RS01410	NBX26_RS01410
OG0000565	NB626_RS02000	NBX26_RS02225
OG0000566	NB626_RS01980	NBX26_RS02245
OG0000567	NB626_RS01950	NBX26_RS02275
OG0000568	NB626_RS00785	NBX26_RS00690
OG0000569	NB626_RS01355	NBX26_RS01365
OG0000570	NB626_RS01360	NBX26_RS01370
OG0000571	NB626_RS01365	NBX26_RS01375
OG0000572	NB626_RS01385	NBX26_RS01395
OG0000573	NB626_RS01810	NBX26_RS01825
OG0000574	NB626_RS01425	NBX26_RS01430
OG0000575	NB626_RS01345	NBX26_RS01355
OG0000576	NB626_RS01765	NBX26_RS01780
OG0000577	NB626_RS02840	NBX26_RS02830
OG0000578	NB626_RS02865	NBX26_RS02860
OG0000579	NB626_RS01910	NBX26_RS02315
OG0000580	NB626_RS02975	NBX26_RS02965
OG0000581	NB626_RS01905	NBX26_RS02320
OG0000582	NB626_RS01375	NBX26_RS01385
OG0000583	NB626_RS01800	NBX26_RS01815
OG0000584	NB626_RS00475	NBX26_RS01955
OG0000585	NB626_RS02365	NBX26_RS02360
OG0000586	NB626_RS01785	NBX26_RS01800
OG0000587	NB626_RS02010	NBX26_RS02220
OG0000588	NB626_RS01755	NBX26_RS01770
OG0000589	NB626_RS02290	NBX26_RS01005
OG0000590	NB626_RS00485	NBX26_RS01945
OG0000591	NB626_RS02025	NBX26_RS02205
OG0000593	NB626_RS03735	NBX26_RS03725
OG0000595	NB626_RS03190	NBX26_RS03175
OG0000596	NB626_RS01860	NBX26_RS01865
OG0000597	NB626_RS03185	NBX26_RS03170
OG0000598	NB626_RS01865	NBX26_RS01870
OG0000599	NB626_RS01870	NBX26_RS01875
OG0000600	NB626_RS00470	NBX26_RS01960
OG0000603	NB626_RS00465	NBX26_RS01965
OG0000604	NB626_RS02985	NBX26_RS02975
OG0000605	NB626_RS00460	NBX26_RS01970
OG0000607	NB626_RS01330	NBX26_RS01340
OG0000608	NB626_RS01940	NBX26_RS02285
OG0000610	NB626_RS00775	NBX26_RS00675
OG0000611	NB626_RS00095	NBX26_RS00100
OG0000612	NB626_RS01875	NBX26_RS01880
OG0000613	NB626_RS02020	NBX26_RS02210
OG0000616	NB626_RS00445	NBX26_RS01980
OG0000617	NB626_RS01770	NBX26_RS01785
OG0000622	NB626_RS02335	NBX26_RS00955
OG0000624	NB626_RS03340	NBX26_RS03325
OG0000644	NB626_RS03195	NBX26_RS03180
OG0000649	NB626_RS01495	NBX26_RS01505
OG0000650	NB626_RS03330	NBX26_RS03315
OG0000656	NB626_RS02440	NBX26_RS02435
OG0000658	NB626_RS02845	NBX26_RS02835
