Orthogroup	MHP_98_protein	MHP_MHP650_protein
OG0000592	WP_179696078.1	WP_258556699.1
OG0000593	WP_179695887.1	WP_011206475.1
OG0000594	WP_179695862.1	WP_160600808.1
OG0000595	WP_308507042.1	WP_014579703.1
OG0000596	WP_258556567.1	WP_094521768.1
OG0000597	WP_179696108.1	WP_044284638.1
OG0000598	WP_179696096.1	WP_160601089.1
OG0000599	WP_014579714.1	WP_160600856.1
OG0000600	WP_179695967.1	WP_160601095.1
OG0000601	WP_258556584.1	WP_160600894.1
OG0000602	WP_228365393.1	WP_258556624.1
OG0000603	WP_308705276.1	WP_308704764.1
OG0000604	WP_258556588.1	WP_258556671.1
OG0000606	WP_179695834.1	WP_160601239.1
OG0000607	WP_179695832.1	WP_160601156.1
OG0000608	WP_160606777.1	WP_160585054.1
OG0000609	WP_258555658.1	WP_258556663.1
OG0000610	WP_179696111.1	WP_160601048.1
OG0000611	WP_179696112.1	WP_160601051.1
OG0000612	WP_258556545.1	WP_160601046.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_258556645.1
OG0000616	WP_179696076.1	WP_308704758.1
OG0000617	WP_308705296.1	WP_011284111.1
OG0000618	WP_228366131.1	WP_146379577.1
OG0000621	WP_258556510.1	WP_160585712.1
OG0000622	WP_160585768.1	WP_258556676.1
OG0000623	WP_179696107.1, WP_052259119.1	WP_220200875.1
OG0000628	WP_258556552.1	WP_233688441.1
OG0000629	WP_258555242.1	WP_258555242.1
OG0000632	WP_179695837.1	WP_088172525.1
OG0000633	WP_179695833.1	WP_160584945.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000636	WP_011206361.1	WP_135618745.1
OG0000638	WP_135618726.1	WP_160601271.1
OG0000641	WP_258556511.1	WP_258556638.1
OG0000642	WP_146379617.1	WP_146379617.1
OG0000645	WP_308705290.1	WP_308704767.1
OG0000647	WP_258555487.1	WP_258556690.1
OG0000648	WP_041361519.1	WP_094521537.1
OG0000651	WP_225973003.1	WP_258556691.1
OG0000654	WP_143826160.1	WP_143826160.1
OG0000657	WP_225972966.1	WP_258556644.1
OG0000659	WP_179695835.1	WP_011206358.1
OG0000664	WP_308705295.1	WP_334199377.1
