Orthogroup	MHP_98_protein	MHP_ES2L_protein
OG0000586	WP_258556589.1	WP_240536653.1
OG0000587	WP_179696106.1	WP_179221114.1
OG0000588	WP_179696104.1	WP_135618818.1
OG0000589	WP_011290181.1	WP_011290181.1
OG0000590	WP_237697200.1	WP_218833877.1
OG0000591	WP_179695994.1	WP_041361678.1
OG0000592	WP_179696078.1	WP_179221186.1
OG0000593	WP_179695887.1	WP_011206475.1
OG0000594	WP_179695862.1	WP_179221271.1
OG0000595	WP_308507042.1	WP_240536637.1
OG0000596	WP_258556567.1	WP_094521768.1
OG0000597	WP_179696108.1	WP_014579787.1
OG0000598	WP_179696096.1	WP_160584731.1
OG0000599	WP_014579714.1	WP_014579714.1
OG0000600	WP_179695967.1	WP_179221049.1
OG0000601	WP_258556584.1	WP_240536657.1
OG0000602	WP_228365393.1	WP_240536609.1
OG0000603	WP_308705276.1	WP_179221248.1
OG0000604	WP_258556588.1	WP_240536656.1
OG0000606	WP_179695834.1	WP_179221207.1
OG0000607	WP_179695832.1	WP_179221209.1
OG0000608	WP_160606777.1	WP_179221105.1
OG0000609	WP_258555658.1	WP_240536651.1
OG0000610	WP_179696111.1	WP_094521657.1
OG0000611	WP_179696112.1	WP_240536652.1
OG0000612	WP_258556545.1	WP_011206323.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_258556645.1
OG0000616	WP_179696076.1	WP_179221099.1
OG0000617	WP_308705296.1	WP_258555257.1
OG0000618	WP_228366131.1	WP_240536648.1
OG0000621	WP_258556510.1	WP_240536617.1
OG0000622	WP_160585768.1	WP_179221137.1
OG0000623	WP_052259119.1	WP_240536655.1
OG0000624	WP_179695915.1	WP_020835859.1
OG0000626	WP_044272591.1	WP_179221200.1
OG0000628	WP_258556552.1	WP_240536595.1
OG0000629	WP_258555242.1	WP_276310606.1
OG0000632	WP_179695837.1	WP_011206356.1
OG0000633	WP_179695833.1	WP_179221208.1
OG0000636	WP_011206361.1	WP_094521557.1
OG0000637	WP_220200465.1	WP_240536616.1
OG0000638	WP_135618726.1	WP_179221091.1
OG0000642	WP_146379617.1	WP_179221112.1
OG0000645	WP_308705290.1	WP_240536640.1
OG0000646	WP_157696717.1	WP_179221113.1
OG0000650	WP_179695894.1	WP_179221241.1
OG0000652	WP_014579770.1	WP_269076340.1
OG0000654	WP_143826160.1	WP_179221116.1
OG0000658	WP_179221224.1	WP_179221224.1
OG0000659	WP_179695835.1	WP_011206358.1
OG0000660	WP_179695836.1	WP_179221206.1
OG0000662	WP_158632000.1	WP_179221115.1
OG0000664	WP_308705295.1	WP_334199378.1
OG0000675	WP_179696001.1	WP_179221233.1
OG0000710	WP_167871263.1	WP_167871263.1
OG0000717	WP_094521569.1	WP_094521569.1
