Orthogroup	MHP_UFV02_proteins	MHP_112B_proteins
OG0000587	WP_011284111.1	WP_258555257.1
OG0000588	WP_243216079.1	WP_404912371.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000591	WP_279288020.1	WP_258555396.1
OG0000592	WP_243216259.1	WP_404911928.1
OG0000593	WP_243215893.1	WP_404912088.1
OG0000595	WP_020835859.1	WP_404911985.1
OG0000596	WP_243216115.1	WP_404912392.1
OG0000597	WP_243216307.1	WP_044272591.1
OG0000598	WP_243216116.1	WP_192894290.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_014579686.1	WP_404912410.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_243216107.1	WP_404913750.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000610	WP_279288000.1	WP_269076320.1
OG0000612	WP_232039520.1	WP_225973036.1
OG0000613	WP_243234973.1	WP_225972966.1
OG0000614	WP_020835740.1	WP_404913716.1
