Orthogroup	MHP_UFV02_genes	MHP_UFV01_genes
OG0000480	FEF31_RS01775	FEF30_RS02410
OG0000481	FEF31_RS00470	FEF30_RS01125
OG0000482	FEF31_RS00865	FEF30_RS01520
OG0000483	FEF31_RS01820	FEF30_RS02455
OG0000484	FEF31_RS04675	FEF30_RS04190
OG0000485	FEF31_RS00820	FEF30_RS01475
OG0000486	FEF31_RS02045	FEF30_RS02680
OG0000487	FEF31_RS04485	FEF30_RS04325
OG0000488	FEF31_RS01790	FEF30_RS02425
OG0000489	FEF31_RS03335	FEF30_RS00380
OG0000490	FEF31_RS03275	FEF30_RS00320
OG0000491	FEF31_RS01005	FEF30_RS01660
OG0000492	FEF31_RS01085	FEF30_RS01740
OG0000493	FEF31_RS00240	FEF30_RS00890
OG0000494	FEF31_RS00300	FEF30_RS00955
OG0000495	FEF31_RS02575	FEF30_RS03215
OG0000496	FEF31_RS02565	FEF30_RS03205
OG0000497	FEF31_RS02560	FEF30_RS03200
OG0000498	FEF31_RS02480	FEF30_RS03115
OG0000499	FEF31_RS02445	FEF30_RS03080
OG0000500	FEF31_RS01675	FEF30_RS02310
OG0000502	FEF31_RS00855	FEF30_RS01510
OG0000503	FEF31_RS00415	FEF30_RS01070
OG0000504	FEF31_RS00550	FEF30_RS01205
OG0000505	FEF31_RS00585	FEF30_RS01240
OG0000506	FEF31_RS00595	FEF30_RS01250
OG0000507	FEF31_RS00630	FEF30_RS01285
OG0000508	FEF31_RS03520	FEF30_RS00565
OG0000509	FEF31_RS03555	FEF30_RS00600
OG0000510	FEF31_RS03565	FEF30_RS00610
OG0000511	FEF31_RS00095	FEF30_RS00745
OG0000512	FEF31_RS02295	FEF30_RS02930
OG0000513	FEF31_RS03100	FEF30_RS00145
OG0000514	FEF31_RS02600	FEF30_RS03240
OG0000515	FEF31_RS01240	FEF30_RS01895
OG0000515	FEF31_RS01235	FEF30_RS01890
OG0000515	FEF31_RS01230	FEF30_RS01885
OG0000516	FEF31_RS04490	FEF30_RS04330
OG0000517	FEF31_RS03350	FEF30_RS00395
OG0000518	FEF31_RS03675	FEF30_RS03455
OG0000519	FEF31_RS00440	FEF30_RS01095
OG0000520	FEF31_RS00565	FEF30_RS01220
OG0000521	FEF31_RS03535	FEF30_RS00580
OG0000522	FEF31_RS03570	FEF30_RS00615
OG0000523	FEF31_RS03035	FEF30_RS00080
OG0000524	FEF31_RS02410	FEF30_RS03045
OG0000525	FEF31_RS04585	FEF30_RS04105
OG0000526	FEF31_RS01585	FEF30_RS02235
OG0000527	FEF31_RS01525	FEF30_RS02175
OG0000528	FEF31_RS01760	FEF30_RS02395
OG0000529	FEF31_RS01980	FEF30_RS02615
OG0000530	FEF31_RS02080	FEF30_RS02720
OG0000531	FEF31_RS01060	FEF30_RS01715
OG0000532	FEF31_RS01290	FEF30_RS01945
OG0000533	FEF31_RS00260	FEF30_RS00915
OG0000534	FEF31_RS00045	FEF30_RS00695
OG0000535	FEF31_RS04655	FEF30_RS04175
OG0000536	FEF31_RS03215	FEF30_RS00260
OG0000537	FEF31_RS00380	FEF30_RS01035
OG0000538	FEF31_RS00780	FEF30_RS01435
OG0000539	FEF31_RS03485	FEF30_RS00530
OG0000540	FEF31_RS02380	FEF30_RS03015
OG0000541	FEF31_RS02460	FEF30_RS03095
OG0000542	FEF31_RS00015	FEF30_RS00665
OG0000544	FEF31_RS04410	FEF30_RS04245
OG0000545	FEF31_RS01575	FEF30_RS02225
OG0000546	FEF31_RS02530	FEF30_RS03165
OG0000547	FEF31_RS02650	FEF30_RS03290
OG0000548	FEF31_RS01255	FEF30_RS01910
OG0000549	FEF31_RS04580	FEF30_RS04100
OG0000550	FEF31_RS03135	FEF30_RS00180
OG0000552	FEF31_RS03710	FEF30_RS03490
OG0000553	FEF31_RS04535	FEF30_RS04365
OG0000554	FEF31_RS02125	FEF30_RS02765
OG0000555	FEF31_RS02655	FEF30_RS03295
OG0000556	FEF31_RS04460	FEF30_RS04300
OG0000557	FEF31_RS00920	FEF30_RS01575
OG0000558	FEF31_RS00890	FEF30_RS01545
OG0000559	FEF31_RS01360	FEF30_RS02015
OG0000560	FEF31_RS01560	FEF30_RS02215
OG0000561	FEF31_RS00765	FEF30_RS01420
OG0000562	FEF31_RS01565	FEF30_RS02220
OG0000563	FEF31_RS01550	FEF30_RS02205
OG0000564	FEF31_RS00945	FEF30_RS01600
OG0000565	FEF31_RS01620	FEF30_RS02260
OG0000566	FEF31_RS01605	FEF30_RS02245
OG0000567	FEF31_RS01580	FEF30_RS02230
OG0000568	FEF31_RS00340	FEF30_RS00995
OG0000569	FEF31_RS00895	FEF30_RS01550
OG0000570	FEF31_RS04405	FEF30_RS04240
OG0000571	FEF31_RS00905	FEF30_RS01560
OG0000572	FEF31_RS00925	FEF30_RS01580
OG0000573	FEF31_RS01355	FEF30_RS02010
OG0000574	FEF31_RS00965	FEF30_RS01620
OG0000575	FEF31_RS00880	FEF30_RS01535
OG0000576	FEF31_RS01315	FEF30_RS01970
OG0000577	FEF31_RS02400	FEF30_RS03035
OG0000578	FEF31_RS02420	FEF30_RS03055
OG0000579	FEF31_RS01540	FEF30_RS02195
OG0000580	FEF31_RS02535	FEF30_RS03170
OG0000581	FEF31_RS01530	FEF30_RS02180
OG0000582	FEF31_RS04415	FEF30_RS04250
OG0000583	FEF31_RS01345	FEF30_RS02000
OG0000584	FEF31_RS01425	FEF30_RS02075
OG0000585	FEF31_RS01950	FEF30_RS02585
OG0000586	FEF31_RS01330	FEF30_RS01985
OG0000587	FEF31_RS04780	FEF30_RS04465
OG0000588	FEF31_RS01305	FEF30_RS01960
OG0000589	FEF31_RS01890	FEF30_RS02520
OG0000590	FEF31_RS01410	FEF30_RS02060
OG0000591	FEF31_RS04065	FEF30_RS03985
OG0000592	FEF31_RS02390	FEF30_RS03025
OG0000593	FEF31_RS03200	FEF30_RS00245
OG0000594	FEF31_RS00885	FEF30_RS01540
OG0000595	FEF31_RS02735	FEF30_RS04470
OG0000596	FEF31_RS01490	FEF30_RS02140
OG0000597	FEF31_RS02730	FEF30_RS03375
OG0000598	FEF31_RS01495	FEF30_RS02145
OG0000599	FEF31_RS01500	FEF30_RS02150
OG0000600	FEF31_RS01430	FEF30_RS02080
OG0000601	FEF31_RS01555	FEF30_RS02210
OG0000603	FEF31_RS01440	FEF30_RS02090
OG0000604	FEF31_RS04155	FEF30_RS04060
OG0000605	FEF31_RS01445	FEF30_RS02095
OG0000606	FEF31_RS01535	FEF30_RS02185
OG0000607	FEF31_RS00870	FEF30_RS01525
OG0000610	FEF31_RS03930	FEF30_RS03840
OG0000612	FEF31_RS01505	FEF30_RS02155
OG0000614	FEF31_RS01905	FEF30_RS02535
OG0000615	FEF31_RS02430	FEF30_RS03065
OG0000618	FEF31_RS02240	FEF30_RS03625
OG0000628	FEF31_RS01475	FEF30_RS02125
OG0000629	FEF31_RS01400	FEF30_RS02050
OG0000630	FEF31_RS01485	FEF30_RS02135
OG0000631	FEF31_RS01480	FEF30_RS02130
OG0000645	FEF31_RS00840	FEF30_RS01495
OG0000652	FEF31_RS01250	FEF30_RS01905
OG0000677	FEF31_RS01625	FEF30_RS02265
OG0000708	FEF31_RS01920	FEF30_RS02550
