Orthogroup	MHP_MHP709_protein	MHP_232_protein
OG0000593	WP_020835902.1	WP_011206475.1
OG0000594	WP_160584886.1	WP_011206512.1
OG0000595	WP_308507054.1	WP_014579703.1
OG0000596	WP_258555275.1	WP_014579710.1
OG0000597	WP_160587878.1	WP_014579787.1
OG0000598	WP_160587992.1	WP_044284777.1
OG0000599	WP_011284018.1	WP_044284820.1
OG0000600	WP_160588071.1	WP_011206020.1
OG0000601	WP_160587890.1	WP_173670107.1
OG0000602	WP_258555241.1	WP_228365393.1
OG0000603	WP_160588148.1	WP_238374141.1
OG0000604	WP_258555256.1	WP_238374145.1
OG0000608	WP_160588201.1	WP_011206159.1
OG0000609	WP_258555253.1	WP_011206174.1
OG0000610	WP_094521657.1	WP_011206175.1
OG0000611	WP_160587875.1	WP_011206178.1
OG0000612	WP_160587824.1	WP_011206323.1
OG0000613	WP_258555240.1	WP_044284840.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_160585604.1	WP_165255037.1
OG0000616	WP_243216079.1	WP_173670105.1
OG0000617	WP_258555257.1	WP_173670106.1
OG0000618	WP_044272424.1	WP_238374144.1
OG0000623	WP_052293597.1	WP_187145846.1
OG0000627	WP_160587871.1	WP_011206176.1
OG0000628	WP_258555362.1	WP_011206263.1
OG0000629	WP_258555242.1	WP_269076338.1
OG0000634	WP_160587988.1	WP_158209054.1
OG0000643	WP_160588336.1	WP_011205864.1
OG0000644	WP_258555369.1	WP_011205866.1
OG0000646	WP_158520147.1	WP_158209056.1
OG0000647	WP_160588382.1	WP_228366119.1
OG0000648	WP_146379448.1	WP_011205856.1
OG0000649	WP_160587873.1	WP_011206177.1
OG0000651	WP_225973003.1	WP_232039500.1
OG0000654	WP_143826160.1	WP_158209057.1
