Orthogroup	MHP_98_protein	MHP_LH_protein
OG0000585	WP_146379618.1	WP_146379618.1
OG0000586	WP_258556589.1	WP_233688748.1
OG0000587	WP_179696106.1	WP_179221114.1
OG0000588	WP_179696104.1	WP_135618818.1
OG0000589	WP_011290181.1	WP_160606463.1
OG0000590	WP_237697200.1	WP_233688429.1
OG0000591	WP_179695994.1	WP_233688490.1
OG0000592	WP_179696078.1	WP_179696078.1
OG0000593	WP_179695887.1	WP_011206475.1
OG0000594	WP_179695862.1	WP_233688572.1
OG0000595	WP_308507042.1	WP_014579703.1
OG0000596	WP_258556567.1	WP_233688700.1
OG0000597	WP_179696108.1	WP_020835695.1
OG0000598	WP_179696096.1	WP_233688694.1
OG0000599	WP_014579714.1	WP_011284018.1
OG0000600	WP_179695967.1	WP_233688669.1
OG0000601	WP_258556584.1	WP_233688752.1
OG0000602	WP_228365393.1	WP_228365393.1
OG0000603	WP_308705276.1	WP_232039555.1
OG0000604	WP_258556588.1	WP_233688751.1
OG0000606	WP_179695834.1	WP_233688679.1
OG0000607	WP_179695832.1	WP_233688681.1
OG0000608	WP_160606777.1	WP_233688735.1
OG0000609	WP_258555658.1	WP_233688743.1
OG0000610	WP_179696111.1	WP_233688744.1
OG0000611	WP_179696112.1	WP_233688747.1
OG0000612	WP_258556545.1	WP_233688484.1
OG0000614	WP_011290300.1	WP_233688486.1
OG0000615	WP_258555396.1	WP_258556645.1
OG0000616	WP_179696076.1	WP_233688730.1
OG0000617	WP_308705296.1	WP_011284111.1
OG0000618	WP_228366131.1	WP_233688733.1
OG0000621	WP_258556510.1	WP_233688680.1
OG0000622	WP_160585768.1	WP_160585768.1
OG0000623	WP_179696107.1	WP_233688750.1
OG0000624	WP_179695915.1	WP_233688515.1
OG0000626	WP_044272591.1	WP_044272591.1
OG0000628	WP_258556552.1	WP_233688441.1
OG0000629	WP_258555242.1	WP_258555242.1
OG0000632	WP_179695837.1	WP_179695837.1
OG0000633	WP_179695833.1	WP_011206362.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000636	WP_011206361.1	WP_011206361.1
OG0000637	WP_220200465.1	WP_233688678.1
OG0000638	WP_135618726.1	WP_233688723.1
OG0000646	WP_157696717.1	WP_157696717.1
OG0000647	WP_258555487.1	WP_233688594.1
OG0000648	WP_041361519.1	WP_094521537.1
OG0000650	WP_179695894.1	WP_135619112.1
OG0000651	WP_225973003.1	WP_232039500.1
OG0000652	WP_014579770.1	WP_014579770.1
OG0000657	WP_225972966.1	WP_233688753.1
OG0000660	WP_179695836.1	WP_233688677.1
OG0000717	WP_094521569.1	WP_094521569.1
