Orthogroup	MHP_F72C_protein	MHP_MHP709_protein
OG0000593	WP_146379747.1	WP_020835902.1
OG0000594	WP_146379763.1	WP_160584886.1
OG0000595	WP_014579703.1	WP_308507054.1
OG0000596	WP_014579710.1	WP_258555275.1
OG0000597	WP_020835695.1	WP_160587878.1
OG0000598	WP_146379780.1	WP_160587992.1
OG0000599	WP_014579714.1	WP_011284018.1
OG0000600	WP_146379525.1	WP_160588071.1
OG0000601	WP_225972967.1	WP_160587890.1
OG0000602	WP_225972995.1	WP_258555241.1
OG0000603	WP_044272656.1	WP_160588148.1
OG0000604	WP_225972969.1	WP_258555256.1
OG0000605	WP_225973021.1	WP_160588356.1
OG0000608	WP_146379579.1	WP_160588201.1
OG0000609	WP_225972972.1	WP_258555253.1
OG0000610	WP_146379624.1	WP_094521657.1
OG0000611	WP_146379623.1	WP_160587875.1
OG0000612	WP_094521725.1	WP_160587824.1
OG0000613	WP_225972994.1	WP_258555240.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_225972965.1	WP_160585604.1
OG0000616	WP_192894289.1	WP_243216079.1
OG0000617	WP_240536501.1	WP_258555257.1
OG0000618	WP_146379577.1	WP_044272424.1
OG0000619	WP_146379516.1	WP_220191121.1
OG0000620	WP_146379518.1	WP_011284157.1
OG0000622	WP_146379626.1	WP_160588364.1
OG0000623	WP_192894277.1	WP_052293597.1
OG0000624	WP_146379708.1	WP_160588352.1
OG0000625	WP_002557992.1	WP_258555368.1
OG0000626	WP_044272591.1	WP_220191129.1
OG0000627	WP_014579783.1	WP_160587871.1
OG0000628	WP_258555362.1	WP_258555362.1
OG0000629	WP_258555422.1	WP_258555242.1
OG0000630	WP_002557993.1	WP_002557993.1
OG0000631	WP_225973023.1	WP_258555376.1
OG0000634	WP_158209054.1	WP_160587988.1
OG0000638	WP_135618726.1	WP_160588340.1
OG0000642	WP_146379617.1	WP_160587880.1
OG0000643	WP_146379452.1	WP_160588336.1
OG0000644	WP_146379454.1	WP_258555369.1
OG0000646	WP_158520147.1	WP_158520147.1
OG0000648	WP_146379448.1	WP_146379448.1
OG0000651	WP_225973003.1	WP_225973003.1
OG0000657	WP_225972966.1	WP_225972966.1
OG0000658	WP_179221224.1	WP_220191077.1
OG0000662	WP_158632000.1	WP_179221115.1
OG0000667	WP_014579793.1	WP_014579793.1
