Orthogroup	MHP_F72C_genes	MHP_ES2L_genes
OG0000505	EHI52_RS01000	HZK19_RS00905
OG0000506	EHI52_RS01010	HZK19_RS00915
OG0000507	EHI52_RS01045	HZK19_RS00950
OG0000508	EHI52_RS00260	HZK19_RS00235
OG0000509	EHI52_RS00295	HZK19_RS00270
OG0000510	EHI52_RS00305	HZK19_RS00280
OG0000511	EHI52_RS00445	HZK19_RS00415
OG0000513	EHI52_RS03425	HZK19_RS03475
OG0000514	EHI52_RS02850	HZK19_RS02825
OG0000515	EHI52_RS02090	HZK19_RS01530
OG0000516	EHI52_RS01925	HZK19_RS01975
OG0000517	EHI52_RS00065	HZK19_RS00065
OG0000518	EHI52_RS03125	HZK19_RS03145
OG0000519	EHI52_RS00785	HZK19_RS00760
OG0000520	EHI52_RS00910	HZK19_RS00885
OG0000521	EHI52_RS00275	HZK19_RS00250
OG0000522	EHI52_RS00310	HZK19_RS00285
OG0000523	EHI52_RS03360	HZK19_RS03410
OG0000524	EHI52_RS02665	HZK19_RS02640
OG0000525	EHI52_RS03345	HZK19_RS03375
OG0000526	EHI52_RS03800	HZK19_RS03755
OG0000527	EHI52_RS02185	HZK19_RS01730
OG0000528	EHI52_RS01920	HZK19_RS01980
OG0000529	EHI52_RS02250	HZK19_RS02210
OG0000530	EHI52_RS02355	HZK19_RS02315
OG0000531	EHI52_RS01460	HZK19_RS01365
OG0000532	EHI52_RS01685	HZK19_RS01590
OG0000534	EHI52_RS00395	HZK19_RS00365
OG0000535	EHI52_RS00045	HZK19_RS00045
OG0000536	EHI52_RS03545	HZK19_RS03590
OG0000537	EHI52_RS00725	HZK19_RS00700
OG0000538	EHI52_RS01195	HZK19_RS01100
OG0000539	EHI52_RS00220	HZK19_RS00200
OG0000540	EHI52_RS02635	HZK19_RS02605
OG0000541	EHI52_RS02710	HZK19_RS02685
OG0000542	EHI52_RS00365	HZK19_RS00335
OG0000544	EHI52_RS01315	HZK19_RS01215
OG0000545	EHI52_RS02110	HZK19_RS01785
OG0000546	EHI52_RS02780	HZK19_RS02755
OG0000547	EHI52_RS02900	HZK19_RS02875
OG0000548	EHI52_RS01650	HZK19_RS01560
OG0000549	EHI52_RS03335	HZK19_RS03365
OG0000550	EHI52_RS03460	HZK19_RS03510
OG0000551	EHI52_RS02975	HZK19_RS02945
OG0000552	EHI52_RS03160	HZK19_RS03180
OG0000553	EHI52_RS02680	HZK19_RS02655
OG0000554	EHI52_RS02400	HZK19_RS02360
OG0000555	EHI52_RS03850	HZK19_RS02880
OG0000557	EHI52_RS01325	HZK19_RS01230
OG0000558	EHI52_RS01295	HZK19_RS01195
OG0000559	EHI52_RS01755	HZK19_RS01670
OG0000560	EHI52_RS02125	HZK19_RS01770
OG0000561	EHI52_RS01180	HZK19_RS01085
OG0000562	EHI52_RS02120	HZK19_RS01775
OG0000563	EHI52_RS02135	HZK19_RS01760
OG0000564	EHI52_RS03770	HZK19_RS03725
OG0000565	EHI52_RS02070	HZK19_RS01835
OG0000566	EHI52_RS02080	HZK19_RS01815
OG0000567	EHI52_RS02105	HZK19_RS01790
OG0000568	EHI52_RS00685	HZK19_RS00660
OG0000569	EHI52_RS01300	HZK19_RS01200
OG0000570	EHI52_RS01305	HZK19_RS01205
OG0000571	EHI52_RS01310	HZK19_RS01210
OG0000572	EHI52_RS01330	HZK19_RS01235
OG0000573	EHI52_RS01750	HZK19_RS01665
OG0000574	EHI52_RS01370	HZK19_RS01275
OG0000575	EHI52_RS01285	HZK19_RS01185
OG0000576	EHI52_RS01710	HZK19_RS01615
OG0000577	EHI52_RS02655	HZK19_RS02625
OG0000578	EHI52_RS02675	HZK19_RS02650
OG0000579	EHI52_RS02170	HZK19_RS01750
OG0000580	EHI52_RS03845	HZK19_RS02760
OG0000581	EHI52_RS02175	HZK19_RS01735
OG0000582	EHI52_RS03765	HZK19_RS01225
OG0000583	EHI52_RS01740	HZK19_RS01655
OG0000585	EHI52_RS02220	HZK19_RS02180
OG0000586	EHI52_RS01725	HZK19_RS01635
OG0000587	EHI52_RS03915	HZK19_RS03875
OG0000588	EHI52_RS01700	HZK19_RS01610
OG0000589	EHI52_RS00950	HZK19_RS02120
OG0000591	EHI52_RS02045	HZK19_RS03885
OG0000592	EHI52_RS02645	HZK19_RS02615
OG0000593	EHI52_RS03525	HZK19_RS03575
OG0000594	EHI52_RS01290	HZK19_RS01190
OG0000595	EHI52_RS03000	HZK19_RS02965
OG0000597	EHI52_RS02995	HZK19_RS02960
OG0000601	EHI52_RS02130	HZK19_RS01765
OG0000602	EHI52_RS01900	HZK19_RS02005
OG0000604	EHI52_RS03890	HZK19_RS03900
OG0000606	EHI52_RS02160	HZK19_RS01740
OG0000608	EHI52_RS02115	HZK19_RS01780
OG0000609	EHI52_RS03640	HZK19_RS01805
OG0000615	EHI52_RS02685	HZK19_RS02660
OG0000618	EHI52_RS03300	HZK19_RS03330
OG0000623	EHI52_RS03645	HZK19_RS03245
OG0000626	EHI52_RS03695	HZK19_RS03185
