Orthogroup	MHP_F72C_genes	MHP_Ue273_genes
OG0000511	EHI52_RS00445	VQY17_RS00435
OG0000512	EHI52_RS02550	VQY17_RS02545
OG0000513	EHI52_RS03425	VQY17_RS03425
OG0000514	EHI52_RS02850	VQY17_RS02840
OG0000515	EHI52_RS02090	VQY17_RS01590
OG0000516	EHI52_RS01925	VQY17_RS02085
OG0000517	EHI52_RS00065	VQY17_RS00065
OG0000518	EHI52_RS03125	VQY17_RS03095
OG0000519	EHI52_RS00785	VQY17_RS00790
OG0000520	EHI52_RS00910	VQY17_RS00920
OG0000521	EHI52_RS00275	VQY17_RS00270
OG0000523	EHI52_RS03360	VQY17_RS03360
OG0000524	EHI52_RS02665	VQY17_RS02660
OG0000525	EHI52_RS03345	VQY17_RS03325
OG0000526	EHI52_RS03800	VQY17_RS01905
OG0000527	EHI52_RS02185	VQY17_RS01825
OG0000528	EHI52_RS01920	VQY17_RS02090
OG0000529	EHI52_RS02250	VQY17_RS02245
OG0000530	EHI52_RS02355	VQY17_RS02350
OG0000531	EHI52_RS01460	VQY17_RS01420
OG0000532	EHI52_RS01685	VQY17_RS01660
OG0000534	EHI52_RS00395	VQY17_RS00385
OG0000535	EHI52_RS00045	VQY17_RS00045
OG0000536	EHI52_RS03545	VQY17_RS03545
OG0000537	EHI52_RS00725	VQY17_RS00725
OG0000538	EHI52_RS01195	VQY17_RS01160
OG0000539	EHI52_RS00220	VQY17_RS00215
OG0000540	EHI52_RS02635	VQY17_RS02630
OG0000541	EHI52_RS02710	VQY17_RS02700
OG0000542	EHI52_RS00365	VQY17_RS00355
OG0000544	EHI52_RS01315	VQY17_RS01275
OG0000545	EHI52_RS02110	VQY17_RS01895
OG0000546	EHI52_RS02780	VQY17_RS02765
OG0000547	EHI52_RS02900	VQY17_RS02895
OG0000548	EHI52_RS01650	VQY17_RS01625
OG0000549	EHI52_RS03335	VQY17_RS03315
OG0000550	EHI52_RS03460	VQY17_RS03465
OG0000553	EHI52_RS02680	VQY17_RS02675
OG0000554	EHI52_RS02400	VQY17_RS02395
OG0000557	EHI52_RS01325	VQY17_RS01285
OG0000558	EHI52_RS01295	VQY17_RS01255
OG0000559	EHI52_RS01755	VQY17_RS01745
OG0000560	EHI52_RS02125	VQY17_RS01880
OG0000561	EHI52_RS01180	VQY17_RS01140
OG0000562	EHI52_RS02120	VQY17_RS01885
OG0000563	EHI52_RS02135	VQY17_RS01870
OG0000564	EHI52_RS03770	VQY17_RS01305
OG0000565	EHI52_RS02070	VQY17_RS01945
OG0000566	EHI52_RS02080	VQY17_RS01925
OG0000567	EHI52_RS02105	VQY17_RS01900
OG0000568	EHI52_RS00685	VQY17_RS00685
OG0000569	EHI52_RS01300	VQY17_RS01260
OG0000570	EHI52_RS01305	VQY17_RS01265
OG0000571	EHI52_RS01310	VQY17_RS01270
OG0000572	EHI52_RS01330	VQY17_RS01290
OG0000573	EHI52_RS01750	VQY17_RS01740
OG0000574	EHI52_RS01370	VQY17_RS01325
OG0000575	EHI52_RS01285	VQY17_RS01245
OG0000576	EHI52_RS01710	VQY17_RS01690
OG0000577	EHI52_RS02655	VQY17_RS02650
OG0000578	EHI52_RS02675	VQY17_RS02670
OG0000579	EHI52_RS02170	VQY17_RS01845
OG0000580	EHI52_RS03845	VQY17_RS02770
OG0000581	EHI52_RS02175	VQY17_RS01830
OG0000582	EHI52_RS03765	VQY17_RS01280
OG0000583	EHI52_RS01740	VQY17_RS01730
OG0000585	EHI52_RS02220	VQY17_RS02215
OG0000586	EHI52_RS01725	VQY17_RS01705
OG0000587	EHI52_RS03915	VQY17_RS01950
OG0000588	EHI52_RS01700	VQY17_RS01680
OG0000591	EHI52_RS02045	VQY17_RS01970
OG0000592	EHI52_RS02645	VQY17_RS02640
OG0000593	EHI52_RS03525	VQY17_RS03530
OG0000594	EHI52_RS01290	VQY17_RS01250
OG0000596	EHI52_RS01785	VQY17_RS01785
OG0000598	EHI52_RS01790	VQY17_RS01790
OG0000599	EHI52_RS01795	VQY17_RS01795
OG0000601	EHI52_RS02130	VQY17_RS01875
OG0000602	EHI52_RS01900	VQY17_RS02115
OG0000604	EHI52_RS03890	VQY17_RS02780
OG0000606	EHI52_RS02160	VQY17_RS01840
OG0000608	EHI52_RS02115	VQY17_RS01890
OG0000609	EHI52_RS03640	VQY17_RS01915
OG0000611	EHI52_RS00090	VQY17_RS00090
OG0000612	EHI52_RS01800	VQY17_RS01800
OG0000613	EHI52_RS03785	VQY17_RS01965
OG0000618	EHI52_RS03300	VQY17_RS03275
OG0000622	EHI52_RS03730	VQY17_RS00950
OG0000623	EHI52_RS03895, EHI52_RS03875, EHI52_RS03645	VQY17_RS01720
OG0000625	EHI52_RS03920	VQY17_RS01850
OG0000633	EHI52_RS03870	VQY17_RS01855
