Orthogroup	MHP_F72C_genes	MHP_NCTC10127_genes
OG0000515	EHI52_RS02090	EXC50_RS02525, EXC50_RS00520
OG0000516	EHI52_RS01925	EXC50_RS00955
OG0000517	EHI52_RS00065	EXC50_RS00065
OG0000518	EHI52_RS03125	EXC50_RS01945
OG0000519	EHI52_RS00785	EXC50_RS03300
OG0000520	EHI52_RS00910	EXC50_RS03175
OG0000521	EHI52_RS00275	EXC50_RS00275
OG0000522	EHI52_RS00310	EXC50_RS00310
OG0000523	EHI52_RS03360	EXC50_RS02205
OG0000524	EHI52_RS02665	EXC50_RS01515
OG0000525	EHI52_RS03345	EXC50_RS02170
OG0000526	EHI52_RS03800	EXC50_RS04005
OG0000527	EHI52_RS02185	EXC50_RS00720
OG0000528	EHI52_RS01920	EXC50_RS00960
OG0000529	EHI52_RS02250	EXC50_RS01090
OG0000530	EHI52_RS02355	EXC50_RS01200
OG0000531	EHI52_RS01460	EXC50_RS02690
OG0000532	EHI52_RS01685	EXC50_RS00575
OG0000534	EHI52_RS00395	EXC50_RS00395
OG0000535	EHI52_RS00045	EXC50_RS00045
OG0000536	EHI52_RS03545	EXC50_RS02385
OG0000537	EHI52_RS00725	EXC50_RS03360
OG0000538	EHI52_RS01195	EXC50_RS02965
OG0000539	EHI52_RS00220	EXC50_RS00220
OG0000540	EHI52_RS02635	EXC50_RS01485
OG0000541	EHI52_RS02710	EXC50_RS01560
OG0000542	EHI52_RS00365	EXC50_RS00365
OG0000544	EHI52_RS01315	EXC50_RS02835
OG0000546	EHI52_RS02780	EXC50_RS01630
OG0000547	EHI52_RS02900	EXC50_RS01750
OG0000548	EHI52_RS01650	EXC50_RS00535
OG0000549	EHI52_RS03335	EXC50_RS02160
OG0000550	EHI52_RS03460	EXC50_RS02305
OG0000551	EHI52_RS02975	EXC50_RS01825
OG0000553	EHI52_RS02680	EXC50_RS01530
OG0000554	EHI52_RS02400	EXC50_RS01245
OG0000555	EHI52_RS03850	EXC50_RS04055
OG0000557	EHI52_RS01325	EXC50_RS02825
OG0000558	EHI52_RS01295	EXC50_RS02855
OG0000559	EHI52_RS01755	EXC50_RS00655
OG0000560	EHI52_RS02125	EXC50_RS00760
OG0000561	EHI52_RS01180	EXC50_RS02980
OG0000562	EHI52_RS02120	EXC50_RS00765
OG0000563	EHI52_RS02135	EXC50_RS00750
OG0000564	EHI52_RS03770	EXC50_RS04095
OG0000565	EHI52_RS02070	EXC50_RS00810
OG0000566	EHI52_RS02080	EXC50_RS00800
OG0000567	EHI52_RS02105	EXC50_RS00775
OG0000568	EHI52_RS00685	EXC50_RS03400
OG0000569	EHI52_RS01300	EXC50_RS02850
OG0000570	EHI52_RS01305	EXC50_RS02845
OG0000571	EHI52_RS01310	EXC50_RS02840
OG0000572	EHI52_RS01330	EXC50_RS02820
OG0000573	EHI52_RS01750	EXC50_RS00650
OG0000574	EHI52_RS01370	EXC50_RS02780
OG0000575	EHI52_RS01285	EXC50_RS02865
OG0000576	EHI52_RS01710	EXC50_RS00610
OG0000577	EHI52_RS02655	EXC50_RS01505
OG0000578	EHI52_RS02675	EXC50_RS01525
OG0000579	EHI52_RS02170	EXC50_RS00740
OG0000580	EHI52_RS03845	EXC50_RS04050
OG0000581	EHI52_RS02175	EXC50_RS00725
OG0000582	EHI52_RS03765	EXC50_RS04100
OG0000583	EHI52_RS01740	EXC50_RS00640
OG0000586	EHI52_RS01725	EXC50_RS00625
OG0000587	EHI52_RS03915	EXC50_RS03910
OG0000588	EHI52_RS01700	EXC50_RS00600
OG0000591	EHI52_RS02045	EXC50_RS03890
OG0000592	EHI52_RS02645	EXC50_RS01495
OG0000593	EHI52_RS03525	EXC50_RS02370
OG0000594	EHI52_RS01290	EXC50_RS02860
OG0000596	EHI52_RS01785	EXC50_RS00685
OG0000598	EHI52_RS01790	EXC50_RS00690
OG0000599	EHI52_RS01795	EXC50_RS00695
OG0000601	EHI52_RS02130	EXC50_RS00755
OG0000602	EHI52_RS01900	EXC50_RS00980
OG0000604	EHI52_RS03890	EXC50_RS04240
OG0000606	EHI52_RS02160	EXC50_RS00730
OG0000607	EHI52_RS03630	EXC50_RS04105
OG0000608	EHI52_RS02115	EXC50_RS04000
OG0000609	EHI52_RS03640	EXC50_RS03905
OG0000611	EHI52_RS00090	EXC50_RS00090
OG0000612	EHI52_RS01800	EXC50_RS03995
OG0000615	EHI52_RS02685	EXC50_RS01535
OG0000618	EHI52_RS03300	EXC50_RS02125
