Orthogroup	MHP_F72C_genes	MHP_131B_genes
OG0000545	EHI52_RS02110	NB627_RS01955
OG0000546	EHI52_RS02780	NB627_RS02975
OG0000551	EHI52_RS02975	NB627_RS03170
OG0000552	EHI52_RS03160	NB627_RS03340
OG0000553	EHI52_RS02680	NB627_RS02875
OG0000554	EHI52_RS02400	NB627_RS02565
OG0000555	EHI52_RS03850	NB627_RS03105
OG0000557	EHI52_RS01325	NB627_RS01385
OG0000558	EHI52_RS01295	NB627_RS01345
OG0000559	EHI52_RS01755	NB627_RS01830
OG0000560	EHI52_RS02125	NB627_RS01940
OG0000561	EHI52_RS01180	NB627_RS01225
OG0000562	EHI52_RS02120	NB627_RS01945
OG0000563	EHI52_RS02135	NB627_RS01935
OG0000564	EHI52_RS03770	NB627_RS01410
OG0000565	EHI52_RS02070	NB627_RS02010
OG0000566	EHI52_RS02080	NB627_RS01990
OG0000567	EHI52_RS02105	NB627_RS01960
OG0000568	EHI52_RS00685	NB627_RS00795
OG0000569	EHI52_RS01300	NB627_RS01350
OG0000570	EHI52_RS01305	NB627_RS01355
OG0000571	EHI52_RS01310	NB627_RS01360
OG0000572	EHI52_RS01330	NB627_RS01390
OG0000573	EHI52_RS01750	NB627_RS01825
OG0000574	EHI52_RS01370	NB627_RS01430
OG0000576	EHI52_RS01710	NB627_RS01780
OG0000577	EHI52_RS02655	NB627_RS02850
OG0000578	EHI52_RS02675	NB627_RS02870
OG0000579	EHI52_RS02170	NB627_RS01920
OG0000580	EHI52_RS03845	NB627_RS02980
OG0000581	EHI52_RS02175	NB627_RS01915
OG0000582	EHI52_RS03765	NB627_RS01380
OG0000583	EHI52_RS01740	NB627_RS01815
OG0000585	EHI52_RS02220	NB627_RS02370
OG0000586	EHI52_RS01725	NB627_RS01800
OG0000587	EHI52_RS03915	NB627_RS02020
OG0000588	EHI52_RS01700	NB627_RS01770
OG0000589	EHI52_RS00950	NB627_RS02300
OG0000591	EHI52_RS02045	NB627_RS02035
OG0000593	EHI52_RS03525	NB627_RS03730
OG0000594	EHI52_RS01290	NB627_RS01340
OG0000595	EHI52_RS03000	NB627_RS03195
OG0000596	EHI52_RS01785	NB627_RS01870
OG0000597	EHI52_RS02995	NB627_RS03190
OG0000598	EHI52_RS01790	NB627_RS01875
OG0000599	EHI52_RS01795	NB627_RS01880
OG0000604	EHI52_RS03890	NB627_RS02990
OG0000607	EHI52_RS03630	NB627_RS01325
OG0000608	EHI52_RS02115	NB627_RS01950
OG0000611	EHI52_RS00090	NB627_RS00095
OG0000612	EHI52_RS01800	NB627_RS01885
OG0000613	EHI52_RS03785	NB627_RS02030
OG0000615	EHI52_RS02685	NB627_RS02880
OG0000622	EHI52_RS03730	NB627_RS02340
