Orthogroup	MHP_MHP709_proteins	MHP_111A_proteins
OG0000576	WP_160585066.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_041361678.1	WP_041361678.1
OG0000579	WP_160587875.1	WP_146379623.1
OG0000580	WP_258555240.1	WP_236607953.1
OG0000581	WP_094521657.1	WP_404911821.1
OG0000582	WP_233688696.1	WP_404912305.1
OG0000583	WP_011290150.1	WP_404912380.1
OG0000585	WP_160588364.1	WP_146379626.1
OG0000586	WP_044272424.1	WP_044272424.1
OG0000587	WP_258555257.1	WP_258555257.1
OG0000588	WP_243216079.1	WP_404912371.1
OG0000589	WP_220191121.1	WP_002557988.1
OG0000591	WP_160585604.1	WP_258555396.1
OG0000592	WP_160587824.1	WP_404911928.1
OG0000593	WP_160584886.1	WP_404912088.1
OG0000595	WP_160588352.1	WP_404911985.1
OG0000597	WP_220191129.1	WP_044272591.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000607	WP_160587988.1	WP_158209054.1
OG0000608	WP_160587880.1	WP_020835697.1
OG0000609	WP_158520147.1	WP_220190677.1
OG0000611	WP_225973003.1	WP_404912129.1
OG0000613	WP_225972966.1	WP_225972966.1
OG0000614	WP_094521688.1	WP_404912236.1
OG0000617	WP_308506992.1	WP_404912373.1
