Orthogroup	MHP_J_protein	MHP_MHP650_protein
OG0000588	WP_011284109.1	WP_160587888.1
OG0000589	WP_011284110.1	WP_160601059.1
OG0000590	WP_237697200.1	WP_258556677.1
OG0000591	WP_044284684.1	WP_044284684.1
OG0000592	WP_011284254.1	WP_258556699.1
OG0000593	WP_011284352.1	WP_011206475.1
OG0000594	WP_044284733.1	WP_160600808.1
OG0000595	WP_014579703.1	WP_014579703.1
OG0000596	WP_237697235.1	WP_094521768.1
OG0000597	WP_044284638.1	WP_044284638.1
OG0000598	WP_011284003.1	WP_160601089.1
OG0000599	WP_011284018.1	WP_160600856.1
OG0000600	WP_011283979.1	WP_160601095.1
OG0000601	WP_237697246.1	WP_160600894.1
OG0000602	WP_228365393.1	WP_258556624.1
OG0000603	WP_237697218.1	WP_308704764.1
OG0000604	WP_237697245.1	WP_258556671.1
OG0000605	WP_011284152.1	WP_160601263.1
OG0000608	WP_011284078.1	WP_160585054.1
OG0000609	WP_228365424.1	WP_258556663.1
OG0000610	WP_044284636.1	WP_160601048.1
OG0000611	WP_011284096.1	WP_160601051.1
OG0000612	WP_011284238.1	WP_160601046.1
OG0000613	WP_044284760.1	WP_258556623.1
OG0000614	WP_020835810.1	WP_011290300.1
OG0000615	WP_258556645.1	WP_258556645.1
OG0000616	WP_011284071.1	WP_308704758.1
OG0000617	WP_011284111.1	WP_011284111.1
OG0000618	WP_237697239.1	WP_146379577.1
OG0000619	WP_002557988.1	WP_160601265.1
OG0000620	WP_011284157.1	WP_011284157.1
OG0000622	WP_052259111.1	WP_258556676.1
OG0000623	WP_148166899.1	WP_220200875.1
OG0000625	WP_044284652.1	WP_002557992.1
OG0000627	WP_044284637.1	WP_011206176.1
OG0000628	WP_225972978.1	WP_233688441.1
OG0000630	WP_002557993.1	WP_160585819.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000635	WP_044277959.1	WP_094521655.1
OG0000639	WP_011206331.1	WP_160601035.1
OG0000641	WP_258556638.1	WP_258556638.1
OG0000645	WP_237697249.1	WP_308704767.1
OG0000647	WP_228365400.1	WP_258556690.1
OG0000674	WP_237697232.1	WP_258556653.1
OG0000686	WP_167513695.1	WP_220200878.1
