Orthogroup	MHP_MHP699_genes	MHP_NCTC10127_genes
OG0000532	DR100_RS03540	EXC50_RS00575
OG0000533	DR100_RS00715	EXC50_RS03490
OG0000534	DR100_RS00465	EXC50_RS00395
OG0000535	DR100_RS04635	EXC50_RS00045
OG0000537	DR100_RS00825	EXC50_RS03360
OG0000538	DR100_RS00040	EXC50_RS02965
OG0000539	DR100_RS00635	EXC50_RS00220
OG0000540	DR100_RS01830	EXC50_RS01485
OG0000541	DR100_RS02495	EXC50_RS01560
OG0000542	DR100_RS00495	EXC50_RS00365
OG0000543	DR100_RS01640	EXC50_RS00505, EXC50_RS03730
OG0000544	DR100_RS04560	EXC50_RS02835
OG0000546	DR100_RS04445	EXC50_RS01630
OG0000547	DR100_RS01680	EXC50_RS01750
OG0000548	DR100_RS03425	EXC50_RS00535
OG0000549	DR100_RS04865	EXC50_RS02160
OG0000550	DR100_RS01340	EXC50_RS02305
OG0000551	DR100_RS03160	EXC50_RS01825
OG0000552	DR100_RS01555	EXC50_RS01980
OG0000553	DR100_RS04780	EXC50_RS01530
OG0000554	DR100_RS02285	EXC50_RS01245
OG0000555	DR100_RS04155	EXC50_RS04055
OG0000556	DR100_RS04710	EXC50_RS03790, EXC50_RS03775
OG0000557	DR100_RS00185	EXC50_RS02825
OG0000558	DR100_RS00155	EXC50_RS02855
OG0000559	DR100_RS02180	EXC50_RS00655
OG0000560	DR100_RS02115	EXC50_RS00760
OG0000561	DR100_RS00025	EXC50_RS02980
OG0000562	DR100_RS02110	EXC50_RS00765
OG0000563	DR100_RS02125	EXC50_RS00750
OG0000564	DR100_RS03935	EXC50_RS04095
OG0000565	DR100_RS02050	EXC50_RS00810
OG0000566	DR100_RS02065	EXC50_RS00800
OG0000567	DR100_RS02095	EXC50_RS00775
OG0000568	DR100_RS00785	EXC50_RS03400
OG0000569	DR100_RS00160	EXC50_RS02850
OG0000570	DR100_RS04555	EXC50_RS02845
OG0000571	DR100_RS00170	EXC50_RS02840
OG0000572	DR100_RS00190	EXC50_RS02820
OG0000573	DR100_RS02185	EXC50_RS00650
OG0000574	DR100_RS00230	EXC50_RS02780
OG0000575	DR100_RS00145	EXC50_RS02865
OG0000576	DR100_RS02230	EXC50_RS00610
OG0000577	DR100_RS01810	EXC50_RS01505
OG0000578	DR100_RS02465	EXC50_RS01525
OG0000579	DR100_RS03380	EXC50_RS00740
OG0000580	DR100_RS04170	EXC50_RS04050
OG0000581	DR100_RS03395	EXC50_RS00725
OG0000582	DR100_RS04565	EXC50_RS04100
OG0000583	DR100_RS02195	EXC50_RS00640
OG0000584	DR100_RS01610	EXC50_RS03755
OG0000586	DR100_RS02210	EXC50_RS00625
OG0000587	DR100_RS04190	EXC50_RS03910
OG0000588	DR100_RS02235	EXC50_RS00600
OG0000590	DR100_RS01620	EXC50_RS03745
OG0000591	DR100_RS04185	EXC50_RS03890
OG0000593	DR100_RS01275	EXC50_RS02370
OG0000594	DR100_RS00150	EXC50_RS02860
OG0000598	DR100_RS02140	EXC50_RS00690
OG0000599	DR100_RS02135	EXC50_RS00695
OG0000600	DR100_RS01605	EXC50_RS02480
OG0000601	DR100_RS02120	EXC50_RS00755
OG0000603	DR100_RS01600	EXC50_RS03765
OG0000604	DR100_RS04165	EXC50_RS04240
OG0000605	DR100_RS01595	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770
OG0000606	DR100_RS03390	EXC50_RS00730
OG0000607	DR100_RS00135	EXC50_RS04105
OG0000608	DR100_RS02105	EXC50_RS04000
OG0000612	DR100_RS04200	EXC50_RS03995
OG0000616	DR100_RS01580	EXC50_RS03795
OG0000619	DR100_RS03385	EXC50_RS00735
OG0000621	DR100_RS03825	EXC50_RS04230
OG0000647	DR100_RS04505	EXC50_RS03980
