Orthogroup	MHP_LH_proteins	MHP_131B_proteins
OG0000583	WP_011290150.1	WP_404924462.1
OG0000584	WP_233688681.1	WP_160584947.1
OG0000585	WP_160585768.1	WP_146379626.1
OG0000586	WP_233688733.1	WP_404924460.1
OG0000587	WP_011284111.1	WP_258555257.1
OG0000588	WP_233688730.1	WP_404924457.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_233688682.1	WP_404924380.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000593	WP_233688572.1	WP_404924339.1
OG0000594	WP_233688694.1	WP_404924554.1
OG0000595	WP_233688515.1	WP_404924292.1
OG0000596	WP_014579752.1	WP_404924563.1
OG0000597	WP_044272591.1	WP_404924291.1
OG0000598	WP_020835684.1	WP_404924468.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_011206362.1	WP_160584945.1
OG0000603	WP_011206361.1	WP_135618745.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_233688680.1	WP_404924378.1
OG0000607	WP_158209054.1	WP_160587988.1
OG0000611	WP_232039500.1	WP_225973003.1
OG0000612	WP_232039520.1	WP_404924564.1
OG0000613	WP_233688753.1	WP_225972966.1
