Orthogroup	MHP_LH_proteins	MHP_Ue273_proteins
OG0000568	WP_160585617.1	WP_347952384.1
OG0000569	WP_160585559.1	WP_347952408.1
OG0000570	WP_233688695.1	WP_347952409.1
OG0000571	WP_044284610.1	WP_011205986.1
OG0000572	WP_233688697.1	WP_347952411.1
OG0000573	WP_014579759.1	WP_020835676.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_233688693.1	WP_011284002.1
OG0000576	WP_011206153.1	WP_011290145.1
OG0000577	WP_233688486.1	WP_011290300.1
OG0000578	WP_233688490.1	WP_146379677.1
OG0000579	WP_233688747.1	WP_347952467.1
OG0000580	WP_233688498.1	WP_041361798.1
OG0000581	WP_233688744.1	WP_347952464.1
OG0000582	WP_233688696.1	WP_347952410.1
OG0000583	WP_011290150.1	WP_347952451.1
OG0000585	WP_160585768.1	WP_148285449.1
OG0000586	WP_233688733.1	WP_228366131.1
OG0000587	WP_011284111.1	WP_011284111.1
OG0000588	WP_233688730.1	WP_347952445.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000592	WP_233688484.1	WP_347952251.1
OG0000593	WP_233688572.1	WP_347952326.1
OG0000594	WP_233688694.1	WP_347952407.1
OG0000596	WP_014579752.1	WP_014579752.1
OG0000598	WP_020835684.1	WP_347952458.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000601	WP_020835695.1	WP_347952472.1
OG0000602	WP_233688413.1	WP_347952206.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_233688745.1	WP_347952466.1
OG0000609	WP_157696717.1	WP_220190677.1
OG0000611	WP_232039500.1	WP_347952341.1
OG0000612	WP_232039520.1	WP_347952459.1
OG0000613	WP_233688753.1	WP_258556644.1
OG0000618	WP_135619112.1	WP_258555699.1
