Orthogroup	MHP_LH_proteins	MHP_111A_proteins
OG0000580	WP_233688498.1	WP_236607953.1
OG0000581	WP_233688744.1	WP_404911821.1
OG0000582	WP_233688696.1	WP_404912305.1
OG0000583	WP_011290150.1	WP_404912380.1
OG0000584	WP_233688681.1	WP_404912408.1
OG0000585	WP_160585768.1	WP_146379626.1
OG0000586	WP_233688733.1	WP_044272424.1
OG0000587	WP_011284111.1	WP_258555257.1
OG0000588	WP_233688730.1	WP_404912371.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_233688682.1	WP_404912404.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000592	WP_233688484.1	WP_404911928.1
OG0000593	WP_233688572.1	WP_404912088.1
OG0000595	WP_233688515.1	WP_404911985.1
OG0000596	WP_014579752.1	WP_404912392.1
OG0000597	WP_044272591.1	WP_044272591.1
OG0000598	WP_020835684.1	WP_192894290.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_011206362.1	WP_404912410.1
OG0000603	WP_011206361.1	WP_011206361.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000609	WP_157696717.1	WP_220190677.1
OG0000611	WP_232039500.1	WP_404912129.1
OG0000612	WP_232039520.1	WP_225973036.1
OG0000613	WP_233688753.1	WP_225972966.1
OG0000614	WP_233688425.1	WP_404912236.1
