Orthogroup	MHP_MHP650_protein	MHP_NCTC10127_protein
OG0000584	WP_011284100.1	WP_011206182.1
OG0000585	WP_160601053.1	WP_011206183.1
OG0000586	WP_308704760.1	WP_011206185.1
OG0000587	WP_160601055.1	WP_011206187.1
OG0000588	WP_160587888.1	WP_011206189.1
OG0000589	WP_160601059.1	WP_011206190.1
OG0000590	WP_258556677.1	WP_011206236.1
OG0000591	WP_044284684.1	WP_011206329.1
OG0000592	WP_258556699.1	WP_011206341.1
OG0000593	WP_011206475.1	WP_011206475.1
OG0000594	WP_160600808.1	WP_011206512.1
OG0000595	WP_014579703.1	WP_014579703.1
OG0000596	WP_094521768.1	WP_014579710.1
OG0000597	WP_044284638.1	WP_014579787.1
OG0000598	WP_160601089.1	WP_044284777.1
OG0000599	WP_160600856.1	WP_044284820.1
OG0000600	WP_160601095.1	WP_129640620.1
OG0000601	WP_160600894.1	WP_173670107.1
OG0000602	WP_258556624.1	WP_228365393.1
OG0000603	WP_308704764.1	WP_232039555.1
OG0000604	WP_258556671.1	WP_232039527.1
OG0000606	WP_160601239.1	WP_232039618.1, WP_011206359.1
OG0000607	WP_160601156.1	WP_129640632.1, WP_129640630.1, WP_011206363.1
OG0000608	WP_160585054.1	WP_011206159.1
OG0000609	WP_258556663.1	WP_011206174.1
OG0000610	WP_160601048.1	WP_011206175.1
OG0000611	WP_160601051.1	WP_011206178.1
OG0000612	WP_160601046.1	WP_011206323.1
OG0000613	WP_258556623.1	WP_011206351.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258556645.1	WP_165255037.1
OG0000616	WP_308704758.1	WP_173670105.1
OG0000617	WP_011284111.1	WP_173670106.1
OG0000618	WP_146379577.1	WP_011206156.1
OG0000621	WP_160585712.1	WP_129640606.1, WP_011206360.1, WP_129640604.1
OG0000627	WP_011206176.1	WP_011206176.1
OG0000628	WP_233688441.1	WP_011206263.1
OG0000629	WP_258555242.1	WP_269076338.1
OG0000632	WP_088172525.1	WP_129640610.1, WP_011206356.1
OG0000633	WP_160584945.1	WP_129640602.1, WP_129640555.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000635	WP_094521655.1	WP_011206128.1
OG0000636	WP_135618745.1	WP_011206361.1
OG0000639	WP_160601035.1	WP_011206331.1
OG0000641	WP_258556638.1	WP_258556638.1
OG0000642	WP_146379617.1	WP_232039523.1
OG0000645	WP_308704767.1	WP_011205930.1
OG0000647	WP_258556690.1	WP_228366119.1
OG0000648	WP_094521537.1	WP_011205856.1
OG0000651	WP_258556691.1	WP_232039500.1
OG0000654	WP_143826160.1	WP_158209057.1
OG0000659	WP_011206358.1	WP_129640639.1
OG0000674	WP_258556653.1	WP_232039583.1
OG0000685	WP_160601257.1	WP_011206145.1
OG0000686	WP_220200878.1	WP_011206191.1
OG0000690	WP_011206260.1	WP_011206260.1
