Orthogroup	MHP_MHP650_protein	MHP_UFV01_protein
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_160601053.1	WP_243216120.1
OG0000586	WP_308704760.1	WP_243216124.1
OG0000587	WP_160601055.1	WP_243216127.1
OG0000588	WP_160587888.1	WP_243216133.1
OG0000589	WP_160601059.1	WP_243216135.1
OG0000590	WP_258556677.1	WP_237697200.1
OG0000591	WP_044284684.1	WP_243216270.1
OG0000592	WP_258556699.1	WP_243216276.1
OG0000593	WP_011206475.1	WP_243215859.1
OG0000594	WP_160600808.1	WP_243215893.1
OG0000595	WP_014579703.1	WP_014579703.1
OG0000596	WP_094521768.1	WP_094521768.1
OG0000597	WP_044284638.1	WP_243216119.1
OG0000598	WP_160601089.1	WP_160584731.1
OG0000599	WP_160600856.1	WP_011284018.1
OG0000600	WP_160601095.1	WP_243216007.1
OG0000601	WP_160600894.1	WP_243216141.1
OG0000602	WP_258556624.1	WP_228365393.1
OG0000603	WP_308704764.1	WP_243215857.1
OG0000604	WP_258556671.1	WP_243216130.1
OG0000605	WP_160601263.1	WP_243216173.1
OG0000606	WP_160601239.1	WP_243216111.1
OG0000607	WP_160601156.1	WP_243216106.1
OG0000608	WP_160585054.1	WP_243216092.1
OG0000609	WP_258556663.1	WP_011206174.1
OG0000610	WP_160601048.1	WP_233688744.1
OG0000611	WP_160601051.1	WP_243216118.1
OG0000612	WP_160601046.1	WP_243216259.1
OG0000613	WP_258556623.1	WP_041361798.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258556645.1	WP_279288020.1
OG0000616	WP_308704758.1	WP_243216079.1
OG0000617	WP_011284111.1	WP_011284111.1
OG0000618	WP_146379577.1	WP_243216085.1
OG0000619	WP_160601265.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_243216178.1
OG0000621	WP_160585712.1	WP_243216107.1
OG0000622	WP_258556676.1	WP_243216181.1
OG0000625	WP_002557992.1	WP_002557992.1
OG0000627	WP_011206176.1	WP_014579783.1
OG0000628	WP_233688441.1	WP_243216200.1
OG0000629	WP_258555242.1	WP_258555242.1
OG0000630	WP_160585819.1	WP_243216175.1
OG0000632	WP_088172525.1	WP_011290238.1
OG0000633	WP_160584945.1	WP_014579686.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000636	WP_135618745.1	WP_014579683.1
OG0000639	WP_160601035.1	WP_243216272.1
OG0000641	WP_258556638.1	WP_279288000.1
OG0000645	WP_308704767.1	WP_243216066.1
OG0000655	WP_094521688.1	WP_020835740.1
OG0000656	WP_233688423.1	WP_233688423.1
OG0000674	WP_258556653.1	WP_232039583.1
