Orthogroup	MHP_116_proteins	MHP_168L_proteins
OG0000569	WP_348602768.1	WP_014579700.1
OG0000570	WP_348602769.1	WP_014579701.1
OG0000571	WP_011205986.1	WP_014579702.1
OG0000572	WP_348602772.1	WP_014579705.1
OG0000573	WP_348602814.1	WP_014579759.1
OG0000574	WP_348602779.1	WP_014579714.1
OG0000575	WP_348602765.1	WP_014579697.1
OG0000576	WP_348602806.1	WP_014579765.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_348602568.1	WP_016340237.1
OG0000579	WP_146379623.1	WP_016340210.1
OG0000580	WP_041361798.1	WP_228365392.1
OG0000581	WP_348602821.1	WP_014579782.1
OG0000582	WP_348602771.1	WP_228365416.1
OG0000583	WP_348602811.1	WP_014579761.1
OG0000585	WP_348602511.1	WP_044278005.1
OG0000586	WP_348602809.1	WP_228365421.1
OG0000587	WP_348602838.1	WP_269076332.1
OG0000588	WP_348602805.1	WP_014579766.1
OG0000592	WP_347952251.1	WP_014579909.1
OG0000593	WP_348602653.1	WP_014580028.1
OG0000594	WP_348602766.1	WP_011284003.1
OG0000601	WP_348602825.1	WP_014579787.1
OG0000606	WP_020835692.1	WP_014579783.1
OG0000609	WP_348602832.1	WP_158520147.1
OG0000621	WP_348602841.1	WP_258555395.1
