Orthogroup	MHP_116_proteins	MHP_133A_proteins
OG0000578	WP_348602568.1	WP_160585659.1
OG0000579	WP_146379623.1	WP_146379623.1
OG0000580	WP_041361798.1	WP_041361798.1
OG0000581	WP_348602821.1	WP_404924473.1
OG0000582	WP_348602771.1	WP_404924434.1
OG0000583	WP_348602811.1	WP_404924462.1
OG0000585	WP_348602511.1	WP_146379626.1
OG0000586	WP_348602809.1	WP_404924460.1
OG0000587	WP_348602838.1	WP_258555257.1
OG0000588	WP_348602805.1	WP_404924457.1
OG0000589	WP_348602506.1	WP_002557988.1
OG0000593	WP_348602653.1	WP_404924339.1
OG0000595	WP_348602602.1	WP_404924292.1
OG0000597	WP_348602601.1	WP_404924291.1
OG0000611	WP_348602672.1	WP_225973003.1
