Orthogroup	MHP_ES2_protein	MHP_MHP694_protein
OG0000596	WP_240536375.1	WP_160606552.1
OG0000597	WP_135618810.1	WP_160587878.1
OG0000598	WP_135618656.1	WP_160606919.1
OG0000599	WP_014579714.1	WP_011284018.1
OG0000600	WP_135618627.1	WP_160606678.1
OG0000601	WP_135618822.1	WP_160606467.1
OG0000602	WP_225972995.1	WP_258555423.1
OG0000603	WP_240536353.1	WP_308704613.1
OG0000604	WP_094521668.1	WP_160606461.1
OG0000608	WP_135618775.1	WP_160606777.1
OG0000609	WP_240536391.1	WP_258555505.1
OG0000610	WP_135618801.1	WP_160606949.1
OG0000611	WP_135618805.1	WP_146379623.1
OG0000612	WP_011206323.1	WP_160606425.1
OG0000613	WP_240536345.1	WP_135619214.1
OG0000614	WP_011290300.1	WP_258555388.1
OG0000615	WP_276310469.1	WP_258555396.1
OG0000616	WP_228729172.1	WP_243216079.1
OG0000617	WP_318026027.1	WP_258555257.1
OG0000618	WP_044284628.1	WP_044272424.1
OG0000622	WP_135618874.1	WP_160588364.1
OG0000624	WP_135619047.1	WP_308704617.1, WP_308704618.1
OG0000626	WP_167871266.1	WP_044272591.1
OG0000628	WP_240536317.1	WP_258555362.1
OG0000629	WP_258555422.1	WP_258555422.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000639	WP_135618978.1	WP_011206331.1
OG0000640	WP_232039520.1	WP_220200746.1
OG0000642	WP_135618814.1	WP_160606456.1
OG0000645	WP_240536378.1	WP_240536640.1
OG0000646	WP_158520147.1	WP_158520147.1
OG0000650	WP_135619112.1	WP_160606803.1
OG0000652	WP_269076340.1	WP_014579770.1
OG0000653	WP_318026031.1	WP_308704611.1
OG0000676	WP_308507051.1	WP_308704619.1
