Orthogroup	MHP_Ue273_proteins	MHP_TB1_proteins
OG0000576	WP_011290145.1	WP_014579765.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_146379677.1	WP_014579914.1
OG0000579	WP_347952467.1	WP_014579785.1
OG0000580	WP_041361798.1	WP_252862180.1
OG0000581	WP_347952464.1	WP_014579782.1
OG0000582	WP_347952410.1	WP_228365416.1
OG0000583	WP_347952451.1	WP_014579761.1
OG0000585	WP_148285449.1	WP_044278005.1
OG0000588	WP_347952445.1	WP_014579766.1
OG0000591	WP_258555396.1	WP_258556645.1
OG0000592	WP_347952251.1	WP_014579909.1
OG0000593	WP_347952326.1	WP_014580028.1
OG0000594	WP_347952407.1	WP_011284003.1
OG0000596	WP_014579752.1	WP_014579752.1
OG0000598	WP_347952458.1	WP_020835684.1
OG0000599	WP_011206170.1	WP_014579750.1
OG0000601	WP_347952472.1	WP_014579787.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_347952466.1	WP_014579783.1
OG0000612	WP_347952459.1	WP_237697241.1
