Orthogroup	MHP_Ue273_proteins	MHP_4284_proteins
OG0000575	WP_011284002.1	WP_406823243.1
OG0000576	WP_011290145.1	WP_011284072.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_146379677.1	WP_406823147.1
OG0000579	WP_347952467.1	WP_406823277.1
OG0000580	WP_041361798.1	WP_258555240.1
OG0000581	WP_347952464.1	WP_406823276.1
OG0000582	WP_347952410.1	WP_404924434.1
OG0000583	WP_347952451.1	WP_406823269.1
OG0000585	WP_148285449.1	WP_160588364.1
OG0000586	WP_228366131.1	WP_406823267.1
OG0000587	WP_011284111.1	WP_406823285.1
OG0000588	WP_347952445.1	WP_406823265.1
OG0000591	WP_258555396.1	WP_258555396.1
OG0000592	WP_347952251.1	WP_011290298.1
OG0000593	WP_347952326.1	WP_348602653.1
OG0000594	WP_347952407.1	WP_406823294.1
OG0000601	WP_347952472.1	WP_020835695.1
OG0000602	WP_347952206.1	WP_406823089.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_347952466.1	WP_160587871.1
OG0000609	WP_220190677.1	WP_157696717.1
OG0000611	WP_347952341.1	WP_225973003.1
