Orthogroup	MHP_Ue273_proteins	MHP_1257_proteins
OG0000563	WP_347952471.1	WP_011290172.1
OG0000564	WP_041361605.1	WP_348572048.1
OG0000565	WP_160606463.1	WP_011290181.1
OG0000566	WP_347952476.1	WP_348572124.1
OG0000567	WP_308507026.1	WP_348572117.1
OG0000568	WP_347952384.1	WP_044272325.1
OG0000569	WP_347952408.1	WP_348572033.1
OG0000570	WP_347952409.1	WP_348572034.1
OG0000571	WP_011205986.1	WP_348572036.1
OG0000572	WP_347952411.1	WP_348572042.1
OG0000573	WP_020835676.1	WP_020835676.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_011284002.1	WP_146379542.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011206325.1
OG0000578	WP_146379677.1	WP_041361678.1
OG0000579	WP_347952467.1	WP_146379623.1
OG0000580	WP_041361798.1	WP_020835830.1
OG0000581	WP_347952464.1	WP_348572106.1
OG0000582	WP_347952410.1	WP_348572040.1
OG0000583	WP_347952451.1	WP_348572094.1
OG0000585	WP_148285449.1	WP_348571659.1
OG0000586	WP_228366131.1	WP_348572091.1
OG0000587	WP_011284111.1	WP_348572143.1
OG0000588	WP_347952445.1	WP_243216079.1
OG0000591	WP_258555396.1	WP_160585604.1
OG0000592	WP_347952251.1	WP_348571780.1
OG0000593	WP_347952326.1	WP_348571885.1
OG0000594	WP_347952407.1	WP_348572135.1
OG0000601	WP_347952472.1	WP_044284638.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000608	WP_020835697.1	WP_348572114.1
OG0000609	WP_220190677.1	WP_157696717.1
OG0000610	WP_269076320.1	WP_269076320.1
OG0000611	WP_347952341.1	WP_225973003.1
OG0000613	WP_258556644.1	WP_240536401.1
OG0000622	WP_225973020.1	WP_348571973.1
OG0000623	WP_347952449.1	WP_348571951.1
OG0000625	WP_308507017.1	WP_308704619.1
OG0000633	WP_347952468.1	WP_041361634.1
