Orthogroup	MHP_Ue273_genes	MHP_133A_genes
OG0000561	VQY17_RS01140	NB626_RS01230
OG0000562	VQY17_RS01885	NB626_RS01935
OG0000563	VQY17_RS01870	NB626_RS01925
OG0000564	VQY17_RS01305	NB626_RS01410
OG0000565	VQY17_RS01945	NB626_RS02000
OG0000566	VQY17_RS01925	NB626_RS01980
OG0000567	VQY17_RS01900	NB626_RS01950
OG0000568	VQY17_RS00685	NB626_RS00785
OG0000569	VQY17_RS01260	NB626_RS01355
OG0000570	VQY17_RS01265	NB626_RS01360
OG0000571	VQY17_RS01270	NB626_RS01365
OG0000572	VQY17_RS01290	NB626_RS01385
OG0000573	VQY17_RS01740	NB626_RS01810
OG0000574	VQY17_RS01325	NB626_RS01425
OG0000575	VQY17_RS01245	NB626_RS01345
OG0000576	VQY17_RS01690	NB626_RS01765
OG0000577	VQY17_RS02650	NB626_RS02840
OG0000578	VQY17_RS02670	NB626_RS02865
OG0000579	VQY17_RS01845	NB626_RS01910
OG0000580	VQY17_RS02770	NB626_RS02975
OG0000581	VQY17_RS01830	NB626_RS01905
OG0000582	VQY17_RS01280	NB626_RS01375
OG0000583	VQY17_RS01730	NB626_RS01800
OG0000585	VQY17_RS02215	NB626_RS02365
OG0000586	VQY17_RS01705	NB626_RS01785
OG0000587	VQY17_RS01950	NB626_RS02010
OG0000588	VQY17_RS01680	NB626_RS01755
OG0000591	VQY17_RS01970	NB626_RS02025
OG0000593	VQY17_RS03530	NB626_RS03735
OG0000596	VQY17_RS01785	NB626_RS01860
OG0000598	VQY17_RS01790	NB626_RS01865
OG0000599	VQY17_RS01795	NB626_RS01870
OG0000604	VQY17_RS02780	NB626_RS02985
OG0000608	VQY17_RS01890	NB626_RS01940
OG0000610	VQY17_RS00675	NB626_RS00775
OG0000611	VQY17_RS00090	NB626_RS00095
OG0000612	VQY17_RS01800	NB626_RS01875
OG0000613	VQY17_RS01965	NB626_RS02020
OG0000622	VQY17_RS00950	NB626_RS02335
OG0000649	VQY17_RS01395	NB626_RS01495
