Orthogroup	MHP_Ue273_genes	MHP_ES2L_genes
OG0000519	VQY17_RS00790	HZK19_RS00760
OG0000520	VQY17_RS00920	HZK19_RS00885
OG0000521	VQY17_RS00270	HZK19_RS00250
OG0000523	VQY17_RS03360	HZK19_RS03410
OG0000524	VQY17_RS02660	HZK19_RS02640
OG0000525	VQY17_RS03325	HZK19_RS03375
OG0000526	VQY17_RS01905	HZK19_RS03755
OG0000527	VQY17_RS01825	HZK19_RS01730
OG0000528	VQY17_RS02090	HZK19_RS01980
OG0000529	VQY17_RS02245	HZK19_RS02210
OG0000530	VQY17_RS02350	HZK19_RS02315
OG0000531	VQY17_RS01420	HZK19_RS01365
OG0000532	VQY17_RS01660	HZK19_RS01590
OG0000533	VQY17_RS00600	HZK19_RS00590
OG0000534	VQY17_RS00385	HZK19_RS00365
OG0000535	VQY17_RS00045	HZK19_RS00045
OG0000536	VQY17_RS03545	HZK19_RS03590
OG0000537	VQY17_RS00725	HZK19_RS00700
OG0000538	VQY17_RS01160	HZK19_RS01100
OG0000539	VQY17_RS00215	HZK19_RS00200
OG0000540	VQY17_RS02630	HZK19_RS02605
OG0000541	VQY17_RS02700	HZK19_RS02685
OG0000542	VQY17_RS00355	HZK19_RS00335
OG0000543	VQY17_RS01600	HZK19_RS03095
OG0000544	VQY17_RS01275	HZK19_RS01215
OG0000545	VQY17_RS01895	HZK19_RS01785
OG0000546	VQY17_RS02765	HZK19_RS02755
OG0000547	VQY17_RS02895	HZK19_RS02875
OG0000548	VQY17_RS01625	HZK19_RS01560
OG0000549	VQY17_RS03315	HZK19_RS03365
OG0000550	VQY17_RS03465	HZK19_RS03510
OG0000552	VQY17_RS03130	HZK19_RS03180
OG0000553	VQY17_RS02675	HZK19_RS02655
OG0000554	VQY17_RS02395	HZK19_RS02360
OG0000557	VQY17_RS01285	HZK19_RS01230
OG0000558	VQY17_RS01255	HZK19_RS01195
OG0000559	VQY17_RS01745	HZK19_RS01670
OG0000560	VQY17_RS01880	HZK19_RS01770
OG0000561	VQY17_RS01140	HZK19_RS01085
OG0000562	VQY17_RS01885	HZK19_RS01775
OG0000563	VQY17_RS01870	HZK19_RS01760
OG0000564	VQY17_RS01305	HZK19_RS03725
OG0000565	VQY17_RS01945	HZK19_RS01835
OG0000566	VQY17_RS01925	HZK19_RS01815
OG0000567	VQY17_RS01900	HZK19_RS01790
OG0000568	VQY17_RS00685	HZK19_RS00660
OG0000569	VQY17_RS01260	HZK19_RS01200
OG0000570	VQY17_RS01265	HZK19_RS01205
OG0000571	VQY17_RS01270	HZK19_RS01210
OG0000572	VQY17_RS01290	HZK19_RS01235
OG0000573	VQY17_RS01740	HZK19_RS01665
OG0000574	VQY17_RS01325	HZK19_RS01275
OG0000575	VQY17_RS01245	HZK19_RS01185
OG0000576	VQY17_RS01690	HZK19_RS01615
OG0000577	VQY17_RS02650	HZK19_RS02625
OG0000578	VQY17_RS02670	HZK19_RS02650
OG0000579	VQY17_RS01845	HZK19_RS01750
OG0000580	VQY17_RS02770	HZK19_RS02760
OG0000581	VQY17_RS01830	HZK19_RS01735
OG0000582	VQY17_RS01280	HZK19_RS01225
OG0000583	VQY17_RS01730	HZK19_RS01655
OG0000585	VQY17_RS02215	HZK19_RS02180
OG0000586	VQY17_RS01705	HZK19_RS01635
OG0000587	VQY17_RS01950	HZK19_RS03875
OG0000588	VQY17_RS01680	HZK19_RS01610
OG0000591	VQY17_RS01970	HZK19_RS03885
OG0000592	VQY17_RS02640	HZK19_RS02615
OG0000593	VQY17_RS03530	HZK19_RS03575
OG0000594	VQY17_RS01250	HZK19_RS01190
OG0000601	VQY17_RS01875	HZK19_RS01765
OG0000602	VQY17_RS02115	HZK19_RS02005
OG0000604	VQY17_RS02780	HZK19_RS03900
OG0000606	VQY17_RS01840	HZK19_RS01740
OG0000608	VQY17_RS01890	HZK19_RS01780
OG0000609	VQY17_RS01915	HZK19_RS01805
OG0000618	VQY17_RS03275	HZK19_RS03330
OG0000623	VQY17_RS01720	HZK19_RS03245
