HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N3.HOG0000172	OG0000108	n0									WP_011206522.1	WP_014580045.1	WP_014580045.1	WP_011206522.1	WP_011206522.1	WP_011290443.1	WP_011206522.1	WP_011206522.1	WP_011206522.1	WP_011290443.1	WP_011284389.1	WP_094521530.1	WP_160588098.1	WP_160588098.1	WP_094521530.1	WP_011206522.1	WP_160588098.1	WP_011290443.1	WP_160588098.1	WP_094521530.1	WP_160588098.1	WP_011206522.1		WP_252862161.1	WP_094521530.1	WP_094521530.1
N3.HOG0000173	OG0000109	n0									WP_011206521.1	WP_016340258.1	WP_014580044.1	WP_011206521.1	WP_041361715.1	WP_044272678.1	WP_179695867.1	WP_179221276.1	WP_135619169.1	WP_146379768.1	WP_044284735.1	WP_233688580.1	WP_041361715.1	WP_041361715.1	WP_041361715.1	WP_160585761.1	WP_160607710.1	WP_160606495.1	WP_146379768.1	WP_160584870.1	WP_146379768.1	WP_011206521.1		WP_252862162.1	WP_011206521.1	WP_011206521.1
N3.HOG0000174	OG0000110	n0									WP_011206518.1	WP_014580043.1	WP_014580043.1	WP_011206518.1	WP_020835930.1	WP_011290440.1	WP_160588095.1	WP_179221275.1	WP_135619167.1	WP_011290440.1	WP_011284386.1	WP_233688579.1	WP_011290440.1	WP_160615736.1	WP_011290440.1	WP_011290440.1	WP_011290440.1	WP_160606497.1	WP_160588095.1	WP_160584872.1	WP_160588095.1	WP_011206518.1		WP_014580043.1	WP_160615736.1	WP_160615736.1
N3.HOG0000175	OG0000111	n0									WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1	WP_011206510.1		WP_011206510.1	WP_243215891.1	WP_243215891.1
N3.HOG0000176	OG0000112	n0									WP_011206162.1	WP_016340208.1	WP_044277991.1	WP_011206162.1	WP_020835678.1	WP_044272430.1	WP_179696071.1	WP_240536650.1	WP_135619192.1	WP_225973035.1	WP_011284080.1	WP_233688736.1	WP_135619192.1	WP_020835678.1	WP_135619192.1	WP_160585050.1	WP_135619192.1	WP_020835678.1	WP_160588213.1	WP_160585050.1	WP_160588213.1	WP_011206162.1		WP_044277991.1	WP_243216094.1	WP_243216094.1
N3.HOG0000177	OG0000113	n0									WP_011206163.1	WP_014579756.1	WP_014579756.1	WP_011206163.1	WP_020835679.1	WP_011290155.1	WP_179696070.1	WP_179221106.1	WP_135618779.1	WP_146379580.1	WP_011284081.1	WP_233688737.1	WP_160601016.1	WP_160615772.1	WP_135618779.1	WP_160585693.1	WP_160607951.1	WP_160606775.1	WP_160588199.1	WP_160585048.1	WP_160588199.1	WP_011206163.1		WP_143826161.1	WP_243216095.1	WP_243216095.1
N3.HOG0000178	OG0000114	n0									WP_011206164.1	WP_014579755.1	WP_014579755.1	WP_011206164.1	WP_020835680.1	WP_011290156.1	WP_011290156.1	WP_179221107.1	WP_135618781.1	WP_146379581.1	WP_011284082.1	WP_233688738.1	WP_160601018.1	WP_160615774.1	WP_160590230.1	WP_160585692.1	WP_160607953.1	WP_160606773.1	WP_160588197.1	WP_160585046.1	WP_160588197.1	WP_129640563.1		WP_014579755.1	WP_243216096.1	WP_243216096.1
N3.HOG0000179	OG0000115	n0									WP_011206238.1	WP_014579835.1	WP_014579835.1	WP_011206238.1	WP_011290214.1	WP_011290214.1	WP_179696017.1	WP_160585202.1	WP_135618876.1	WP_146379627.1	WP_011284162.1	WP_233688430.1	WP_160601114.1	WP_160615871.1	WP_160590311.1	WP_160585769.1	WP_160585202.1	WP_160606854.1	WP_160606854.1	WP_160585202.1	WP_160588278.1	WP_011206238.1		WP_252862190.1	WP_243216182.1	WP_243216182.1
N3.HOG0000180	OG0000116	n0									WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_160607672.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1	WP_011206239.1		WP_011206239.1	WP_011206239.1	WP_011206239.1
N3.HOG0000181	OG0000117	n0									WP_011206240.1	WP_014579834.1	WP_014579834.1	WP_011206240.1	WP_011284163.1	WP_011284163.1	WP_135618878.1	WP_011206240.1	WP_135618878.1	WP_146379628.1	WP_011284163.1	WP_011284163.1	WP_011284163.1	WP_160615869.1	WP_146379628.1	WP_011284163.1	WP_011284163.1	WP_146379628.1	WP_146379628.1	WP_146379628.1	WP_146379628.1	WP_011206240.1		WP_014579834.1	WP_135618878.1	WP_135618878.1
N3.HOG0000182	OG0000118	n0									WP_011206242.1	WP_014579832.1	WP_014579832.1	WP_011206242.1	WP_011290216.1	WP_011290216.1	WP_179696018.1	WP_011206242.1	WP_135618882.1	WP_146379630.1	WP_011284165.1	WP_135618882.1	WP_160588282.1	WP_011206242.1	WP_160588282.1	WP_135618882.1	WP_160607676.1	WP_146379630.1	WP_160588282.1	WP_146379630.1	WP_160588282.1	WP_011206242.1		WP_014579832.1	WP_135618882.1	WP_135618882.1
N3.HOG0000183	OG0000119	n0									WP_011206243.1	WP_014579831.1	WP_014579831.1	WP_011206243.1	WP_014579831.1	WP_044272492.1	WP_179696019.1	WP_179221138.1	WP_011206243.1	WP_014579831.1	WP_011206243.1	WP_233688432.1	WP_011206243.1	WP_011206243.1	WP_014579831.1	WP_160585770.1	WP_160585770.1	WP_014579831.1	WP_014579831.1	WP_014579831.1	WP_014579831.1	WP_011206243.1		WP_014579831.1	WP_011206243.1	WP_011206243.1
N3.HOG0000184	OG0000120	n0									WP_044284796.1	WP_014579830.1	WP_014579830.1	WP_044284796.1	WP_011290218.1	WP_011290218.1	WP_146379631.1	WP_160585203.1	WP_135618884.1	WP_146379631.1	WP_011284167.1	WP_135618884.1	WP_011284167.1	WP_135618884.1	WP_146379631.1	WP_160585771.1	WP_146379631.1	WP_160606852.1	WP_135618884.1	WP_160585203.1	WP_135618884.1	WP_044284796.1		WP_014579830.1	WP_243216184.1	WP_243216184.1
N3.HOG0000185	OG0000121	n0									WP_011284169.1	WP_016340218.1	WP_014579828.1	WP_011284169.1	WP_020835753.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1	WP_011284169.1		WP_252862188.1	WP_011284169.1	WP_011284169.1
N3.HOG0000186	OG0000122	n0									WP_011206247.1	WP_011206247.1	WP_011206247.1	WP_011206247.1	WP_011206247.1	WP_011206247.1	WP_179696020.1	WP_011206247.1	WP_011206247.1	WP_192894278.1	WP_193325075.1	WP_011206247.1	WP_011206247.1	WP_308507045.1	WP_192894278.1	WP_192894278.1	WP_308704677.1	WP_192894278.1	WP_308507065.1	WP_308506995.1	WP_308507065.1	WP_011206247.1		WP_011206247.1	WP_179696020.1	WP_179696020.1
N3.HOG0000187	OG0000123	n0									WP_088172542.1	WP_014579870.1	WP_014579870.1	WP_011206275.1	WP_020835772.1	WP_011290256.1	WP_179696032.1	WP_179221149.1	WP_135618926.1	WP_146379648.1	WP_011284194.1	WP_233688451.1	WP_160601201.1	WP_146379648.1	WP_146379648.1	WP_160585726.1	WP_146379648.1	WP_094521705.1	WP_160585726.1	WP_146379648.1	WP_160585726.1	WP_011206275.1		WP_014579870.1	WP_243216208.1	WP_243216208.1
N3.HOG0000188	OG0000124	n0									WP_044284798.1	WP_044278012.1	WP_044278012.1	WP_044284798.1	WP_020835771.1	WP_044272514.1	WP_258556555.1	WP_240536600.1	WP_240536331.1	WP_225972982.1	WP_044284663.1	WP_233688450.1	WP_258556696.1	WP_225972982.1	WP_258555712.1	WP_258555345.1	WP_258555584.1	WP_258555455.1	WP_258555345.1	WP_280996668.1	WP_258555345.1	WP_044284798.1		WP_044278012.1	WP_243216207.1	WP_243216207.1
N3.HOG0000189	OG0000125	n0									WP_011206273.1	WP_014579868.1	WP_014579868.1	WP_011206273.1	WP_020835770.1	WP_011290254.1	WP_179696030.1	WP_179221147.1	WP_011206273.1	WP_146379646.1	WP_011284192.1	WP_233688449.1	WP_160601197.1	WP_146379646.1	WP_160590440.1	WP_160585724.1	WP_146379646.1	WP_160606729.1	WP_160585724.1	WP_160585080.1	WP_160585724.1	WP_011206273.1		WP_014579868.1	WP_243216206.1	WP_243216206.1
N3.HOG0000190	OG0000126	n0									WP_232039539.1	WP_228365385.1	WP_228365385.1	WP_232039539.1	WP_020835769.1	WP_228366098.1	WP_258556554.1	WP_240536599.1	WP_240536330.1	WP_225972981.1	WP_237697204.1	WP_233688448.1	WP_258556695.1	WP_258555931.1	WP_258555585.1	WP_237697204.1	WP_258555585.1	WP_258555456.1	WP_237697204.1	WP_280996666.1	WP_237697204.1	WP_232039539.1		WP_228365385.1	WP_243216205.1	WP_243216205.1
N3.HOG0000191	OG0000127	n0									WP_011206271.1	WP_011206271.1	WP_011206271.1	WP_011206271.1	WP_041361661.1	WP_011206271.1	WP_011206271.1	WP_044284661.1	WP_135618921.1	WP_146379644.1	WP_044284661.1	WP_233688447.1	WP_011206271.1	WP_160615722.1	WP_160590444.1	WP_011206271.1	WP_160590444.1	WP_160606733.1	WP_011206271.1	WP_041361661.1	WP_011206271.1	WP_011206271.1		WP_011206271.1	WP_011206271.1	WP_011206271.1
N3.HOG0000192	OG0000128	n0									WP_011206268.1	WP_014579864.1	WP_014579864.1	WP_011206268.1	WP_020835765.1	WP_014579864.1	WP_020835765.1	WP_011206268.1	WP_011206268.1	WP_146379641.1	WP_044284660.1	WP_233688444.1	WP_160601227.1	WP_020835765.1	WP_160590507.1	WP_160585296.1	WP_160585296.1	WP_160606955.1	WP_160585296.1	WP_160585296.1	WP_160585296.1	WP_011206268.1		WP_014579864.1	WP_020835765.1	WP_020835765.1
N3.HOG0000193	OG0000129	n0									WP_011206266.1	WP_044278010.1	WP_044278010.1	WP_011206266.1	WP_236607949.1	WP_044272509.1	WP_258556553.1	WP_240536596.1	WP_225972979.1	WP_225972979.1	WP_044284659.1	WP_233688443.1	WP_258555507.1	WP_258555964.1	WP_258555347.1	WP_258555347.1	WP_258555588.1	WP_258555507.1	WP_258555347.1	WP_243216202.1	WP_258555347.1	WP_011206266.1		WP_044278010.1	WP_243216202.1	WP_243216202.1
N3.HOG0000194	OG0000130	n0									WP_011206264.1	WP_014579859.1	WP_014579859.1	WP_011206264.1	WP_011284183.1	WP_011290245.1	WP_011284183.1	WP_179221143.1	WP_011206264.1	WP_011290245.1	WP_011284183.1	WP_011206264.1	WP_011290245.1	WP_011290245.1	WP_011290245.1	WP_160585718.1	WP_011290245.1	WP_160606959.1	WP_160585718.1	WP_160585302.1	WP_160585718.1	WP_011206264.1		WP_014579859.1	WP_014579859.1	WP_014579859.1
N3.HOG0000195	OG0000131	n0									WP_011205977.1	WP_014579711.1	WP_014579711.1	WP_011205977.1	WP_020835632.1	WP_011290102.1	WP_011205977.1	WP_179221065.1	WP_135618672.1	WP_146379548.1	WP_011284015.1	WP_233688701.1	WP_011205977.1	WP_160615718.1	WP_011290102.1	WP_160585556.1	WP_011205977.1	WP_011205977.1	WP_146379548.1	WP_160584712.1	WP_146379548.1	WP_011205977.1		WP_014579711.1	WP_179221065.1	WP_179221065.1
N3.HOG0000196	OG0000132	n0									WP_011205976.1	WP_014579712.1	WP_014579712.1	WP_011205976.1	WP_011290103.1	WP_011290103.1	WP_094521621.1	WP_179221066.1	WP_135618674.1	WP_146379549.1	WP_011284016.1	WP_233688702.1	WP_160600860.1	WP_160615716.1	WP_160590505.1	WP_135618674.1	WP_160608082.1	WP_011290103.1	WP_146379549.1	WP_135618674.1	WP_146379549.1	WP_011205976.1		WP_014579712.1	WP_243216047.1	WP_243216047.1
N3.HOG0000197	OG0000133	n0									WP_044284776.1	WP_014579713.1	WP_014579713.1	WP_044284776.1	WP_020835633.1	WP_044272388.1	WP_179696060.1	WP_179221067.1	WP_135618676.1	WP_146379550.1	WP_044284611.1	WP_233688703.1	WP_160600858.1	WP_160615714.1	WP_160590503.1	WP_160585555.1	WP_160608080.1	WP_160606554.1	WP_160588005.1	WP_160584714.1	WP_160588005.1	WP_044284776.1		WP_014579713.1	WP_243216048.1	WP_243216048.1
N3.HOG0000198	OG0000134	n0									WP_011205972.1	WP_014579716.1	WP_014579716.1	WP_011205972.1	WP_020835634.1	WP_044272391.1	WP_179696059.1	WP_179221068.1	WP_135618678.1	WP_146379552.1	WP_044284612.1	WP_233688704.1	WP_258556636.1	WP_160615712.1	WP_160590299.1	WP_160585681.1	WP_160607810.1	WP_160606556.1	WP_160588233.1	WP_160584718.1	WP_160588233.1	WP_011205972.1		WP_014579716.1	WP_243216049.1	WP_243216049.1
N3.HOG0000199	OG0000135	n0									WP_011205971.1	WP_014579717.1	WP_014579717.1	WP_011205971.1	WP_020835635.1	WP_020835635.1	WP_179696058.1	WP_179221069.1	WP_135618680.1	WP_146379553.1	WP_044284613.1	WP_233688705.1	WP_135618680.1	WP_020835635.1	WP_160590297.1	WP_160585680.1	WP_160607808.1	WP_020835635.1	WP_160588235.1	WP_160584720.1	WP_160588235.1	WP_011205971.1		WP_252862144.1	WP_233688705.1	WP_233688705.1
N3.HOG0000200	OG0000136	n0									WP_044284775.1	WP_011284023.1	WP_011284023.1	WP_044284775.1	WP_011290108.1	WP_011290108.1	WP_179696056.1	WP_179221071.1	WP_228729171.1	WP_011290108.1	WP_011284023.1	WP_233688707.1	WP_011284023.1	WP_308507037.1	WP_179696056.1	WP_011290108.1	WP_011290108.1	WP_011290108.1	WP_179221071.1	WP_011290108.1	WP_179221071.1	WP_044284775.1		WP_011284023.1	WP_228729171.1	WP_228729171.1
N3.HOG0000201	OG0000137	n0									WP_011205967.1	WP_044277984.1	WP_044277984.1	WP_011205967.1	WP_020835638.1	WP_011290109.1	WP_179696055.1	WP_179221072.1	WP_135618686.1	WP_135618686.1	WP_011284024.1	WP_179696055.1	WP_160600850.1	WP_160615708.1	WP_135618686.1	WP_160585678.1	WP_135618686.1	WP_160585678.1	WP_135618686.1	WP_135618686.1	WP_135618686.1	WP_011205967.1		WP_044277984.1	WP_179696055.1	WP_179696055.1
N3.HOG0000202	OG0000138	n0									WP_011205966.1	WP_014579721.1	WP_014579721.1	WP_011205966.1	WP_020835639.1	WP_020835639.1	WP_179696054.1	WP_179221073.1	WP_011205966.1	WP_020835639.1	WP_011205966.1	WP_011205966.1	WP_160600848.1	WP_020835639.1	WP_160588241.1	WP_160585677.1	WP_160588241.1	WP_020835639.1	WP_160588241.1	WP_020835639.1	WP_160588241.1	WP_011205966.1		WP_014579721.1	WP_011205966.1	WP_011205966.1
N3.HOG0000203	OG0000139	n0									WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_179696053.1	WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_011205965.1	WP_160600846.1	WP_011205965.1	WP_160588243.1	WP_011205965.1	WP_160588243.1	WP_011205965.1	WP_160588243.1	WP_011205965.1	WP_160588243.1	WP_011205965.1		WP_011205965.1	WP_243216052.1	WP_243216052.1
N3.HOG0000204	OG0000140	n0									WP_011205964.1	WP_011284027.1	WP_011284027.1	WP_011205964.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_160600844.1	WP_160600844.1	WP_160585676.1	WP_160590292.1	WP_160585676.1	WP_160590292.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_011284027.1	WP_011205964.1		WP_011284027.1	WP_011284027.1	WP_011284027.1
N3.HOG0000205	OG0000141	n0									WP_044284614.1	WP_044284614.1	WP_044277987.1	WP_044284614.1	WP_020835640.1	WP_044272393.1	WP_179696052.1	WP_179221074.1	WP_044284614.1	WP_192894288.1	WP_044284614.1	WP_044284614.1	WP_044284614.1	WP_220191285.1	WP_044284614.1	WP_044284614.1	WP_020835640.1	WP_020835640.1	WP_192894288.1	WP_020835640.1	WP_192894288.1	WP_044284614.1		WP_044284614.1	WP_044284614.1	WP_044284614.1
N3.HOG0000206	OG0000142	n0									WP_011205959.1	WP_011290114.1	WP_011290114.1	WP_011205959.1	WP_011284032.1	WP_011290114.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_146379557.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011284032.1	WP_011205959.1		WP_011290114.1	WP_011284032.1	WP_011284032.1
N3.HOG0000207	OG0000143	n0									WP_011205958.1	WP_014579725.1	WP_014579725.1	WP_011205958.1	WP_020835643.1	WP_044272399.1	WP_011205958.1	WP_020835643.1	WP_135618690.1	WP_020835643.1	WP_011205958.1	WP_011205958.1	WP_020835643.1	WP_020835643.1	WP_020835643.1	WP_160585674.1	WP_020835643.1	WP_020835643.1	WP_020835643.1	WP_020835643.1	WP_020835643.1	WP_011205958.1		WP_014579725.1	WP_011205958.1	WP_011205958.1
N3.HOG0000208	OG0000144	n0									WP_011205956.1	WP_011205956.1	WP_011205956.1	WP_011205956.1	WP_020835645.1	WP_011205956.1	WP_020835645.1	WP_020835645.1	WP_020835645.1	WP_020835645.1	WP_011205956.1	WP_011205956.1	WP_020835645.1	WP_020835645.1	WP_160590288.1	WP_160585673.1	WP_020835645.1	WP_020835645.1	WP_160588256.1	WP_020835645.1	WP_160588256.1	WP_011205956.1		WP_011205956.1	WP_011205956.1	WP_011205956.1
N3.HOG0000209	OG0000145	n0									WP_011205954.1	WP_016340201.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011284036.1	WP_233688711.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1	WP_011205954.1		WP_011205954.1	WP_243216054.1	WP_243216054.1
N3.HOG0000210	OG0000146	n0									WP_011205953.1	WP_014579726.1	WP_014579726.1	WP_011205953.1	WP_011290118.1	WP_011290118.1	WP_011205953.1	WP_011205953.1	WP_011290118.1	WP_011205953.1	WP_011205953.1	WP_011290118.1	WP_160600842.1	WP_011290118.1	WP_011205953.1	WP_011205953.1	WP_011290118.1	WP_011290118.1	WP_011290118.1	WP_011290118.1	WP_011290118.1	WP_011205953.1		WP_014579726.1	WP_011205953.1	WP_011205953.1
N3.HOG0000211	OG0000147	n0									WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_179696050.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_011205952.1	WP_160588259.1	WP_011205952.1	WP_160588259.1	WP_011205952.1		WP_011205952.1	WP_011205952.1	WP_011205952.1
N3.HOG0000212	OG0000148	n0									WP_011205950.1	WP_011290120.1	WP_011290120.1	WP_011205950.1	WP_011290120.1	WP_011290120.1	WP_011290120.1	WP_011290120.1	WP_011205950.1	WP_146379560.1	WP_011284038.1	WP_011205950.1	WP_146379560.1	WP_011290120.1	WP_011290120.1	WP_160585671.1	WP_011290120.1	WP_160606641.1	WP_146379560.1	WP_160585089.1	WP_146379560.1	WP_011205950.1		WP_011290120.1	WP_011205950.1	WP_011205950.1
N3.HOG0000213	OG0000149	n0									WP_011205949.1	WP_016340202.1	WP_014579728.1	WP_011205949.1	WP_020835647.1	WP_044272402.1	WP_179696049.1	WP_179221078.1	WP_135618699.1	WP_146379561.1	WP_044284617.1	WP_233688712.1	WP_160600838.1	WP_160615661.1	WP_160590284.1	WP_160585670.1	WP_160607800.1	WP_160606639.1	WP_160588219.1	WP_160585091.1	WP_160588219.1	WP_011205949.1		WP_014579728.1	WP_243216055.1	WP_243216055.1
N3.HOG0000214	OG0000150	n0									WP_011205948.1	WP_011284040.1	WP_011284040.1	WP_011205948.1	WP_011290122.1	WP_011290122.1	WP_011284040.1	WP_011205948.1	WP_135618701.1	WP_146379562.1	WP_011284040.1	WP_011284040.1	WP_011290122.1	WP_011290122.1	WP_160590282.1	WP_011290122.1	WP_160590282.1	WP_011205948.1	WP_011290122.1	WP_011290122.1	WP_011290122.1	WP_011205948.1		WP_011284040.1	WP_011290122.1	WP_011290122.1
N3.HOG0000215	OG0000151	n0									WP_011205946.1	WP_014579730.1	WP_014579730.1	WP_011205946.1	WP_020835649.1	WP_044272405.1	WP_020835649.1	WP_179221080.1	WP_135618705.1	WP_146379563.1	WP_044284619.1	WP_233688713.1	WP_160600836.1	WP_160615665.1	WP_160590280.1	WP_160585821.1	WP_160607798.1	WP_160606635.1	WP_160588221.1	WP_160585093.1	WP_160588221.1	WP_011205946.1		WP_014579730.1	WP_243216057.1	WP_243216057.1
N3.HOG0000216	OG0000152	n0									WP_011205945.1	WP_014579731.1	WP_014579731.1	WP_011205945.1	WP_020835650.1	WP_044272408.1	WP_160585095.1	WP_179221081.1	WP_135618707.1	WP_146379564.1	WP_044284620.1	WP_233688714.1	WP_160600834.1	WP_160585820.1	WP_160590278.1	WP_160585820.1	WP_160607796.1	WP_160600834.1	WP_160585095.1	WP_160585095.1	WP_160585095.1	WP_011205945.1		WP_014579731.1	WP_243216059.1	WP_243216059.1
N3.HOG0000217	OG0000153	n0									WP_011205944.1	WP_014579732.1	WP_014579732.1	WP_011205944.1	WP_020835651.1	WP_014579732.1	WP_179696048.1	WP_014579732.1	WP_020835651.1	WP_014579732.1	WP_014579732.1	WP_014579732.1	WP_160600832.1	WP_014579732.1	WP_014579732.1	WP_014579732.1	WP_014579732.1	WP_160606633.1	WP_020835651.1	WP_014579732.1	WP_020835651.1	WP_011205944.1		WP_014579732.1	WP_014579732.1	WP_014579732.1
N3.HOG0000218	OG0000154	n0									WP_011205943.1	WP_014579733.1	WP_014579733.1	WP_011205943.1	WP_020835652.1	WP_011290126.1	WP_179696047.1	WP_179221082.1	WP_135618709.1	WP_146379565.1	WP_011284045.1	WP_233688715.1	WP_160600830.1	WP_160590276.1	WP_160590276.1	WP_160585810.1	WP_160607793.1	WP_160606631.1	WP_160588223.1	WP_160585097.1	WP_160588223.1	WP_011205943.1		WP_014579733.1	WP_243216060.1	WP_243216060.1
N3.HOG0000219	OG0000155	n0									WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_160600828.1	WP_011284046.1	WP_160590274.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1	WP_011284046.1		WP_088764591.1	WP_011284046.1	WP_011284046.1
N3.HOG0000220	OG0000156	n0									WP_044284819.1	WP_014579734.1	WP_014579734.1	WP_044284819.1	WP_011284047.1	WP_011284047.1	WP_179696046.1	WP_179221083.1	WP_135618710.1	WP_146379566.1	WP_011284047.1	WP_233688716.1	WP_146379566.1	WP_146379566.1	WP_146379566.1	WP_146379566.1	WP_160585099.1	WP_160606629.1	WP_160588225.1	WP_160585099.1	WP_160588225.1	WP_044284819.1		WP_252862142.1	WP_160588225.1	WP_160588225.1
N3.HOG0000221	OG0000157	n0									WP_011205941.1	WP_014579735.1	WP_014579735.1	WP_011205941.1	WP_014579735.1	WP_014579735.1	WP_014579735.1	WP_179221084.1	WP_014579735.1	WP_014579735.1	WP_014579735.1	WP_233688717.1	WP_014579735.1	WP_014579735.1	WP_014579735.1	WP_160585809.1	WP_014579735.1	WP_160606627.1	WP_014579735.1	WP_014579735.1	WP_014579735.1	WP_011205941.1		WP_014579735.1	WP_014579735.1	WP_014579735.1
N3.HOG0000222	OG0000158	n0									WP_011205939.1	WP_014579737.1	WP_014579737.1	WP_011205939.1	WP_011205939.1	WP_044272410.1	WP_179696044.1	WP_179221086.1	WP_135618714.1	WP_135618714.1	WP_044284621.1	WP_233688719.1	WP_094521636.1	WP_094521636.1	WP_160590270.1	WP_094521636.1	WP_094521636.1	WP_044272410.1	WP_160588229.1	WP_094521636.1	WP_160588229.1	WP_011205939.1		WP_014579737.1	WP_135618714.1	WP_135618714.1
N3.HOG0000223	OG0000159	n0									WP_044284784.1	WP_014579586.1	WP_014579586.1	WP_044284784.1	WP_041361727.1	WP_041361727.1	WP_179695956.1	WP_041361727.1	WP_014579586.1	WP_041361727.1	WP_041361727.1	WP_334301384.1	WP_160601065.1	WP_014579586.1	WP_041361727.1	WP_160585832.1	WP_014579586.1	WP_041361727.1	WP_041361727.1	WP_041361727.1	WP_041361727.1	WP_044284784.1		WP_014579586.1	WP_041361727.1	WP_041361727.1
N3.HOG0000224	OG0000160	n0									WP_011206124.1	WP_014579588.1	WP_014579588.1	WP_011206124.1	WP_020835540.1	WP_044272314.1	WP_179695958.1	WP_179221011.1	WP_135618544.1	WP_146379483.1	WP_044284585.1	WP_233688634.1	WP_160601069.1	WP_160615951.1	WP_160590329.1	WP_160585740.1	WP_160608100.1	WP_160606829.1	WP_160617519.1	WP_160585150.1	WP_160588342.1	WP_129640624.1		WP_014579588.1	WP_243215973.1	WP_044272314.1
N3.HOG0000225	OG0000161	n0									WP_011206123.1	WP_014579589.1	WP_014579589.1	WP_011206123.1	WP_014579589.1	WP_014579589.1	WP_179695959.1	WP_179221012.1	WP_014579589.1	WP_014579589.1	WP_014579589.1	WP_014579589.1	WP_011206123.1	WP_094521764.1	WP_014579589.1	WP_094521764.1	WP_094521764.1	WP_094521764.1	WP_094521764.1	WP_014579589.1	WP_094521764.1	WP_011206123.1		WP_014579589.1	WP_014579589.1	WP_014579589.1
N3.HOG0000226	OG0000162	n0									WP_011206122.1	WP_228365407.1	WP_228365407.1	WP_011206122.1	WP_020835541.1	WP_228366123.1	WP_308705284.1	WP_237697227.1	WP_233688635.1	WP_225973012.1	WP_237697227.1	WP_233688635.1	WP_308704761.1	WP_308507044.1	WP_233688635.1	WP_308507009.1	WP_308704690.1	WP_308704615.1	WP_228365407.1	WP_228365407.1	WP_228365407.1	WP_011206122.1		WP_228365407.1	WP_020835541.1	WP_020835541.1
