HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N30.HOG0000338	OG0000309	n0									WP_011206018.1																					WP_011206018.1				
N30.HOG0000339	OG0000310	n0									WP_011206017.1																					WP_011206017.1				
N30.HOG0000340	OG0000311	n0									WP_011206014.1																					WP_011206014.1				
N30.HOG0000341	OG0000312	n0									WP_011206013.1																					WP_011206013.1				
N30.HOG0000342	OG0000313	n0									WP_044284822.1																					WP_044284822.1				
N30.HOG0000343	OG0000314	n0									WP_011206010.1																					WP_011206010.1				
N30.HOG0000344	OG0000315	n0									WP_011206009.1																					WP_011206009.1				
N30.HOG0000345	OG0000316	n0									WP_011206008.1																					WP_011206008.1				
N30.HOG0000346	OG0000317	n0									WP_011206007.1																					WP_011206007.1				
N30.HOG0000347	OG0000318	n0									WP_011206006.1																					WP_011206006.1				
N30.HOG0000348	OG0000319	n0									WP_011206005.1																					WP_011206005.1				
N30.HOG0000349	OG0000320	n0									WP_011206003.1																					WP_011206003.1				
N30.HOG0000350	OG0000321	n0									WP_011206002.1																					WP_011206002.1				
N30.HOG0000351	OG0000322	n0									WP_011206001.1																					WP_129640616.1				
N30.HOG0000352	OG0000323	n0									WP_011206399.1																					WP_011206399.1				
N30.HOG0000353	OG0000324	n0									WP_011206400.1																					WP_011206400.1				
N30.HOG0000354	OG0000325	n0									WP_011206401.1																					WP_011206401.1				
N30.HOG0000355	OG0000326	n0									WP_011206402.1																					WP_011206402.1				
N30.HOG0000356	OG0000327	n0									WP_011206403.1																					WP_011206403.1				
N30.HOG0000357	OG0000328	n0									WP_011206404.1																					WP_011206404.1				
N30.HOG0000358	OG0000329	n0									WP_011206406.1																					WP_011206406.1				
N30.HOG0000359	OG0000330	n0									WP_011206408.1																					WP_011206408.1				
N30.HOG0000360	OG0000331	n0									WP_011206409.1																					WP_011206409.1				
N30.HOG0000361	OG0000332	n0									WP_232039502.1																					WP_232039502.1				
N30.HOG0000362	OG0000333	n0									WP_011205868.1																					WP_011205868.1				
N30.HOG0000363	OG0000334	n0									WP_011205869.1																					WP_011205869.1				
N30.HOG0000364	OG0000335	n0									WP_228365403.1																					WP_011205870.1				
N30.HOG0000365	OG0000336	n0									WP_011205873.1																					WP_011205873.1				
N30.HOG0000366	OG0000337	n0									WP_011205875.1																					WP_011205875.1				
N30.HOG0000367	OG0000338	n0									WP_011205877.1																					WP_011205877.1				
N30.HOG0000368	OG0000339	n0									WP_011205880.1																					WP_011205880.1				
N30.HOG0000369	OG0000340	n0									WP_011205881.1																					WP_011205881.1				
N30.HOG0000370	OG0000341	n0									WP_011205882.1																					WP_011205882.1				
N30.HOG0000371	OG0000342	n0									WP_011205883.1																					WP_011205883.1				
N30.HOG0000372	OG0000343	n0									WP_011205884.1																					WP_011205884.1				
N30.HOG0000373	OG0000344	n0									WP_011205885.1																					WP_011205885.1				
N30.HOG0000374	OG0000345	n0									WP_011205886.1																					WP_011205886.1				
N30.HOG0000375	OG0000346	n0									WP_011205888.1																					WP_011205888.1				
N30.HOG0000376	OG0000347	n0									WP_011205889.1																					WP_011205889.1				
N30.HOG0000377	OG0000348	n0									WP_011205890.1																					WP_011205890.1				
N30.HOG0000378	OG0000349	n0									WP_011205891.1																					WP_011205891.1				
N30.HOG0000379	OG0000350	n0									WP_011205892.1																					WP_011205892.1				
N30.HOG0000380	OG0000351	n0									WP_011205893.1																					WP_011205893.1				
N30.HOG0000381	OG0000352	n0									WP_011205894.1																					WP_011205894.1				
N30.HOG0000382	OG0000353	n0									WP_011283871.1																					WP_011283871.1				
N30.HOG0000383	OG0000354	n0									WP_011205896.1																					WP_011205896.1				
N30.HOG0000384	OG0000355	n0									WP_011205897.1																					WP_011205897.1				
N30.HOG0000385	OG0000356	n0									WP_011205898.1																					WP_011205898.1				
N30.HOG0000386	OG0000357	n0									WP_011205899.1																					WP_011205899.1				
N30.HOG0000387	OG0000358	n0									WP_232039509.1																					WP_232039509.1				
N30.HOG0000388	OG0000359	n0									WP_011205902.1																					WP_011205902.1				
N30.HOG0000389	OG0000360	n0									WP_011205903.1																					WP_011205903.1				
N30.HOG0000390	OG0000361	n0									WP_011205904.1																					WP_011205904.1				
N30.HOG0000391	OG0000362	n0									WP_011205905.1																					WP_011205905.1				
N30.HOG0000392	OG0000363	n0									WP_011205909.1																					WP_011205909.1				
N30.HOG0000393	OG0000364	n0									WP_044284772.1																					WP_044284772.1				
N30.HOG0000394	OG0000365	n0									WP_011205912.1																					WP_011205912.1				
N30.HOG0000395	OG0000366	n0									WP_011205916.1																					WP_011205916.1				
N30.HOG0000396	OG0000367	n0									WP_044284579.1																					WP_044284579.1				
N30.HOG0000397	OG0000368	n0									WP_011205921.1																					WP_011205921.1				
N30.HOG0000398	OG0000369	n0									WP_011205923.1																					WP_011205923.1				
N30.HOG0000399	OG0000370	n0									WP_044284773.1																					WP_044284773.1				
N30.HOG0000400	OG0000371	n0									WP_011206137.1																					WP_011206137.1				
N30.HOG0000401	OG0000372	n0									WP_011206135.1																					WP_011206135.1				
N30.HOG0000402	OG0000373	n0									WP_011206134.1																					WP_011206134.1				
N30.HOG0000403	OG0000374	n0									WP_011206509.1																					WP_011206509.1				
N30.HOG0000404	OG0000375	n0									WP_011206505.1																					WP_011206505.1				
N30.HOG0000405	OG0000376	n0									WP_011206504.1																					WP_011206504.1				
N30.HOG0000406	OG0000377	n0									WP_011206503.1																					WP_011206503.1				
N30.HOG0000407	OG0000378	n0									WP_011206502.1																					WP_011206502.1				
N30.HOG0000408	OG0000379	n0									WP_173670098.1																					WP_173670098.1				
N30.HOG0000409	OG0000380	n0									WP_044284809.1																					WP_044284809.1				
N30.HOG0000410	OG0000381	n0									WP_238374142.1																					WP_011206497.1				
N30.HOG0000411	OG0000382	n0									WP_011206496.1																					WP_011206496.1				
N30.HOG0000412	OG0000383	n0									WP_011206494.1																					WP_011206494.1				
N30.HOG0000413	OG0000384	n0									WP_011206491.1																					WP_011206491.1				
N30.HOG0000414	OG0000385	n0									WP_011206490.1																					WP_011206490.1				
N30.HOG0000415	OG0000386	n0									WP_014580012.1																					WP_014580012.1				
N30.HOG0000416	OG0000387	n0									WP_011206487.1																					WP_011206487.1				
N30.HOG0000417	OG0000388	n0									WP_011206486.1																					WP_011206486.1				
N30.HOG0000418	OG0000389	n0									WP_011206485.1																					WP_011206485.1				
N30.HOG0000419	OG0000390	n0									WP_011206484.1																					WP_011206484.1				
N30.HOG0000420	OG0000391	n0									WP_011206483.1																					WP_011206483.1				
N30.HOG0000421	OG0000392	n0									WP_011206482.1																					WP_011206482.1				
N30.HOG0000422	OG0000393	n0									WP_011206282.1																					WP_011206282.1				
N30.HOG0000423	OG0000394	n0									WP_011206297.1																					WP_011206297.1				
N30.HOG0000424	OG0000395	n0									WP_011206299.1																					WP_011206299.1				
N30.HOG0000425	OG0000396	n0									WP_011206300.1																					WP_011206300.1				
N30.HOG0000426	OG0000397	n0									WP_011206303.1																					WP_011206303.1				
N30.HOG0000427	OG0000398	n0									WP_011206322.1																					WP_011206322.1				
N30.HOG0000428	OG0000399	n0									WP_011206320.1																					WP_011206320.1				
N30.HOG0000429	OG0000400	n0									WP_011206319.1																					WP_011206319.1				
N30.HOG0000430	OG0000401	n0									WP_011206318.1																					WP_129640583.1				
N30.HOG0000431	OG0000402	n0									WP_011206316.1																					WP_011206316.1				
N30.HOG0000432	OG0000403	n0									WP_011206315.1																					WP_011206315.1				
N30.HOG0000433	OG0000404	n0									WP_011206312.1																					WP_011206312.1				
N30.HOG0000434	OG0000405	n0									WP_011206311.1																					WP_011206311.1				
N30.HOG0000435	OG0000406	n0									WP_011206308.1																					WP_011206308.1				
N30.HOG0000436	OG0000407	n0									WP_011206307.1																					WP_011206307.1				
N30.HOG0000437	OG0000408	n0									WP_011206306.1																					WP_011206306.1				
N30.HOG0000438	OG0000409	n0									WP_011205874.1																					WP_011205874.1				
N30.HOG0000439	OG0000410	n0									WP_011205878.1																					WP_011205878.1				
N30.HOG0000440	OG0000411	n0									WP_041361533.1																					WP_041361533.1				
N30.HOG0000441	OG0000412	n0									WP_011205924.1																					WP_011205924.1				
N30.HOG0000442	OG0000413	n0									WP_011205925.1																					WP_011205925.1				
N30.HOG0000443	OG0000414	n0									WP_011206118.1																					WP_011206118.1				
N30.HOG0000444	OG0000415	n0									WP_011283978.1																					WP_011283978.1				
N30.HOG0000445	OG0000416	n0									WP_011206386.1																					WP_011206386.1				
N30.HOG0000446	OG0000417	n0									WP_011206346.1																					WP_011206346.1				
N30.HOG0000447	OG0000418	n0									WP_011206328.1																					WP_129640587.1				
N30.HOG0000448	OG0000419	n0									WP_011206326.1																					WP_011206326.1				
N30.HOG0000449	OG0000420	n0									WP_011206313.1																					WP_011206313.1				
N30.HOG0000450	OG0000421	n0									WP_011206298.1																					WP_011206298.1				
N30.HOG0000451	OG0000422	n0									WP_011206293.1																					WP_011206293.1				
N30.HOG0000452	OG0000423	n0									WP_011206141.1																					WP_011206141.1				
N30.HOG0000453	OG0000424	n0									WP_011206203.1																					WP_011206203.1				
N30.HOG0000454	OG0000425	n0									WP_011206209.1																					WP_011206209.1				
N30.HOG0000455	OG0000426	n0									WP_011206211.1																					WP_011206211.1				
N30.HOG0000456	OG0000427	n0									WP_011206230.1																					WP_011206230.1				
N30.HOG0000457	OG0000428	n0									WP_011206217.1																					WP_011206217.1				
N30.HOG0000458	OG0000429	n0									WP_011206212.1																					WP_011206212.1				
N30.HOG0000459	OG0000430	n0									WP_011206241.1																					WP_232039531.1				
N30.HOG0000460	OG0000431	n0									WP_088172540.1																					WP_088172540.1				
N30.HOG0000461	OG0000432	n0									WP_011205969.1																					WP_011205969.1				
N30.HOG0000462	OG0000433	n0									WP_011205960.1																					WP_011205960.1				
N30.HOG0000463	OG0000434	n0									WP_011205940.1																					WP_011205940.1				
N30.HOG0000464	OG0000435	n0									WP_011206250.1																					WP_011206250.1				
N30.HOG0000465	OG0000436	n0									WP_011206094.1																					WP_011206094.1				
N30.HOG0000466	OG0000437	n0									WP_088172534.1																					WP_088172534.1				
N30.HOG0000467	OG0000438	n0									WP_011206076.1																					WP_011206076.1				
N30.HOG0000468	OG0000439	n0									WP_011206069.1																					WP_011206069.1				
N30.HOG0000469	OG0000440	n0									WP_011206060.1																					WP_011206060.1				
N30.HOG0000470	OG0000441	n0									WP_011206056.1																					WP_011206056.1				
N30.HOG0000471	OG0000442	n0									WP_011206053.1																					WP_011206053.1				
N30.HOG0000472	OG0000443	n0									WP_011206016.1																					WP_011206016.1				
N30.HOG0000473	OG0000444	n0									WP_011206405.1																					WP_011206405.1				
N30.HOG0000474	OG0000445	n0									WP_011206431.1																					WP_011206431.1				
N30.HOG0000475	OG0000446	n0									WP_011206433.1																					WP_011206433.1				
N30.HOG0000476	OG0000447	n0									WP_011206452.1																					WP_011206452.1				
N30.HOG0000477	OG0000448	n0									WP_011206454.1																					WP_011206454.1				
N30.HOG0000478	OG0000449	n0									WP_011206488.1																					WP_129640593.1				
N30.HOG0000479	OG0000450	n0									WP_011206492.1																					WP_011206492.1				
N30.HOG0000480	OG0000451	n0									WP_011206506.1																					WP_011206506.1				
N30.HOG0000481	OG0000452	n0									WP_011205931.1																					WP_011205931.1				
N30.HOG0000482	OG0000453	n0									WP_011206520.1																					WP_011206520.1				
N30.HOG0000483	OG0000454	n0									WP_014580051.1																					WP_014580051.1				
N30.HOG0000484	OG0000455	n0									WP_011206317.1																					WP_011206317.1				
N30.HOG0000485	OG0000456	n0									WP_011206232.1																					WP_011206232.1				
N30.HOG0000486	OG0000457	n0									WP_011206265.1																					WP_011206265.1				
N30.HOG0000487	OG0000458	n0									WP_011205973.1																					WP_011205973.1				
N30.HOG0000488	OG0000459	n0									WP_011206255.1																					WP_011206255.1				
N30.HOG0000489	OG0000460	n0									WP_044284780.1																					WP_044284780.1				
N30.HOG0000490	OG0000461	n0									WP_011206435.1																					WP_011206435.1				
N30.HOG0000491	OG0000462	n0									WP_011206495.1																					WP_011206495.1				
N30.HOG0000492	OG0000463	n0									WP_011205970.1																					WP_011205970.1				
N30.HOG0000493	OG0000464	n0									WP_011206115.1																					WP_011206115.1				
N30.HOG0000494	OG0000465	n0									WP_014579611.1																					WP_014579611.1				
N30.HOG0000495	OG0000466	n0									WP_232039558.1																					WP_232039558.1				
N30.HOG0000496	OG0000467	n0									WP_011206513.1																					WP_011206513.1				
N30.HOG0000497	OG0000468	n0									WP_241499459.1																					WP_011205955.1				
N30.HOG0000498	OG0000469	n0									WP_232039585.1																					WP_232039585.1				
N30.HOG0000499	OG0000470	n0									WP_011206380.1																					WP_011206380.1				
N30.HOG0000500	OG0000471	n0									WP_011206501.1																					WP_011206501.1				
N30.HOG0000501	OG0000472	n0									WP_011206218.1																					WP_011206218.1				
N30.HOG0000502	OG0000473	n0									WP_052259123.1																					WP_052259123.1				
N30.HOG0000503	OG0000474	n0									WP_044284839.1																					WP_011206344.1				
N30.HOG0000504	OG0000475	n0									WP_011206131.1																					WP_011206131.1				
N30.HOG0000505	OG0000476	n0									WP_011206199.1																					WP_011206199.1				
N30.HOG0000506	OG0000477	n0									WP_011206227.1																					WP_011206227.1				
N30.HOG0000507	OG0000478	n0									WP_044284774.1																					WP_044284774.1				
N30.HOG0000508	OG0000479	n0									WP_232039591.1																					WP_232039591.1				
N30.HOG0000509	OG0000480	n0									WP_011206194.1																					WP_011206194.1				
N30.HOG0000510	OG0000481	n0									WP_232039529.1																					WP_232039529.1				
N30.HOG0000511	OG0000482	n0									WP_228366113.1																					WP_228366113.1				
N30.HOG0000512	OG0000483	n0									WP_011206428.1																					WP_011206428.1				
N30.HOG0000513	OG0000484	n0									WP_228365405.1																					WP_232039506.1				
N30.HOG0000514	OG0000485	n0									WP_225973008.1																					WP_225973008.1				
N30.HOG0000515	OG0000486	n0									WP_011205900.1																					WP_011205900.1				
N30.HOG0000516	OG0000487	n0									WP_011206302.1																					WP_011206302.1				
N30.HOG0000517	OG0000488	n0									WP_011206418.1																					WP_011206418.1				
N30.HOG0000518	OG0000489	n0									WP_318023859.1																					WP_318023859.1				
N30.HOG0000519	OG0000490	n7									WP_011205855.1																					WP_011205855.1				
N30.HOG0000520	OG0000490	n21									WP_232039581.1																					WP_232039581.1				
N30.HOG0000521	OG0000491	n0									WP_011283834.1																					WP_011283834.1				
N30.HOG0000522	OG0000492	n0									WP_011205844.1																					WP_011205844.1				
N30.HOG0000523	OG0000493	n0									WP_011205843.1																					WP_011205843.1				
N30.HOG0000524	OG0000494	n0									WP_011206527.1																					WP_011206527.1				
N30.HOG0000525	OG0000495	n7									WP_011206516.1																					WP_011206516.1				
N30.HOG0000526	OG0000496	n0									WP_011284186.1																					WP_011284186.1				
N30.HOG0000527	OG0000497	n0									WP_011205962.1																					WP_011205962.1				
N30.HOG0000528	OG0000498	n0									WP_088172537.1																					WP_011205957.1				
N30.HOG0000529	OG0000499	n0									WP_011205951.1																					WP_011205951.1				
N30.HOG0000530	OG0000500	n0									WP_011206125.1																					WP_011206125.1				
N30.HOG0000531	OG0000501	n0									WP_011206114.1																					WP_011206114.1				
N30.HOG0000532	OG0000502	n0									WP_052259117.1																					WP_052259117.1				
N30.HOG0000533	OG0000503	n0									WP_011206393.1																					WP_011206393.1				
N30.HOG0000534	OG0000504	n0									WP_011206375.1																					WP_011206375.1				
N30.HOG0000535	OG0000505	n0									WP_011206340.1																					WP_011206340.1				
N30.HOG0000536	OG0000506	n0									WP_011206339.1																					WP_011206339.1				
N30.HOG0000537	OG0000507	n0									WP_011206333.1																					WP_011206333.1				
N30.HOG0000538	OG0000508	n0									WP_011206283.1																					WP_011206283.1				
N30.HOG0000539	OG0000509	n17									WP_011206421.1																					WP_011206421.1				
N30.HOG0000540	OG0000510	n0									WP_011206436.1																					WP_011206436.1				
N30.HOG0000541	OG0000511	n21									WP_088172529.1																					WP_129640628.1, WP_129640559.1				
N30.HOG0000542	OG0000512	n0									WP_011206253.1																					WP_011206253.1				
N30.HOG0000543	OG0000513	n0									WP_011206055.1																					WP_011206055.1				
N30.HOG0000544	OG0000514	n0									WP_011206051.1																					WP_011206051.1				
N30.HOG0000545	OG0000515	n0									WP_011206043.1																					WP_011206043.1				
N30.HOG0000546	OG0000516	n0									WP_011206036.1																					WP_011206036.1				
N30.HOG0000547	OG0000517	n0									WP_044284771.1																					WP_044284771.1				
N30.HOG0000548	OG0000518	n0									WP_011205913.1																					WP_011205913.1				
N30.HOG0000549	OG0000519	n0									WP_011205917.1																					WP_011205917.1				
N30.HOG0000550	OG0000520	n0									WP_011206136.1																					WP_129640626.1				
N30.HOG0000551	OG0000521	n8									WP_011206370.1																					WP_232039625.1, WP_232039616.1, WP_011206370.1				
N30.HOG0000552	OG0000521	n20									WP_088172553.1																					WP_044284787.1				
N30.HOG0000553	OG0000522	n0									WP_011206480.1																					WP_011206480.1				
N30.HOG0000554	OG0000523	n0									WP_011206479.1																					WP_011206479.1				
N30.HOG0000555	OG0000524	n0									WP_011206301.1																					WP_011206301.1				
N30.HOG0000556	OG0000525	n0									WP_011206304.1																					WP_011206304.1				
N30.HOG0000557	OG0000526	n0									WP_011206310.1																					WP_011206310.1				
N30.HOG0000558	OG0000527	n0									WP_011206309.1																					WP_011206309.1				
N30.HOG0000559	OG0000528	n0									WP_011205922.1																					WP_011205922.1				
N30.HOG0000560	OG0000529	n0									WP_088172548.1																					WP_129640585.1				
N30.HOG0000561	OG0000530	n0									WP_011206205.1																					WP_011206205.1				
N30.HOG0000562	OG0000531	n0									WP_011206507.1																					WP_011206507.1				
N30.HOG0000563	OG0000532	n0									WP_011206508.1																					WP_011206508.1				
N30.HOG0000564	OG0000533	n0									WP_088172530.1																					WP_129640612.1				
N30.HOG0000565	OG0000534	n0									WP_011206004.1																					WP_011206004.1				
N30.HOG0000566	OG0000535	n0									WP_011206382.1																					WP_011206382.1				
N30.HOG0000567	OG0000536	n0									WP_011206258.1																					WP_011206258.1				
N30.HOG0000568	OG0000537	n0									WP_011206108.1																					WP_011206108.1				
N30.HOG0000569	OG0000538	n0									WP_158209055.1																					WP_011206235.1				
N30.HOG0000570	OG0000539	n0									WP_011283955.1																					WP_011283955.1				
N30.HOG0000571	OG0000540	n0									WP_011206472.1																					WP_011206472.1				
N30.HOG0000572	OG0000541	n7									WP_011206355.1																					WP_011206355.1				
N30.HOG0000573	OG0000542	n0									WP_011206515.1																					WP_129640595.1				
N30.HOG0000574	OG0000543	n0									WP_011206110.1																					WP_011206110.1				
N30.HOG0000575	OG0000544	n12									WP_011206464.1																					WP_011206464.1				
N30.HOG0000576	OG0000545	n0									WP_011206148.1																					WP_011206148.1				
N30.HOG0000577	OG0000546	n0									WP_011206407.1																					WP_011206407.1				
N30.HOG0000578	OG0000547	n4																														WP_165255034.1				
N30.HOG0000579	OG0000547	n18									WP_044284843.1																					WP_044284843.1				
N30.HOG0000580	OG0000547	n21																														WP_129640561.1				
N30.HOG0000581	OG0000548	n0									WP_011206321.1																					WP_011206321.1				
N30.HOG0000582	OG0000549	n0									WP_202943179.1																					WP_129640571.1				
N30.HOG0000583	OG0000550	n0																														WP_129640569.1				
N30.HOG0000584	OG0000551	n2									WP_011205929.1																					WP_011205929.1				
N30.HOG0000585	OG0000552	n21									WP_011206184.1																					WP_011206184.1				
N30.HOG0000586	OG0000553	n3									WP_011206269.1																					WP_011206269.1				
N30.HOG0000587	OG0000554	n22																														WP_232039525.1				
N30.HOG0000588	OG0000555	n0									WP_011206168.1																					WP_011206168.1				
N30.HOG0000589	OG0000556	n0									WP_011206170.1																					WP_011206170.1				
N30.HOG0000590	OG0000557	n4									WP_011205863.1																					WP_011205863.1				
N30.HOG0000591	OG0000558	n0									WP_011206277.1																					WP_011206277.1				
N30.HOG0000592	OG0000559	n0									WP_011206330.1																					WP_011206330.1				
N30.HOG0000593	OG0000560	n8									WP_011206350.1																									
N30.HOG0000594	OG0000561	n12									WP_011206437.1																					WP_011206437.1				
N30.HOG0000595	OG0000562	n4									WP_232039577.1																					WP_232039577.1				
N30.HOG0000596	OG0000562	n18									WP_241499464.1																					WP_232039513.1				
N30.HOG0000597	OG0000563	n0									WP_011206169.1																					WP_011206169.1				
N30.HOG0000598	OG0000564	n0									WP_228365397.1																					WP_228365397.1				
N30.HOG0000599	OG0000565	n0									WP_011205860.1																					WP_011205860.1				
N30.HOG0000600	OG0000566	n0									WP_011205861.1																					WP_011205861.1				
N30.HOG0000601	OG0000567	n0									WP_011205982.1																					WP_011205982.1				
N30.HOG0000602	OG0000568	n0									WP_011205983.1																					WP_011205983.1				
N30.HOG0000603	OG0000569	n0									WP_011205984.1																					WP_011205984.1				
N30.HOG0000604	OG0000570	n0									WP_011205986.1																					WP_011205986.1				
N30.HOG0000605	OG0000571	n0									WP_011205987.1																					WP_011205987.1				
N30.HOG0000606	OG0000572	n0									WP_011205988.1																					WP_011205988.1				
N30.HOG0000607	OG0000573	n0									WP_011205989.1																					WP_011205989.1				
N30.HOG0000608	OG0000574	n0									WP_011205991.1																					WP_011205991.1				
N30.HOG0000609	OG0000575	n0									WP_011206015.1																					WP_011206015.1				
N30.HOG0000610	OG0000576	n0									WP_011206097.1																					WP_011206097.1				
N30.HOG0000611	OG0000577	n0									WP_011206153.1																					WP_011206153.1				
N30.HOG0000612	OG0000578	n0									WP_011206154.1																					WP_011206154.1				
N30.HOG0000613	OG0000579	n0									WP_011206155.1																					WP_011206155.1				
N30.HOG0000614	OG0000580	n0									WP_011206158.1																					WP_011206158.1				
N30.HOG0000615	OG0000581	n0									WP_011206160.1																					WP_011206160.1				
N30.HOG0000616	OG0000582	n0									WP_011206161.1																					WP_011206161.1				
N30.HOG0000617	OG0000583	n0									WP_011206180.1																					WP_011206180.1				
N30.HOG0000618	OG0000584	n0									WP_011206182.1																					WP_011206182.1				
N30.HOG0000619	OG0000585	n0									WP_011206183.1																					WP_011206183.1				
N30.HOG0000620	OG0000586	n0									WP_011206185.1																					WP_011206185.1				
N30.HOG0000621	OG0000587	n0									WP_011206187.1																					WP_011206187.1				
N30.HOG0000622	OG0000588	n0									WP_011206189.1																					WP_011206189.1				
N30.HOG0000623	OG0000589	n0									WP_011206190.1																					WP_011206190.1				
N30.HOG0000624	OG0000590	n0									WP_011206236.1																					WP_011206236.1				
N30.HOG0000625	OG0000591	n0									WP_011206329.1																					WP_011206329.1				
N30.HOG0000626	OG0000592	n0									WP_011206341.1																					WP_011206341.1				
N30.HOG0000627	OG0000593	n0									WP_011206475.1																					WP_011206475.1				
N30.HOG0000628	OG0000594	n0									WP_011206512.1																					WP_011206512.1				
N30.HOG0000629	OG0000595	n0									WP_014579703.1																					WP_014579703.1				
N30.HOG0000630	OG0000596	n0									WP_014579710.1																					WP_014579710.1				
N30.HOG0000631	OG0000597	n0									WP_014579787.1																					WP_014579787.1				
N30.HOG0000632	OG0000598	n0									WP_044284777.1																					WP_044284777.1				
N30.HOG0000633	OG0000599	n0									WP_044284820.1																					WP_044284820.1				
N30.HOG0000634	OG0000600	n0									WP_088172532.1																					WP_129640620.1				
N30.HOG0000635	OG0000601	n0									WP_173670107.1																					WP_173670107.1				
N30.HOG0000636	OG0000602	n0									WP_228365393.1																					WP_228365393.1				
N30.HOG0000637	OG0000603	n0									WP_232039555.1																					WP_232039555.1				
N30.HOG0000638	OG0000604	n0									WP_238374145.1																					WP_232039527.1				
N30.HOG0000639	OG0000606	n11									WP_011206359.1																					WP_232039618.1, WP_011206359.1				
N30.HOG0000640	OG0000607	n0									WP_011206363.1																					WP_129640632.1, WP_129640630.1, WP_011206363.1				
N30.HOG0000641	OG0000608	n0									WP_011206159.1																					WP_011206159.1				
N30.HOG0000642	OG0000609	n0									WP_011206174.1																					WP_011206174.1				
N30.HOG0000643	OG0000610	n0									WP_011206175.1																					WP_011206175.1				
N30.HOG0000644	OG0000611	n0									WP_011206178.1																					WP_011206178.1				
N30.HOG0000645	OG0000612	n0									WP_011206323.1																					WP_011206323.1				
N30.HOG0000646	OG0000613	n0									WP_011206351.1																					WP_011206351.1				
N30.HOG0000647	OG0000614	n0									WP_011290300.1																					WP_011290300.1				
N30.HOG0000648	OG0000615	n0									WP_165255037.1																					WP_165255037.1				
N30.HOG0000649	OG0000616	n0									WP_173670105.1																					WP_173670105.1				
N30.HOG0000650	OG0000617	n0									WP_173670106.1																					WP_173670106.1				
N30.HOG0000651	OG0000618	n0									WP_238374144.1																					WP_011206156.1				
N30.HOG0000652	OG0000621	n7									WP_011206360.1																					WP_129640606.1, WP_011206360.1, WP_129640604.1				
N30.HOG0000653	OG0000623	n17									WP_187145846.1																									
N30.HOG0000654	OG0000627	n0									WP_011206176.1																					WP_011206176.1				
N30.HOG0000655	OG0000628	n0									WP_011206263.1																					WP_011206263.1				
N30.HOG0000656	OG0000629	n0									WP_269076338.1																					WP_269076338.1				
N30.HOG0000657	OG0000632	n0									WP_088172525.1																					WP_129640610.1, WP_011206356.1				
N30.HOG0000658	OG0000633	n0									WP_088172527.1																					WP_129640602.1, WP_129640555.1				
N30.HOG0000659	OG0000634	n0									WP_158209054.1																					WP_158209054.1				
N30.HOG0000660	OG0000635	n13																														WP_011206128.1				
N30.HOG0000661	OG0000636	n0									WP_011206361.1																					WP_011206361.1				
N30.HOG0000662	OG0000639	n0									WP_011206331.1																					WP_011206331.1				
N30.HOG0000663	OG0000640	n0									WP_232039520.1																					WP_232039520.1				
N30.HOG0000664	OG0000641	n0									WP_258556638.1																					WP_258556638.1				
N30.HOG0000665	OG0000642	n0																														WP_232039523.1				
N30.HOG0000666	OG0000643	n0									WP_011205864.1																					WP_011205864.1				
N30.HOG0000667	OG0000644	n0									WP_011205866.1																					WP_011205866.1				
N30.HOG0000668	OG0000645	n0									WP_011205930.1																					WP_011205930.1				
N30.HOG0000669	OG0000646	n0									WP_158209056.1																					WP_158209056.1				
N30.HOG0000670	OG0000647	n0									WP_228366119.1																					WP_228366119.1				
N30.HOG0000671	OG0000648	n0									WP_011205856.1																					WP_011205856.1				
N30.HOG0000672	OG0000649	n0									WP_011206177.1																					WP_232039521.1				
N30.HOG0000673	OG0000650	n0									WP_011206463.1																					WP_011206463.1				
N30.HOG0000674	OG0000651	n0									WP_232039500.1																					WP_232039500.1				
N30.HOG0000675	OG0000652	n0									WP_277620667.1																					WP_232039614.1, WP_269076340.1				
N30.HOG0000676	OG0000654	n0									WP_158209057.1																					WP_158209057.1				
N30.HOG0000677	OG0000659	n0									WP_011206358.1																					WP_011206358.1, WP_129640639.1				
N30.HOG0000678	OG0000660	n5									WP_088172526.1																					WP_129640553.1				
N30.HOG0000679	OG0000660	n8																														WP_129640608.1				
N30.HOG0000680	OG0000661	n0									WP_258555395.1																					WP_258555395.1				
N30.HOG0000681	OG0000666	n0									WP_011206139.1																					WP_011206139.1				
N30.HOG0000682	OG0000674	n0									WP_232039583.1																					WP_232039583.1				
N30.HOG0000683	OG0000685	n0									WP_011206145.1																					WP_011206145.1				
N30.HOG0000684	OG0000686	n0									WP_011206191.1																					WP_011206191.1				
N30.HOG0000685	OG0000689	n0									WP_232039517.1																					WP_232039517.1				
