Orthogroup	MHP_168L_genes	MHP_J_genes
OG0000480	MHP168L_RS03885	MHJ_RS03770
OG0000481	MHP168L_RS00850	MHJ_RS00790
OG0000482	MHP168L_RS01295	MHJ_RS01185
OG0000483	MHP168L_RS02240	MHJ_RS02025
OG0000484	MHP168L_RS00175	MHJ_RS00175
OG0000485	MHP168L_RS01150	MHJ_RS01140
OG0000486	MHP168L_RS02325	MHJ_RS02255
OG0000487	MHP168L_RS02095	MHJ_RS01960
OG0000488	MHP168L_RS02270	MHJ_RS01995
OG0000489	MHP168L_RS00050	MHJ_RS00050
OG0000490	MHP168L_RS03655	MHJ_RS03570
OG0000491	MHP168L_RS01440	MHJ_RS01320
OG0000492	MHP168L_RS01515	MHJ_RS01395
OG0000493	MHP168L_RS00565	MHJ_RS00565
OG0000495	MHP168L_RS02865	MHJ_RS02805
OG0000496	MHP168L_RS02855	MHJ_RS02795
OG0000497	MHP168L_RS02850	MHJ_RS02790
OG0000498	MHP168L_RS02770	MHJ_RS02700
OG0000499	MHP168L_RS02735	MHJ_RS02665
OG0000500	MHP168L_RS02020	MHJ_RS01880
OG0000501	MHP168L_RS03065	MHJ_RS03040
OG0000502	MHP168L_RS01285	MHJ_RS01175
OG0000503	MHP168L_RS00905	MHJ_RS00735
OG0000505	MHP168L_RS00725	MHJ_RS00905
OG0000506	MHP168L_RS00715	MHJ_RS00915
OG0000507	MHP168L_RS00685	MHJ_RS00950
OG0000508	MHP168L_RS00230	MHJ_RS00230
OG0000509	MHP168L_RS00265	MHJ_RS00265
OG0000510	MHP168L_RS00275	MHJ_RS00275
OG0000511	MHP168L_RS00410	MHJ_RS00410
OG0000512	MHP168L_RS02585	MHJ_RS02510
OG0000513	MHP168L_RS03410	MHJ_RS03395
OG0000514	MHP168L_RS02890	MHJ_RS02830
OG0000515	MHP168L_RS01655	MHJ_RS01535
OG0000516	MHP168L_RS02100	MHJ_RS01965
OG0000517	MHP168L_RS00065	MHJ_RS00065
OG0000518	MHP168L_RS03105	MHJ_RS03080
OG0000519	MHP168L_RS00880	MHJ_RS00760
OG0000520	MHP168L_RS00750	MHJ_RS00885
OG0000521	MHP168L_RS00245	MHJ_RS00245
OG0000522	MHP168L_RS00280	MHJ_RS00280
OG0000523	MHP168L_RS03350	MHJ_RS03335
OG0000524	MHP168L_RS02705	MHJ_RS02635
OG0000525	MHP168L_RS03320	MHJ_RS03305
OG0000526	MHP168L_RS03980	MHJ_RS03870
OG0000527	MHP168L_RS03975	MHJ_RS03865
OG0000527	MHP168L_RS03970	MHJ_RS03860
OG0000528	MHP168L_RS02105	MHJ_RS01970
OG0000529	MHP168L_RS02150	MHJ_RS02190
OG0000530	MHP168L_RS02370	MHJ_RS02290
OG0000531	MHP168L_RS01490	MHJ_RS01370
OG0000532	MHP168L_RS01805	MHJ_RS01585
OG0000533	MHP168L_RS01060	MHJ_RS00585
OG0000534	MHP168L_RS00360	MHJ_RS00360
OG0000535	MHP168L_RS00045	MHJ_RS00045
OG0000536	MHP168L_RS03525	MHJ_RS03510
OG0000537	MHP168L_RS00935	MHJ_RS00705
OG0000538	MHP168L_RS01105	MHJ_RS01095
OG0000539	MHP168L_RS00190	MHJ_RS00190
OG0000540	MHP168L_RS02670	MHJ_RS02600
OG0000541	MHP168L_RS02750	MHJ_RS02680
OG0000542	MHP168L_RS00330	MHJ_RS00330
OG0000543	MHP168L_RS03870	MHJ_RS03760
OG0000544	MHP168L_RS01335	MHJ_RS01225
OG0000546	MHP168L_RS02820	MHJ_RS02755
OG0000547	MHP168L_RS02940	MHJ_RS02885
OG0000548	MHP168L_RS01840	MHJ_RS01550
OG0000549	MHP168L_RS03310	MHJ_RS03295
OG0000550	MHP168L_RS03445	MHJ_RS03430
OG0000551	MHP168L_RS03015	MHJ_RS02965
OG0000552	MHP168L_RS03140	MHJ_RS03115
OG0000553	MHP168L_RS02720	MHJ_RS02650
OG0000554	MHP168L_RS02415	MHJ_RS02335
OG0000555	MHP168L_RS02945	MHJ_RS03945
OG0000557	MHP168L_RS01345	MHJ_RS01235
OG0000558	MHP168L_RS01315	MHJ_RS01205
OG0000559	MHP168L_RS01740	MHJ_RS01645
OG0000560	MHP168L_RS01915	MHJ_RS01760
OG0000561	MHP168L_RS01090	MHJ_RS01080
OG0000562	MHP168L_RS01920	MHJ_RS01765
OG0000563	MHP168L_RS01905	MHJ_RS01750
OG0000564	MHP168L_RS03955	MHJ_RS01260
OG0000565	MHP168L_RS01965	MHJ_RS01820
OG0000566	MHP168L_RS01955	MHJ_RS01810
OG0000567	MHP168L_RS01930	MHJ_RS01780
OG0000568	MHP168L_RS00975	MHJ_RS00665
OG0000569	MHP168L_RS01320	MHJ_RS01210
OG0000570	MHP168L_RS01325	MHJ_RS01215
OG0000571	MHP168L_RS01330	MHJ_RS01220
OG0000572	MHP168L_RS01350	MHJ_RS01240
OG0000573	MHP168L_RS01745	MHJ_RS01640
OG0000574	MHP168L_RS01395	MHJ_RS01280
OG0000575	MHP168L_RS01305	MHJ_RS01195
OG0000576	MHP168L_RS01780	MHJ_RS03625
OG0000577	MHP168L_RS02695	MHJ_RS02620
OG0000578	MHP168L_RS02715	MHJ_RS02645
OG0000579	MHP168L_RS01890	MHJ_RS01740
OG0000580	MHP168L_RS04050	MHJ_RS02760
OG0000581	MHP168L_RS01875	MHJ_RS01725
OG0000582	MHP168L_RS03935	MHJ_RS03835
OG0000583	MHP168L_RS01755	MHJ_RS01630
OG0000585	MHP168L_RS02180	MHJ_RS03590
OG0000586	MHP168L_RS01765	MHJ_RS01620
OG0000587	MHP168L_RS04085	MHJ_RS04025
OG0000588	MHP168L_RS01785	MHJ_RS01600
OG0000591	MHP168L_RS04095	MHJ_RS03990
OG0000592	MHP168L_RS02680	MHJ_RS02610
OG0000593	MHP168L_RS03510	MHJ_RS03495
OG0000594	MHP168L_RS01310	MHJ_RS01200
OG0000596	MHP168L_RS01705	MHJ_RS01685
OG0000598	MHP168L_RS01700	MHJ_RS01690
OG0000599	MHP168L_RS01695	MHJ_RS01695
OG0000601	MHP168L_RS01910	MHJ_RS01755
OG0000602	MHP168L_RS02275	MHJ_RS01990
OG0000606	MHP168L_RS01880	MHJ_RS01730
OG0000610	MHP168L_RS04075	MHJ_RS03970
OG0000612	MHP168L_RS04070	MHJ_RS03855
OG0000615	MHP168L_RS02725	MHJ_RS02655
OG0000621	MHP168L_RS04090	MHJ_RS03985
OG0000664	MHP168L_RS03845	MHJ_RS03780
