Orthogroup	MHP_168L_genes	MHP_111A_genes
OG0000531	MHP168L_RS01490	NB623_RS01520
OG0000532	MHP168L_RS01805	NB623_RS01745
OG0000533	MHP168L_RS01060	NB623_RS00595
OG0000534	MHP168L_RS00360	NB623_RS00370
OG0000536	MHP168L_RS03525	NB623_RS03735
OG0000540	MHP168L_RS02670	NB623_RS02805
OG0000541	MHP168L_RS02750	NB623_RS02880
OG0000543	MHP168L_RS03535	NB623_RS01930
OG0000544	MHP168L_RS01335	NB623_RS01375
OG0000545	MHP168L_RS01925	NB623_RS02270
OG0000546	MHP168L_RS02820	NB623_RS02950
OG0000552	MHP168L_RS03140	NB623_RS03300
OG0000553	MHP168L_RS02720	NB623_RS02855
OG0000554	MHP168L_RS02415	NB623_RS02535
OG0000555	MHP168L_RS02945	NB623_RS03080
OG0000556	MHP168L_RS03560	NB623_RS01970
OG0000557	MHP168L_RS01345	NB623_RS01385
OG0000558	MHP168L_RS01315	NB623_RS01355
OG0000559	MHP168L_RS01740	NB623_RS01825
OG0000560	MHP168L_RS01915	NB623_RS02290
OG0000561	MHP168L_RS01090	NB623_RS01240
OG0000562	MHP168L_RS01920	NB623_RS02280
OG0000563	MHP168L_RS01905	NB623_RS02295
OG0000564	MHP168L_RS03955	NB623_RS01405
OG0000565	MHP168L_RS01965	NB623_RS02220
OG0000566	MHP168L_RS01955	NB623_RS02240
OG0000567	MHP168L_RS01930	NB623_RS02265
OG0000568	MHP168L_RS00975	NB623_RS00685
OG0000569	MHP168L_RS01320	NB623_RS01360
OG0000570	MHP168L_RS01325	NB623_RS01365
OG0000571	MHP168L_RS01330	NB623_RS01370
OG0000572	MHP168L_RS01350	NB623_RS01390
OG0000573	MHP168L_RS01745	NB623_RS01820
OG0000574	MHP168L_RS01395	NB623_RS01425
OG0000575	MHP168L_RS01305	NB623_RS01350
OG0000576	MHP168L_RS01780	NB623_RS01775
OG0000577	MHP168L_RS02695	NB623_RS02825
OG0000578	MHP168L_RS02715	NB623_RS02850
OG0000579	MHP168L_RS01890	NB623_RS02305
OG0000580	MHP168L_RS04050	NB623_RS02955
OG0000581	MHP168L_RS01875	NB623_RS02310
OG0000582	MHP168L_RS03935	NB623_RS01380
OG0000583	MHP168L_RS01755	NB623_RS01810
OG0000584	MHP168L_RS01245	NB623_RS01955
OG0000585	MHP168L_RS02180	NB623_RS02350
OG0000586	MHP168L_RS01765	NB623_RS01795
OG0000587	MHP168L_RS04085	NB623_RS02215
OG0000588	MHP168L_RS01785	NB623_RS01765
OG0000590	MHP168L_RS03550	NB623_RS01945
OG0000591	MHP168L_RS04095	NB623_RS02200
OG0000592	MHP168L_RS02680	NB623_RS02815
OG0000593	MHP168L_RS03510	NB623_RS03720
OG0000596	MHP168L_RS01705	NB623_RS01870
OG0000598	MHP168L_RS01700	NB623_RS01875
OG0000599	MHP168L_RS01695	NB623_RS01880
OG0000600	MHP168L_RS01240	NB623_RS01960
OG0000604	MHP168L_RS04100	NB623_RS02965
OG0000609	MHP168L_RS03835	NB623_RS02250
OG0000610	MHP168L_RS04075	NB623_RS00675
OG0000612	MHP168L_RS04070	NB623_RS01885
OG0000616	MHP168L_RS03565	NB623_RS01975
