Orthogroup	MHP_168L_genes	MHP_4284_genes
OG0000485	MHP168L_RS01150	ABLE99_RS01135
OG0000486	MHP168L_RS02325	ABLE99_RS02140
OG0000487	MHP168L_RS02095	ABLE99_RS01920
OG0000488	MHP168L_RS02270	ABLE99_RS01960
OG0000489	MHP168L_RS00050	ABLE99_RS00050
OG0000490	MHP168L_RS03655	ABLE99_RS03470
OG0000491	MHP168L_RS01440	ABLE99_RS01315
OG0000492	MHP168L_RS01515	ABLE99_RS01390
OG0000493	MHP168L_RS00565	ABLE99_RS00575
OG0000495	MHP168L_RS02865	ABLE99_RS02730
OG0000496	MHP168L_RS02855	ABLE99_RS02720
OG0000497	MHP168L_RS02850	ABLE99_RS02715
OG0000498	MHP168L_RS02770	ABLE99_RS02630
OG0000499	MHP168L_RS02735	ABLE99_RS02595
OG0000500	MHP168L_RS02020	ABLE99_RS01845
OG0000501	MHP168L_RS03065	ABLE99_RS02955
OG0000502	MHP168L_RS01285	ABLE99_RS01165
OG0000503	MHP168L_RS00905	ABLE99_RS00915
OG0000505	MHP168L_RS00725	ABLE99_RS00745
OG0000506	MHP168L_RS00715	ABLE99_RS00735
OG0000507	MHP168L_RS00685	ABLE99_RS00700
OG0000508	MHP168L_RS00230	ABLE99_RS00250
OG0000509	MHP168L_RS00265	ABLE99_RS00285
OG0000510	MHP168L_RS00275	ABLE99_RS00295
OG0000511	MHP168L_RS00410	ABLE99_RS00430
OG0000512	MHP168L_RS02585	ABLE99_RS02450
OG0000513	MHP168L_RS03410	ABLE99_RS03290
OG0000514	MHP168L_RS02890	ABLE99_RS02755
OG0000516	MHP168L_RS02100	ABLE99_RS01925
OG0000517	MHP168L_RS00065	ABLE99_RS00065
OG0000518	MHP168L_RS03105	ABLE99_RS02995
OG0000519	MHP168L_RS00880	ABLE99_RS00890
OG0000520	MHP168L_RS00750	ABLE99_RS00765
OG0000521	MHP168L_RS00245	ABLE99_RS00265
OG0000522	MHP168L_RS00280	ABLE99_RS00300
OG0000523	MHP168L_RS03350	ABLE99_RS03225
OG0000524	MHP168L_RS02705	ABLE99_RS02565
OG0000525	MHP168L_RS03320	ABLE99_RS03210
OG0000527	MHP168L_RS03975	ABLE99_RS01700
OG0000528	MHP168L_RS02105	ABLE99_RS01930
OG0000529	MHP168L_RS02150	ABLE99_RS02075
OG0000530	MHP168L_RS02370	ABLE99_RS02250
OG0000531	MHP168L_RS01490	ABLE99_RS01365
OG0000532	MHP168L_RS01805	ABLE99_RS01580
OG0000534	MHP168L_RS00360	ABLE99_RS00380
OG0000535	MHP168L_RS00045	ABLE99_RS00045
OG0000536	MHP168L_RS03525	ABLE99_RS03405
OG0000537	MHP168L_RS00935	ABLE99_RS00950
OG0000538	MHP168L_RS01105	ABLE99_RS01095
OG0000539	MHP168L_RS00190	ABLE99_RS00215
OG0000540	MHP168L_RS02670	ABLE99_RS02535
OG0000542	MHP168L_RS00330	ABLE99_RS00350
OG0000544	MHP168L_RS01335	ABLE99_RS01225
OG0000545	MHP168L_RS01925	ABLE99_RS01745
OG0000546	MHP168L_RS02820	ABLE99_RS02680
OG0000547	MHP168L_RS02940	ABLE99_RS02810
OG0000548	MHP168L_RS01840	ABLE99_RS01545
OG0000549	MHP168L_RS03310	ABLE99_RS03200
OG0000550	MHP168L_RS03445	ABLE99_RS03325
OG0000551	MHP168L_RS03015	ABLE99_RS02875
OG0000552	MHP168L_RS03140	ABLE99_RS03030
OG0000553	MHP168L_RS02720	ABLE99_RS02580
OG0000554	MHP168L_RS02415	ABLE99_RS02295
OG0000557	MHP168L_RS01345	ABLE99_RS01235
OG0000558	MHP168L_RS01315	ABLE99_RS01205
OG0000559	MHP168L_RS01740	ABLE99_RS01650
OG0000560	MHP168L_RS01915	ABLE99_RS01735
OG0000561	MHP168L_RS01090	ABLE99_RS01080
OG0000562	MHP168L_RS01920	ABLE99_RS01740
OG0000563	MHP168L_RS01905	ABLE99_RS01725
OG0000564	MHP168L_RS03955	ABLE99_RS01255
OG0000565	MHP168L_RS01965	ABLE99_RS01790
OG0000566	MHP168L_RS01955	ABLE99_RS01775
OG0000567	MHP168L_RS01930	ABLE99_RS01750
OG0000568	MHP168L_RS00975	ABLE99_RS00990
OG0000569	MHP168L_RS01320	ABLE99_RS01210
OG0000570	MHP168L_RS01325	ABLE99_RS01215
OG0000571	MHP168L_RS01330	ABLE99_RS01220
OG0000572	MHP168L_RS01350	ABLE99_RS01240
OG0000573	MHP168L_RS01745	ABLE99_RS01645
OG0000574	MHP168L_RS01395	ABLE99_RS01275
OG0000575	MHP168L_RS01305	ABLE99_RS01195
OG0000576	MHP168L_RS01780	ABLE99_RS01600
OG0000577	MHP168L_RS02695	ABLE99_RS02555
OG0000578	MHP168L_RS02715	ABLE99_RS02575
OG0000579	MHP168L_RS01890	ABLE99_RS01715
OG0000580	MHP168L_RS04050	ABLE99_RS02685
OG0000581	MHP168L_RS01875	ABLE99_RS01705
OG0000582	MHP168L_RS03935	ABLE99_RS01230
OG0000583	MHP168L_RS01755	ABLE99_RS01635
OG0000585	MHP168L_RS02180	ABLE99_RS02045
OG0000586	MHP168L_RS01765	ABLE99_RS01620
OG0000587	MHP168L_RS04085	ABLE99_RS01795
OG0000588	MHP168L_RS01785	ABLE99_RS01595
OG0000591	MHP168L_RS04095	ABLE99_RS01810
OG0000592	MHP168L_RS02680	ABLE99_RS02545
OG0000593	MHP168L_RS03510	ABLE99_RS03390
OG0000594	MHP168L_RS01310	ABLE99_RS01200
OG0000601	MHP168L_RS01910	ABLE99_RS01730
OG0000602	MHP168L_RS02275	ABLE99_RS01955
OG0000604	MHP168L_RS04100	ABLE99_RS02695
OG0000606	MHP168L_RS01880	ABLE99_RS01710
OG0000609	MHP168L_RS03835	ABLE99_RS01765
OG0000615	MHP168L_RS02725	ABLE99_RS02585
OG0000621	MHP168L_RS04090	ABLE99_RS01805
