Orthogroup	MHP_111A_genes	MHP_Ue273_genes
OG0000560	NB623_RS02290	VQY17_RS01880
OG0000561	NB623_RS01240	VQY17_RS01140
OG0000562	NB623_RS02280	VQY17_RS01885
OG0000563	NB623_RS02295	VQY17_RS01870
OG0000564	NB623_RS01405	VQY17_RS01305
OG0000565	NB623_RS02220	VQY17_RS01945
OG0000566	NB623_RS02240	VQY17_RS01925
OG0000567	NB623_RS02265	VQY17_RS01900
OG0000568	NB623_RS00685	VQY17_RS00685
OG0000569	NB623_RS01360	VQY17_RS01260
OG0000570	NB623_RS01365	VQY17_RS01265
OG0000571	NB623_RS01370	VQY17_RS01270
OG0000572	NB623_RS01390	VQY17_RS01290
OG0000573	NB623_RS01820	VQY17_RS01740
OG0000574	NB623_RS01425	VQY17_RS01325
OG0000575	NB623_RS01350	VQY17_RS01245
OG0000576	NB623_RS01775	VQY17_RS01690
OG0000577	NB623_RS02825	VQY17_RS02650
OG0000578	NB623_RS02850	VQY17_RS02670
OG0000579	NB623_RS02305	VQY17_RS01845
OG0000580	NB623_RS02955	VQY17_RS02770
OG0000581	NB623_RS02310	VQY17_RS01830
OG0000582	NB623_RS01380	VQY17_RS01280
OG0000583	NB623_RS01810	VQY17_RS01730
OG0000585	NB623_RS02350	VQY17_RS02215
OG0000586	NB623_RS01795	VQY17_RS01705
OG0000587	NB623_RS02215	VQY17_RS01950
OG0000588	NB623_RS01765	VQY17_RS01680
OG0000591	NB623_RS02200	VQY17_RS01970
OG0000592	NB623_RS02815	VQY17_RS02640
OG0000593	NB623_RS03720	VQY17_RS03530
OG0000596	NB623_RS01870	VQY17_RS01785
OG0000598	NB623_RS01875	VQY17_RS01790
OG0000599	NB623_RS01880	VQY17_RS01795
OG0000604	NB623_RS02965	VQY17_RS02780
OG0000608	NB623_RS02275	VQY17_RS01890
OG0000609	NB623_RS02250	VQY17_RS01915
OG0000610	NB623_RS00675	VQY17_RS00675
OG0000611	NB623_RS00100	VQY17_RS00090
OG0000612	NB623_RS01885	VQY17_RS01800
OG0000613	NB623_RS02205	VQY17_RS01965
OG0000622	NB623_RS00960	VQY17_RS00950
OG0000623	NB623_RS01895, NB623_RS02335	VQY17_RS01720
OG0000649	NB623_RS01495	VQY17_RS01395
