Orthogroup	MHP_111A_genes	MHP_112B_genes
OG0000499	NB623_RS02865	NBX26_RS02875
OG0000500	NB623_RS02165	NBX26_RS02170
OG0000501	NB623_RS03220	NBX26_RS03235
OG0000502	NB623_RS01320	NBX26_RS01325
OG0000503	NB623_RS00765	NBX26_RS00770
OG0000504	NB623_RS00905	NBX26_RS00905
OG0000505	NB623_RS01065	NBX26_RS01070
OG0000507	NB623_RS01110	NBX26_RS01115
OG0000511	NB623_RS00420	NBX26_RS00425
OG0000512	NB623_RS02715	NBX26_RS02715
OG0000514	NB623_RS03025	NBX26_RS03035
OG0000516	NB623_RS02090	NBX26_RS02090
OG0000517	NB623_RS00065	NBX26_RS00065
OG0000522	NB623_RS00290	NBX26_RS00295
OG0000523	NB623_RS03540	NBX26_RS03560
OG0000525	NB623_RS03505	NBX26_RS03520
OG0000526	NB623_RS02260	NBX26_RS02270
OG0000527	NB623_RS02315	NBX26_RS02325
OG0000528	NB623_RS02080	NBX26_RS02085
OG0000532	NB623_RS01745	NBX26_RS01750
OG0000533	NB623_RS00595	NBX26_RS00600
OG0000534	NB623_RS00370	NBX26_RS00375
OG0000536	NB623_RS03735	NBX26_RS03740
OG0000540	NB623_RS02805	NBX26_RS02805
OG0000543	NB623_RS01930	NBX26_RS01930
OG0000544	NB623_RS01375	NBX26_RS01380
OG0000545	NB623_RS02270	NBX26_RS02280
OG0000546	NB623_RS02950	NBX26_RS02960
OG0000552	NB623_RS03300	NBX26_RS03320
OG0000553	NB623_RS02855	NBX26_RS02865
OG0000554	NB623_RS02535	NBX26_RS02545
OG0000555	NB623_RS03080	NBX26_RS03090
OG0000556	NB623_RS01970	NBX26_RS01975
OG0000557	NB623_RS01385	NBX26_RS01390
OG0000558	NB623_RS01355	NBX26_RS01360
OG0000559	NB623_RS01825	NBX26_RS01830
OG0000560	NB623_RS02290	NBX26_RS02300
OG0000561	NB623_RS01240	NBX26_RS01245
OG0000562	NB623_RS02280	NBX26_RS02290
OG0000563	NB623_RS02295	NBX26_RS02305
OG0000564	NB623_RS01405	NBX26_RS01410
OG0000565	NB623_RS02220	NBX26_RS02225
OG0000566	NB623_RS02240	NBX26_RS02245
OG0000567	NB623_RS02265	NBX26_RS02275
OG0000568	NB623_RS00685	NBX26_RS00690
OG0000569	NB623_RS01360	NBX26_RS01365
OG0000570	NB623_RS01365	NBX26_RS01370
OG0000571	NB623_RS01370	NBX26_RS01375
OG0000572	NB623_RS01390	NBX26_RS01395
OG0000573	NB623_RS01820	NBX26_RS01825
OG0000574	NB623_RS01425	NBX26_RS01430
OG0000575	NB623_RS01350	NBX26_RS01355
OG0000576	NB623_RS01775	NBX26_RS01780
OG0000577	NB623_RS02825	NBX26_RS02830
OG0000578	NB623_RS02850	NBX26_RS02860
OG0000579	NB623_RS02305	NBX26_RS02315
OG0000580	NB623_RS02955	NBX26_RS02965
OG0000581	NB623_RS02310	NBX26_RS02320
OG0000582	NB623_RS01380	NBX26_RS01385
OG0000583	NB623_RS01810	NBX26_RS01815
OG0000584	NB623_RS01955	NBX26_RS01955
OG0000585	NB623_RS02350	NBX26_RS02360
OG0000586	NB623_RS01795	NBX26_RS01800
OG0000587	NB623_RS02215	NBX26_RS02220
OG0000588	NB623_RS01765	NBX26_RS01770
OG0000589	NB623_RS01010	NBX26_RS01005
OG0000590	NB623_RS01945	NBX26_RS01945
OG0000591	NB623_RS02200	NBX26_RS02205
OG0000592	NB623_RS02815	NBX26_RS02820
OG0000593	NB623_RS03720	NBX26_RS03725
OG0000595	NB623_RS03160	NBX26_RS03175
OG0000596	NB623_RS01870	NBX26_RS01865
OG0000597	NB623_RS03155	NBX26_RS03170
OG0000598	NB623_RS01875	NBX26_RS01870
OG0000599	NB623_RS01880	NBX26_RS01875
OG0000600	NB623_RS01960	NBX26_RS01960
OG0000603	NB623_RS01965	NBX26_RS01965
OG0000604	NB623_RS02965	NBX26_RS02975
OG0000607	NB623_RS01335	NBX26_RS01340
OG0000608	NB623_RS02275	NBX26_RS02285
OG0000609	NB623_RS02250	NBX26_RS02260
OG0000610	NB623_RS00675	NBX26_RS00675
OG0000611	NB623_RS00100	NBX26_RS00100
OG0000612	NB623_RS01885	NBX26_RS01880
OG0000613	NB623_RS02205	NBX26_RS02210
OG0000614	NB623_RS00975	NBX26_RS00970
OG0000616	NB623_RS01975	NBX26_RS01980
OG0000617	NB623_RS01780	NBX26_RS01785
OG0000622	NB623_RS00960	NBX26_RS00955
OG0000623	NB623_RS01895	NBX26_RS01890
OG0000623	NB623_RS02335	NBX26_RS02345
OG0000624	NB623_RS03305	NBX26_RS03325
OG0000644	NB623_RS03165	NBX26_RS03180
OG0000649	NB623_RS01495	NBX26_RS01505
OG0000656	NB623_RS02425	NBX26_RS02435
OG0000657	NB623_RS02555	NBX26_RS02565
OG0000658	NB623_RS02830	NBX26_RS02835
OG0000668	NB623_RS02225	NBX26_RS02230
