Orthogroup	MHP_111A_genes	MHP_UFV02_genes
OG0000564	NB623_RS01405	FEF31_RS00945
OG0000565	NB623_RS02220	FEF31_RS01620
OG0000566	NB623_RS02240	FEF31_RS01605
OG0000567	NB623_RS02265	FEF31_RS01580
OG0000568	NB623_RS00685	FEF31_RS00340
OG0000569	NB623_RS01360	FEF31_RS00895
OG0000570	NB623_RS01365	FEF31_RS04405
OG0000571	NB623_RS01370	FEF31_RS00905
OG0000572	NB623_RS01390	FEF31_RS00925
OG0000573	NB623_RS01820	FEF31_RS01355
OG0000574	NB623_RS01425	FEF31_RS00965
OG0000575	NB623_RS01350	FEF31_RS00880
OG0000576	NB623_RS01775	FEF31_RS01315
OG0000577	NB623_RS02825	FEF31_RS02400
OG0000578	NB623_RS02850	FEF31_RS02420
OG0000579	NB623_RS02305	FEF31_RS01540
OG0000580	NB623_RS02955	FEF31_RS02535
OG0000581	NB623_RS02310	FEF31_RS01530
OG0000582	NB623_RS01380	FEF31_RS04415
OG0000583	NB623_RS01810	FEF31_RS01345
OG0000584	NB623_RS01955	FEF31_RS01425
OG0000585	NB623_RS02350	FEF31_RS01950
OG0000586	NB623_RS01795	FEF31_RS01330
OG0000587	NB623_RS02215	FEF31_RS04780
OG0000588	NB623_RS01765	FEF31_RS01305
OG0000589	NB623_RS01010	FEF31_RS01890
OG0000591	NB623_RS02200	FEF31_RS04065
OG0000592	NB623_RS02815	FEF31_RS02390
OG0000593	NB623_RS03720	FEF31_RS03200
OG0000595	NB623_RS03160	FEF31_RS02735
OG0000596	NB623_RS01870	FEF31_RS01490
OG0000597	NB623_RS03155	FEF31_RS02730
OG0000598	NB623_RS01875	FEF31_RS01495
OG0000599	NB623_RS01880	FEF31_RS01500
OG0000600	NB623_RS01960	FEF31_RS01430
OG0000604	NB623_RS02965	FEF31_RS04155
OG0000607	NB623_RS01335	FEF31_RS00870
OG0000610	NB623_RS00675	FEF31_RS03930
OG0000612	NB623_RS01885	FEF31_RS01505
OG0000613	NB623_RS02205	FEF31_RS01640
OG0000614	NB623_RS00975	FEF31_RS01905
