Orthogroup	MHP_168L_protein	MHP_UFV01_protein
OG0000574	WP_014579697.1	WP_243216030.1
OG0000575	WP_011206015.1	WP_243216012.1
OG0000576	WP_011206097.1	WP_243215991.1
OG0000577	WP_014579765.1	WP_011290145.1
OG0000578	WP_044277993.1	WP_243216081.1
OG0000579	WP_011284074.1	WP_243216083.1
OG0000580	WP_014579761.1	WP_243216090.1
OG0000581	WP_014579759.1	WP_243216093.1
OG0000582	WP_014579758.1	WP_011206161.1
OG0000583	WP_014579786.1	WP_014579786.1
OG0000584	WP_011206182.1	WP_011284100.1
OG0000585	WP_014579789.1	WP_243216120.1
OG0000586	WP_228365425.1	WP_243216124.1
OG0000587	WP_014579794.1	WP_243216127.1
OG0000588	WP_014579796.1	WP_243216133.1
OG0000589	WP_014579797.1	WP_243216135.1
OG0000590	WP_228365382.1	WP_237697200.1
OG0000591	WP_016340237.1	WP_243216270.1
OG0000592	WP_014579922.1	WP_243216276.1
OG0000593	WP_011206475.1	WP_243215859.1
OG0000594	WP_014580028.1	WP_243215893.1
OG0000595	WP_014579703.1	WP_014579703.1
OG0000596	WP_014579710.1	WP_094521768.1
OG0000597	WP_014579787.1	WP_243216119.1
OG0000598	WP_011284003.1	WP_160584731.1
OG0000599	WP_014579714.1	WP_011284018.1
OG0000600	WP_016340189.1	WP_243216007.1
OG0000601	WP_014579799.1	WP_243216141.1
OG0000602	WP_228365393.1	WP_228365393.1
OG0000603	WP_228365396.1	WP_243215857.1
OG0000604	WP_228365427.1	WP_243216130.1
OG0000606	WP_014579679.1, WP_014580037.1	WP_243216111.1
OG0000607	WP_014579687.1	WP_243216106.1
OG0000608	WP_014579760.1	WP_243216092.1
OG0000609	WP_228365424.1	WP_011206174.1
OG0000610	WP_014579782.1	WP_233688744.1
OG0000611	WP_016340210.1	WP_243216118.1
OG0000612	WP_014579909.1	WP_243216259.1
OG0000613	WP_228365392.1	WP_041361798.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000615	WP_258556645.1	WP_279288020.1
OG0000616	WP_014579766.1	WP_243216079.1
OG0000617	WP_269076332.1	WP_011284111.1
OG0000618	WP_228365421.1	WP_243216085.1
OG0000621	WP_014579682.1	WP_243216107.1
OG0000622	WP_044278005.1	WP_243216181.1
OG0000627	WP_014579783.1	WP_014579783.1
OG0000628	WP_233417348.1	WP_243216200.1
OG0000629	WP_258555242.1	WP_258555242.1
OG0000632	WP_011290238.1, WP_011206356.1	WP_011290238.1
OG0000633	WP_014579686.1	WP_014579686.1
OG0000636	WP_014579683.1	WP_014579683.1
OG0000637	WP_044889033.1	WP_243216109.1
OG0000639	WP_016340238.1	WP_243216272.1
OG0000640	WP_044284632.1	WP_232039520.1
OG0000641	WP_258556638.1	WP_279288000.1
OG0000645	WP_016340203.1	WP_243216066.1
OG0000649	WP_014579784.1	WP_011206177.1
OG0000661	WP_258555395.1	WP_258555395.1
OG0000666	WP_014579745.1	WP_044284624.1
OG0000669	WP_014579677.1	WP_041361554.1
OG0000670	WP_044277979.1	WP_243216100.1
OG0000671	WP_014579675.1	WP_243216114.1
OG0000672	WP_014579676.1	WP_020835551.1
OG0000673	WP_014579681.1	WP_243216108.1
