Orthogroup	MHP_UFV02_genes	MHP_131B_genes
OG0000565	FEF31_RS01620	NB627_RS02010
OG0000566	FEF31_RS01605	NB627_RS01990
OG0000567	FEF31_RS01580	NB627_RS01960
OG0000568	FEF31_RS00340	NB627_RS00795
OG0000569	FEF31_RS00895	NB627_RS01350
OG0000570	FEF31_RS04405	NB627_RS01355
OG0000571	FEF31_RS00905	NB627_RS01360
OG0000572	FEF31_RS00925	NB627_RS01390
OG0000573	FEF31_RS01355	NB627_RS01825
OG0000574	FEF31_RS00965	NB627_RS01430
OG0000576	FEF31_RS01315	NB627_RS01780
OG0000577	FEF31_RS02400	NB627_RS02850
OG0000578	FEF31_RS02420	NB627_RS02870
OG0000579	FEF31_RS01540	NB627_RS01920
OG0000580	FEF31_RS02535	NB627_RS02980
OG0000581	FEF31_RS01530	NB627_RS01915
OG0000582	FEF31_RS04415	NB627_RS01380
OG0000583	FEF31_RS01345	NB627_RS01815
OG0000584	FEF31_RS01425	NB627_RS00485
OG0000585	FEF31_RS01950	NB627_RS02370
OG0000586	FEF31_RS01330	NB627_RS01800
OG0000587	FEF31_RS04780	NB627_RS02020
OG0000588	FEF31_RS01305	NB627_RS01770
OG0000589	FEF31_RS01890	NB627_RS02300
OG0000591	FEF31_RS04065	NB627_RS02035
OG0000593	FEF31_RS03200	NB627_RS03730
OG0000594	FEF31_RS00885	NB627_RS01340
OG0000595	FEF31_RS02735	NB627_RS03195
OG0000596	FEF31_RS01490	NB627_RS01870
OG0000597	FEF31_RS02730	NB627_RS03190
OG0000598	FEF31_RS01495	NB627_RS01875
OG0000599	FEF31_RS01500	NB627_RS01880
OG0000600	FEF31_RS01430	NB627_RS00480
OG0000603	FEF31_RS01440	NB627_RS00475
OG0000604	FEF31_RS04155	NB627_RS02990
OG0000605	FEF31_RS01445	NB627_RS00470
OG0000607	FEF31_RS00870	NB627_RS01325
OG0000610	FEF31_RS03930	NB627_RS00785
OG0000612	FEF31_RS01505	NB627_RS01885
OG0000613	FEF31_RS01640	NB627_RS02030
OG0000615	FEF31_RS02430	NB627_RS02880
