Orthogroup	MHP_UFV02_genes	MHP_LH_genes
OG0000507	FEF31_RS00630	KUD10_RS00970
OG0000508	FEF31_RS03520	KUD10_RS00250
OG0000509	FEF31_RS03555	KUD10_RS00285
OG0000510	FEF31_RS03565	KUD10_RS00295
OG0000511	FEF31_RS00095	KUD10_RS00430
OG0000512	FEF31_RS02295	KUD10_RS02635
OG0000513	FEF31_RS03100	KUD10_RS03495
OG0000514	FEF31_RS02600	KUD10_RS02935
OG0000516	FEF31_RS04490	KUD10_RS02060
OG0000517	FEF31_RS03350	KUD10_RS00065
OG0000518	FEF31_RS03675	KUD10_RS03175
OG0000519	FEF31_RS00440	KUD10_RS00780
OG0000520	FEF31_RS00565	KUD10_RS00905
OG0000521	FEF31_RS03535	KUD10_RS00265
OG0000522	FEF31_RS03570	KUD10_RS00300
OG0000523	FEF31_RS03035	KUD10_RS03430
OG0000524	FEF31_RS02410	KUD10_RS02755
OG0000525	FEF31_RS04585	KUD10_RS03395
OG0000526	FEF31_RS01585	KUD10_RS01895
OG0000527	FEF31_RS01525	KUD10_RS01830
OG0000528	FEF31_RS01760	KUD10_RS02065
OG0000529	FEF31_RS01980	KUD10_RS02305
OG0000530	FEF31_RS02080	KUD10_RS02410
OG0000531	FEF31_RS01060	KUD10_RS01470
OG0000532	FEF31_RS01290	KUD10_RS01685
OG0000533	FEF31_RS00260	KUD10_RS00605
OG0000534	FEF31_RS00045	KUD10_RS00380
OG0000535	FEF31_RS04655	KUD10_RS00045
OG0000536	FEF31_RS03215	KUD10_RS03615
OG0000537	FEF31_RS00380	KUD10_RS00720
OG0000538	FEF31_RS00780	KUD10_RS01120
OG0000539	FEF31_RS03485	KUD10_RS00215
OG0000540	FEF31_RS02380	KUD10_RS02725
OG0000541	FEF31_RS02460	KUD10_RS02800
OG0000542	FEF31_RS00015	KUD10_RS00350
OG0000544	FEF31_RS04410	KUD10_RS01325
OG0000545	FEF31_RS01570	KUD10_RS01885
OG0000546	FEF31_RS02530	KUD10_RS02865
OG0000547	FEF31_RS02650	KUD10_RS02985
OG0000548	FEF31_RS01255	KUD10_RS01655
OG0000549	FEF31_RS04580	KUD10_RS03385
OG0000550	FEF31_RS03135	KUD10_RS03530
OG0000552	FEF31_RS03710	KUD10_RS03210
OG0000553	FEF31_RS04535	KUD10_RS02770
OG0000554	FEF31_RS02125	KUD10_RS02455
OG0000555	FEF31_RS02655	KUD10_RS02990
OG0000556	FEF31_RS04460	KUD10_RS01160
OG0000557	FEF31_RS00920	KUD10_RS01335
OG0000558	FEF31_RS00890	KUD10_RS01305
OG0000559	FEF31_RS01360	KUD10_RS01760
OG0000560	FEF31_RS01560	KUD10_RS01875
OG0000561	FEF31_RS00765	KUD10_RS01105
OG0000562	FEF31_RS01565	KUD10_RS01880
OG0000563	FEF31_RS01550	KUD10_RS01865
OG0000564	FEF31_RS00945	KUD10_RS01360
OG0000565	FEF31_RS01620	KUD10_RS01930
OG0000566	FEF31_RS01605	KUD10_RS01915
OG0000567	FEF31_RS01580	KUD10_RS01890
OG0000568	FEF31_RS00340	KUD10_RS00680
OG0000569	FEF31_RS00895	KUD10_RS01310
OG0000570	FEF31_RS04405	KUD10_RS01315
OG0000571	FEF31_RS00905	KUD10_RS01320
OG0000572	FEF31_RS00925	KUD10_RS01340
OG0000573	FEF31_RS01355	KUD10_RS01755
OG0000574	FEF31_RS00965	KUD10_RS01380
OG0000575	FEF31_RS00880	KUD10_RS01295
OG0000576	FEF31_RS01315	KUD10_RS01715
OG0000577	FEF31_RS02400	KUD10_RS02745
OG0000578	FEF31_RS02420	KUD10_RS02765
OG0000579	FEF31_RS01540	KUD10_RS01855
OG0000580	FEF31_RS02535	KUD10_RS02870
OG0000581	FEF31_RS01530	KUD10_RS01835
OG0000582	FEF31_RS04415	KUD10_RS01330
OG0000583	FEF31_RS01345	KUD10_RS01745
OG0000584	FEF31_RS01425	KUD10_RS01190
OG0000585	FEF31_RS01950	KUD10_RS02275
OG0000586	FEF31_RS01330	KUD10_RS01730
OG0000587	FEF31_RS04780	KUD10_RS03745
OG0000588	FEF31_RS01305	KUD10_RS01705
OG0000589	FEF31_RS01890	KUD10_RS02220
OG0000591	FEF31_RS04065	KUD10_RS03705
OG0000592	FEF31_RS02390	KUD10_RS02735
OG0000593	FEF31_RS03200	KUD10_RS03595
OG0000594	FEF31_RS00885	KUD10_RS01300
OG0000595	FEF31_RS02735	KUD10_RS03070
OG0000596	FEF31_RS01490	KUD10_RS01795
OG0000597	FEF31_RS02730	KUD10_RS03065
OG0000598	FEF31_RS01495	KUD10_RS01800
OG0000599	FEF31_RS01500	KUD10_RS01805
OG0000600	FEF31_RS01430	KUD10_RS01185
OG0000601	FEF31_RS01555	KUD10_RS01870
OG0000604	FEF31_RS04155	KUD10_RS03715
OG0000605	FEF31_RS01445	KUD10_RS01175
OG0000606	FEF31_RS01535	KUD10_RS01840
OG0000607	FEF31_RS00870	KUD10_RS01285
OG0000612	FEF31_RS01505	KUD10_RS03695
OG0000613	FEF31_RS01640	KUD10_RS01945
OG0000614	FEF31_RS01905	KUD10_RS02240
OG0000618	FEF31_RS02240	KUD10_RS03350
