Orthogroup	MHP_UFV02_genes	MHP_154B_genes
OG0000557	FEF31_RS00920	NB624_RS01255
OG0000558	FEF31_RS00890	NB624_RS01220
OG0000559	FEF31_RS01360	NB624_RS01700
OG0000560	FEF31_RS01560	NB624_RS01810
OG0000561	FEF31_RS00765	NB624_RS01110
OG0000562	FEF31_RS01565	NB624_RS01815
OG0000563	FEF31_RS01550	NB624_RS01805
OG0000564	FEF31_RS00945	NB624_RS01280
OG0000565	FEF31_RS01620	NB624_RS01880
OG0000566	FEF31_RS01605	NB624_RS01860
OG0000567	FEF31_RS01580	NB624_RS01825
OG0000568	FEF31_RS00340	NB624_RS00995
OG0000569	FEF31_RS00895	NB624_RS01225
OG0000570	FEF31_RS04405	NB624_RS01230
OG0000571	FEF31_RS00905	NB624_RS01235
OG0000572	FEF31_RS00925	NB624_RS01260
OG0000573	FEF31_RS01355	NB624_RS01695
OG0000574	FEF31_RS00965	NB624_RS01300
OG0000575	FEF31_RS00880	NB624_RS01210
OG0000577	FEF31_RS02400	NB624_RS02830
OG0000578	FEF31_RS02420	NB624_RS02850
OG0000579	FEF31_RS01540	NB624_RS01790
OG0000580	FEF31_RS02535	NB624_RS02955
OG0000581	FEF31_RS01530	NB624_RS01775
OG0000582	FEF31_RS04415	NB624_RS01250
OG0000583	FEF31_RS01345	NB624_RS01685
OG0000584	FEF31_RS01425	NB624_RS02100
OG0000585	FEF31_RS01950	NB624_RS02345
OG0000586	FEF31_RS01330	NB624_RS01670
OG0000587	FEF31_RS04780	NB624_RS01885
OG0000588	FEF31_RS01305	NB624_RS01650
OG0000589	FEF31_RS01890	NB624_RS02255
OG0000591	FEF31_RS04065	NB624_RS01900
OG0000592	FEF31_RS02390	NB624_RS02820
OG0000594	FEF31_RS00885	NB624_RS01215
OG0000595	FEF31_RS02735	NB624_RS03165
OG0000597	FEF31_RS02730	NB624_RS03160
OG0000600	FEF31_RS01430	NB624_RS02105
OG0000605	FEF31_RS01445	NB624_RS02115
OG0000606	FEF31_RS01535	NB624_RS01780
OG0000610	FEF31_RS03930	NB624_RS01005
OG0000614	FEF31_RS01905	NB624_RS02270
