Orthogroup	MHP_UFV01_genes	MHP_UFV02_genes
OG0000480	FEF30_RS02410	FEF31_RS01775
OG0000481	FEF30_RS01125	FEF31_RS00470
OG0000482	FEF30_RS01520	FEF31_RS00865
OG0000483	FEF30_RS02455	FEF31_RS01820
OG0000484	FEF30_RS04190	FEF31_RS04675
OG0000485	FEF30_RS01475	FEF31_RS00820
OG0000486	FEF30_RS02680	FEF31_RS02045
OG0000487	FEF30_RS04325	FEF31_RS04485
OG0000488	FEF30_RS02425	FEF31_RS01790
OG0000489	FEF30_RS00380	FEF31_RS03335
OG0000490	FEF30_RS00320	FEF31_RS03275
OG0000491	FEF30_RS01660	FEF31_RS01005
OG0000492	FEF30_RS01740	FEF31_RS01085
OG0000493	FEF30_RS00890	FEF31_RS00240
OG0000494	FEF30_RS00955	FEF31_RS00300
OG0000495	FEF30_RS03215	FEF31_RS02575
OG0000496	FEF30_RS03205	FEF31_RS02565
OG0000497	FEF30_RS03200	FEF31_RS02560
OG0000498	FEF30_RS03115	FEF31_RS02480
OG0000499	FEF30_RS03080	FEF31_RS02445
OG0000500	FEF30_RS02310	FEF31_RS01675
OG0000502	FEF30_RS01510	FEF31_RS00855
OG0000503	FEF30_RS01070	FEF31_RS00415
OG0000504	FEF30_RS01205	FEF31_RS00550
OG0000505	FEF30_RS01240	FEF31_RS00585
OG0000506	FEF30_RS01250	FEF31_RS00595
OG0000507	FEF30_RS01285	FEF31_RS00630
OG0000508	FEF30_RS00565	FEF31_RS03520
OG0000509	FEF30_RS00600	FEF31_RS03555
OG0000510	FEF30_RS00610	FEF31_RS03565
OG0000511	FEF30_RS00745	FEF31_RS00095
OG0000512	FEF30_RS02930	FEF31_RS02295
OG0000513	FEF30_RS00145	FEF31_RS03100
OG0000514	FEF30_RS03240	FEF31_RS02600
OG0000515	FEF30_RS01895	FEF31_RS01240
OG0000515	FEF30_RS01890	FEF31_RS01235
OG0000515	FEF30_RS01885	FEF31_RS01230
OG0000516	FEF30_RS04330	FEF31_RS04490
OG0000517	FEF30_RS00395	FEF31_RS03350
OG0000518	FEF30_RS03455	FEF31_RS03675
OG0000519	FEF30_RS01095	FEF31_RS00440
OG0000520	FEF30_RS01220	FEF31_RS00565
OG0000521	FEF30_RS00580	FEF31_RS03535
OG0000522	FEF30_RS00615	FEF31_RS03570
OG0000523	FEF30_RS00080	FEF31_RS03035
OG0000524	FEF30_RS03045	FEF31_RS02410
OG0000525	FEF30_RS04105	FEF31_RS04585
OG0000526	FEF30_RS02235	FEF31_RS01585
OG0000527	FEF30_RS02175	FEF31_RS01525
OG0000528	FEF30_RS02395	FEF31_RS01760
OG0000529	FEF30_RS02615	FEF31_RS01980
OG0000530	FEF30_RS02720	FEF31_RS02080
OG0000531	FEF30_RS01715	FEF31_RS01060
OG0000532	FEF30_RS01945	FEF31_RS01290
OG0000533	FEF30_RS00915	FEF31_RS00260
OG0000534	FEF30_RS00695	FEF31_RS00045
OG0000535	FEF30_RS04175	FEF31_RS04655
OG0000536	FEF30_RS00260	FEF31_RS03215
OG0000537	FEF30_RS01035	FEF31_RS00380
OG0000538	FEF30_RS01435	FEF31_RS00780
OG0000539	FEF30_RS00530	FEF31_RS03485
OG0000540	FEF30_RS03015	FEF31_RS02380
OG0000541	FEF30_RS03095	FEF31_RS02460
OG0000542	FEF30_RS00665	FEF31_RS00015
OG0000544	FEF30_RS04245	FEF31_RS04410
OG0000545	FEF30_RS02225	FEF31_RS01575
OG0000546	FEF30_RS03165	FEF31_RS02530
OG0000547	FEF30_RS03290	FEF31_RS02650
OG0000548	FEF30_RS01910	FEF31_RS01255
OG0000549	FEF30_RS04100	FEF31_RS04580
OG0000550	FEF30_RS00180	FEF31_RS03135
OG0000552	FEF30_RS03490	FEF31_RS03710
OG0000553	FEF30_RS04365	FEF31_RS04535
OG0000554	FEF30_RS02765	FEF31_RS02125
OG0000555	FEF30_RS03295	FEF31_RS02655
OG0000556	FEF30_RS04300	FEF31_RS04460
OG0000557	FEF30_RS01575	FEF31_RS00920
OG0000558	FEF30_RS01545	FEF31_RS00890
OG0000559	FEF30_RS02015	FEF31_RS01360
OG0000560	FEF30_RS02215	FEF31_RS01560
OG0000561	FEF30_RS01420	FEF31_RS00765
OG0000562	FEF30_RS02220	FEF31_RS01565
OG0000563	FEF30_RS02205	FEF31_RS01550
OG0000564	FEF30_RS01600	FEF31_RS00945
OG0000565	FEF30_RS02260	FEF31_RS01620
OG0000566	FEF30_RS02245	FEF31_RS01605
OG0000567	FEF30_RS02230	FEF31_RS01580
OG0000568	FEF30_RS00995	FEF31_RS00340
OG0000569	FEF30_RS01550	FEF31_RS00895
OG0000570	FEF30_RS04240	FEF31_RS04405
OG0000571	FEF30_RS01560	FEF31_RS00905
OG0000572	FEF30_RS01580	FEF31_RS00925
OG0000573	FEF30_RS02010	FEF31_RS01355
OG0000574	FEF30_RS01620	FEF31_RS00965
OG0000575	FEF30_RS01535	FEF31_RS00880
OG0000576	FEF30_RS01970	FEF31_RS01315
OG0000577	FEF30_RS03035	FEF31_RS02400
OG0000578	FEF30_RS03055	FEF31_RS02420
OG0000579	FEF30_RS02195	FEF31_RS01540
OG0000580	FEF30_RS03170	FEF31_RS02535
OG0000581	FEF30_RS02180	FEF31_RS01530
OG0000582	FEF30_RS04250	FEF31_RS04415
OG0000583	FEF30_RS02000	FEF31_RS01345
OG0000584	FEF30_RS02075	FEF31_RS01425
OG0000585	FEF30_RS02585	FEF31_RS01950
OG0000586	FEF30_RS01985	FEF31_RS01330
OG0000587	FEF30_RS04465	FEF31_RS04780
OG0000588	FEF30_RS01960	FEF31_RS01305
OG0000589	FEF30_RS02520	FEF31_RS01890
OG0000590	FEF30_RS02060	FEF31_RS01410
OG0000591	FEF30_RS03985	FEF31_RS04065
OG0000592	FEF30_RS03025	FEF31_RS02390
OG0000593	FEF30_RS00245	FEF31_RS03200
OG0000594	FEF30_RS01540	FEF31_RS00885
OG0000595	FEF30_RS04470	FEF31_RS02735
OG0000596	FEF30_RS02140	FEF31_RS01490
OG0000597	FEF30_RS03375	FEF31_RS02730
OG0000598	FEF30_RS02145	FEF31_RS01495
OG0000599	FEF30_RS02150	FEF31_RS01500
OG0000600	FEF30_RS02080	FEF31_RS01430
OG0000601	FEF30_RS02210	FEF31_RS01555
OG0000603	FEF30_RS02090	FEF31_RS01440
OG0000604	FEF30_RS04060	FEF31_RS04155
OG0000605	FEF30_RS02095	FEF31_RS01445
OG0000606	FEF30_RS02185	FEF31_RS01535
OG0000607	FEF30_RS01525	FEF31_RS00870
OG0000610	FEF30_RS03840	FEF31_RS03930
OG0000612	FEF30_RS02155	FEF31_RS01505
OG0000614	FEF30_RS02535	FEF31_RS01905
OG0000615	FEF30_RS03065	FEF31_RS02430
OG0000618	FEF30_RS03625	FEF31_RS02240
OG0000628	FEF30_RS02125	FEF31_RS01475
OG0000629	FEF30_RS02050	FEF31_RS01400
OG0000630	FEF30_RS02135	FEF31_RS01485
OG0000631	FEF30_RS02130	FEF31_RS01480
OG0000645	FEF30_RS01495	FEF31_RS00840
OG0000652	FEF30_RS01905	FEF31_RS01250
OG0000677	FEF30_RS02265	FEF31_RS01625
OG0000708	FEF30_RS02550	FEF31_RS01920
