Orthogroup	MHP_F72C_genes	MHP_LH_genes
OG0000507	EHI52_RS01045	KUD10_RS00970
OG0000508	EHI52_RS00260	KUD10_RS00250
OG0000509	EHI52_RS00295	KUD10_RS00285
OG0000510	EHI52_RS00305	KUD10_RS00295
OG0000511	EHI52_RS00445	KUD10_RS00430
OG0000512	EHI52_RS02550	KUD10_RS02635
OG0000513	EHI52_RS03425	KUD10_RS03495
OG0000514	EHI52_RS02850	KUD10_RS02935
OG0000516	EHI52_RS01925	KUD10_RS02060
OG0000517	EHI52_RS00065	KUD10_RS00065
OG0000518	EHI52_RS03125	KUD10_RS03175
OG0000519	EHI52_RS00785	KUD10_RS00780
OG0000520	EHI52_RS00910	KUD10_RS00905
OG0000521	EHI52_RS00275	KUD10_RS00265
OG0000522	EHI52_RS00310	KUD10_RS00300
OG0000523	EHI52_RS03360	KUD10_RS03430
OG0000524	EHI52_RS02665	KUD10_RS02755
OG0000525	EHI52_RS03345	KUD10_RS03395
OG0000526	EHI52_RS03800	KUD10_RS01895
OG0000527	EHI52_RS02185	KUD10_RS01830
OG0000528	EHI52_RS01920	KUD10_RS02065
OG0000529	EHI52_RS02250	KUD10_RS02305
OG0000530	EHI52_RS02355	KUD10_RS02410
OG0000531	EHI52_RS01460	KUD10_RS01470
OG0000532	EHI52_RS01685	KUD10_RS01685
OG0000534	EHI52_RS00395	KUD10_RS00380
OG0000535	EHI52_RS00045	KUD10_RS00045
OG0000536	EHI52_RS03545	KUD10_RS03615
OG0000537	EHI52_RS00725	KUD10_RS00720
OG0000538	EHI52_RS01195	KUD10_RS01120
OG0000539	EHI52_RS00220	KUD10_RS00215
OG0000540	EHI52_RS02635	KUD10_RS02725
OG0000541	EHI52_RS02710	KUD10_RS02800
OG0000542	EHI52_RS00365	KUD10_RS00350
OG0000544	EHI52_RS01315	KUD10_RS01325
OG0000545	EHI52_RS02110	KUD10_RS01885
OG0000546	EHI52_RS02780	KUD10_RS02865
OG0000547	EHI52_RS02900	KUD10_RS02985
OG0000548	EHI52_RS01650	KUD10_RS01655
OG0000549	EHI52_RS03335	KUD10_RS03385
OG0000550	EHI52_RS03460	KUD10_RS03530
OG0000553	EHI52_RS02680	KUD10_RS02770
OG0000554	EHI52_RS02400	KUD10_RS02455
OG0000555	EHI52_RS03850	KUD10_RS02990
OG0000557	EHI52_RS01325	KUD10_RS01335
OG0000558	EHI52_RS01295	KUD10_RS01305
OG0000559	EHI52_RS01755	KUD10_RS01760
OG0000560	EHI52_RS02125	KUD10_RS01875
OG0000561	EHI52_RS01180	KUD10_RS01105
OG0000562	EHI52_RS02120	KUD10_RS01880
OG0000563	EHI52_RS02135	KUD10_RS01865
OG0000564	EHI52_RS03770	KUD10_RS01360
OG0000565	EHI52_RS02070	KUD10_RS01930
OG0000566	EHI52_RS02080	KUD10_RS01915
OG0000567	EHI52_RS02105	KUD10_RS01890
OG0000568	EHI52_RS00685	KUD10_RS00680
OG0000569	EHI52_RS01300	KUD10_RS01310
OG0000570	EHI52_RS01305	KUD10_RS01315
OG0000571	EHI52_RS01310	KUD10_RS01320
OG0000572	EHI52_RS01330	KUD10_RS01340
OG0000573	EHI52_RS01750	KUD10_RS01755
OG0000574	EHI52_RS01370	KUD10_RS01380
OG0000575	EHI52_RS01285	KUD10_RS01295
OG0000576	EHI52_RS01710	KUD10_RS01715
OG0000577	EHI52_RS02655	KUD10_RS02745
OG0000578	EHI52_RS02675	KUD10_RS02765
OG0000579	EHI52_RS02170	KUD10_RS01855
OG0000580	EHI52_RS03845	KUD10_RS02870
OG0000581	EHI52_RS02175	KUD10_RS01835
OG0000582	EHI52_RS03765	KUD10_RS01330
OG0000583	EHI52_RS01740	KUD10_RS01745
OG0000585	EHI52_RS02220	KUD10_RS02275
OG0000586	EHI52_RS01725	KUD10_RS01730
OG0000587	EHI52_RS03915	KUD10_RS03745
OG0000588	EHI52_RS01700	KUD10_RS01705
OG0000589	EHI52_RS00950	KUD10_RS02220
OG0000591	EHI52_RS02045	KUD10_RS03705
OG0000592	EHI52_RS02645	KUD10_RS02735
OG0000593	EHI52_RS03525	KUD10_RS03595
OG0000594	EHI52_RS01290	KUD10_RS01300
OG0000595	EHI52_RS03000	KUD10_RS03070
OG0000596	EHI52_RS01785	KUD10_RS01795
OG0000597	EHI52_RS02995	KUD10_RS03065
OG0000598	EHI52_RS01790	KUD10_RS01800
OG0000599	EHI52_RS01795	KUD10_RS01805
OG0000601	EHI52_RS02130	KUD10_RS01870
OG0000602	EHI52_RS01900	KUD10_RS02090
OG0000604	EHI52_RS03890	KUD10_RS03715
OG0000606	EHI52_RS02160	KUD10_RS01840
OG0000607	EHI52_RS03630	KUD10_RS01285
OG0000609	EHI52_RS03640	KUD10_RS01905
OG0000611	EHI52_RS00090	KUD10_RS00090
OG0000612	EHI52_RS01800	KUD10_RS03695
OG0000613	EHI52_RS03785	KUD10_RS01945
OG0000618	EHI52_RS03300	KUD10_RS03350
