Orthogroup	MHP_F72C_genes	MHP_MHP650_genes
OG0000545	EHI52_RS02110	DR083_RS04250
OG0000546	EHI52_RS02780	DR083_RS00580
OG0000547	EHI52_RS02900	DR083_RS05065
OG0000548	EHI52_RS01650	DR083_RS03570
OG0000549	EHI52_RS03335	DR083_RS04845
OG0000550	EHI52_RS03460	DR083_RS00490
OG0000553	EHI52_RS02680	DR083_RS04775
OG0000554	EHI52_RS02400	DR083_RS03145
OG0000557	EHI52_RS01325	DR083_RS02430
OG0000558	EHI52_RS01295	DR083_RS02460
OG0000559	EHI52_RS01755	DR083_RS02095
OG0000560	EHI52_RS02125	DR083_RS02260
OG0000561	EHI52_RS01180	DR083_RS02015
OG0000562	EHI52_RS02120	DR083_RS02265
OG0000563	EHI52_RS02135	DR083_RS02250
OG0000564	EHI52_RS03770	DR083_RS01195
OG0000565	EHI52_RS02070	DR083_RS02325
OG0000566	EHI52_RS02080	DR083_RS02310
OG0000567	EHI52_RS02105	DR083_RS02280
OG0000568	EHI52_RS00685	DR083_RS01245
OG0000569	EHI52_RS01300	DR083_RS02455
OG0000570	EHI52_RS01305	DR083_RS04810
OG0000571	EHI52_RS01310	DR083_RS02445
OG0000572	EHI52_RS01330	DR083_RS02425
OG0000573	EHI52_RS01750	DR083_RS02090
OG0000574	EHI52_RS01370	DR083_RS01175
OG0000575	EHI52_RS01285	DR083_RS02470
OG0000576	EHI52_RS01710	DR083_RS05080
OG0000577	EHI52_RS02655	DR083_RS02190
OG0000578	EHI52_RS02675	DR083_RS02170
OG0000579	EHI52_RS02170	DR083_RS02240
OG0000580	EHI52_RS03845	DR083_RS03955
OG0000581	EHI52_RS02175	DR083_RS02225
OG0000582	EHI52_RS03765	DR083_RS04800
OG0000583	EHI52_RS01740	DR083_RS02080
OG0000585	EHI52_RS02220	DR083_RS04315
OG0000586	EHI52_RS01725	DR083_RS02065
OG0000587	EHI52_RS03915	DR083_RS05025
OG0000588	EHI52_RS01700	DR083_RS02040
OG0000589	EHI52_RS00950	DR083_RS03545
OG0000591	EHI52_RS02045	DR083_RS04130
OG0000592	EHI52_RS02645	DR083_RS02200
OG0000593	EHI52_RS03525	DR083_RS00810
OG0000594	EHI52_RS01290	DR083_RS02465
OG0000601	EHI52_RS02130	DR083_RS02255
OG0000604	EHI52_RS03890	DR083_RS03960
OG0000606	EHI52_RS02160	DR083_RS02230
OG0000607	EHI52_RS03630	DR083_RS02480
OG0000608	EHI52_RS02115	DR083_RS02270
OG0000609	EHI52_RS03640	DR083_RS05095
OG0000611	EHI52_RS00090	DR083_RS04405
OG0000613	EHI52_RS03785	DR083_RS04125
OG0000615	EHI52_RS02685	DR083_RS02160
