CIB43_RS00005 WP_094521749.1
CIB43_RS03850 WP_011290345.1
CIB43_RS03855 WP_094521741.1
CIB43_RS03860 WP_011206399.1
CIB43_RS03865 WP_011206400.1
CIB43_RS03870 WP_011206400.1
CIB43_RS03875 WP_011206402.1
CIB43_RS03880 WP_094521742.1
CIB43_RS03885 WP_014579955.1
CIB43_RS03890 WP_094521743.1
CIB43_RS03895 WP_094521744.1
CIB43_RS03900 WP_094521744.1
CIB43_RS03905 WP_011206408.1
CIB43_RS03910 WP_094521745.1
CIB43_RS03915 WP_094521784.1
CIB43_RS03920 WP_094521746.1
CIB43_RS03935 WP_094521785.1
CIB43_RS03940 WP_094521748.1
CIB43_RS03950 WP_094521748.1
