FEF31_RS00005 WP_243215955.1
FEF31_RS03850 WP_044272644.1
FEF31_RS03855 WP_044272644.1
FEF31_RS03860 WP_044272644.1
FEF31_RS03865 WP_044272644.1
FEF31_RS03870 WP_044272644.1
FEF31_RS03875 WP_044272644.1
FEF31_RS03880 WP_044272644.1
FEF31_RS03885 WP_044272644.1
FEF31_RS03890 WP_044272644.1
FEF31_RS03895 WP_243235003.1
FEF31_RS03900 WP_243235003.1
FEF31_RS03905 WP_243235003.1
FEF31_RS04805 WP_243235003.1
