MHP168L_RS00005 WP_014579516.1
MHP168L_RS03620 WP_011206520.1
MHP168L_RS03625 WP_016340258.1
MHP168L_RS03630 WP_014580045.1
MHP168L_RS03635 WP_014580046.1
MHP168L_RS03640 WP_014580047.1
MHP168L_RS03645 WP_014580048.1
MHP168L_RS03650 WP_014580049.1
MHP168L_RS03655 WP_014580050.1
MHP168L_RS03660 WP_014580051.1
MHP168L_RS03665 WP_011206529.1
