B5M19_RS00005 WP_088764574.1
B5M19_RS03960 WP_252862209.1
B5M19_RS04530 WP_252862210.1
B5M19_RS03965 WP_189220804.1
B5M19_RS04535 WP_189220804.1
B5M19_RS03600 WP_189220805.1
B5M19_RS03605 WP_252862212.1
B5M19_RS03610 WP_014579859.1
B5M19_RS03615 WP_014579860.1
B5M19_RS03620 WP_308506976.1
B5M19_RS03625 WP_308506976.1
B5M19_RS03630 WP_044278023.1
B5M19_RS03635 WP_014579886.1
B5M19_RS04540 WP_252862214.1
B5M19_RS03645 WP_143826170.1
B5M19_RS03650 WP_011284003.1
B5M19_RS03655 WP_014579699.1
B5M19_RS03660 WP_014579700.1
B5M19_RS03665 WP_014579700.1
B5M19_RS03670 WP_088764621.1
B5M19_RS03675 WP_088764622.1
B5M19_RS03680 WP_014579579.1
B5M19_RS03685 WP_011206135.1
B5M19_RS03690 WP_011206231.1
B5M19_RS03695 WP_014579838.1
B5M19_RS04545 WP_252862215.1
B5M19_RS04550 WP_252862215.1
B5M19_RS03715 WP_088764623.1
B5M19_RS03720 WP_088764624.1
B5M19_RS03725 WP_088764624.1
B5M19_RS03730 WP_088764624.1
B5M19_RS03970 WP_189220807.1
B5M19_RS03735 WP_252862216.1
B5M19_RS03975 WP_252862217.1
B5M19_RS04555 WP_252862218.1
B5M19_RS03745 WP_252862219.1
B5M19_RS03750 WP_252862219.1
B5M19_RS04560 WP_252862220.1
B5M19_RS03980 WP_189220809.1
B5M19_RS03760 WP_143826171.1
B5M19_RS03765 WP_088764626.1
B5M19_RS03770 WP_088764626.1
B5M19_RS03775 WP_088764627.1
B5M19_RS03985 WP_189220813.1
B5M19_RS03785 WP_088764628.1
B5M19_RS04565 WP_252862221.1
B5M19_RS03790 WP_088764629.1
B5M19_RS03865 WP_252862222.1
B5M19_RS03795 WP_088764630.1
B5M19_RS03800 WP_088764630.1
B5M19_RS03810 WP_143826173.1
B5M19_RS03815 WP_143826173.1
