EXC50_RS00005 WP_011205840.1
EXC50_RS04175 WP_232039622.1
EXC50_RS03835 WP_276315191.1
EXC50_RS04250 WP_276315192.1
EXC50_RS03840 WP_129640641.1
EXC50_RS03955 WP_197724688.1
EXC50_RS03855 WP_232039625.1
EXC50_RS03860 WP_232039627.1
EXC50_RS04180 WP_232039629.1
EXC50_RS04185 WP_232039631.1
EXC50_RS04190 WP_232039633.1
EXC50_RS04195 WP_232039635.1
EXC50_RS04200 WP_232039637.1
EXC50_RS04205 WP_232039639.1
EXC50_RS04210 WP_232039640.1
EXC50_RS04215 WP_232039643.1
