Orthogroup	MHP_131B_genes	MHP_TB1_genes
OG0000566	NB627_RS01990	B5M19_RS00675
OG0000567	NB627_RS01960	B5M19_RS00650
OG0000568	NB627_RS00795	B5M19_RS01860
OG0000569	NB627_RS01350	B5M19_RS03665
OG0000570	NB627_RS01355	B5M19_RS02635
OG0000571	NB627_RS01360	B5M19_RS02630
OG0000572	NB627_RS01390	B5M19_RS02610
OG0000573	NB627_RS01825	B5M19_RS02070
OG0000574	NB627_RS01430	B5M19_RS02570
OG0000576	NB627_RS01780	B5M19_RS02030
OG0000577	NB627_RS02850	B5M19_RS00910
OG0000578	NB627_RS02870	B5M19_RS00890
OG0000579	NB627_RS01920	B5M19_RS00615
OG0000580	NB627_RS02980	B5M19_RS02550
OG0000581	NB627_RS01915	B5M19_RS00600
OG0000582	NB627_RS01380	B5M19_RS04400
OG0000583	NB627_RS01815	B5M19_RS02060
OG0000584	NB627_RS00485	B5M19_RS02310
OG0000585	NB627_RS02370	B5M19_RS02965
OG0000588	NB627_RS01770	B5M19_RS02025
OG0000590	NB627_RS00495	B5M19_RS02875
OG0000591	NB627_RS02035	B5M19_RS04575
OG0000593	NB627_RS03730	B5M19_RS00380
OG0000594	NB627_RS01340	B5M19_RS03650
OG0000596	NB627_RS01870	B5M19_RS02110
OG0000598	NB627_RS01875	B5M19_RS02115
OG0000599	NB627_RS01880	B5M19_RS02120
OG0000600	NB627_RS00480	B5M19_RS02305
OG0000603	NB627_RS00475	B5M19_RS02285
OG0000604	NB627_RS02990	B5M19_RS04585
OG0000605	NB627_RS00470	B5M19_RS02280
OG0000612	NB627_RS01885	B5M19_RS04320
OG0000615	NB627_RS02880	B5M19_RS00880
OG0000616	NB627_RS00455	B5M19_RS02890
OG0000620	NB627_RS02015	B5M19_RS03820
OG0000632	NB627_RS01890	B5M19_RS04325
