Orthogroup	MHP_J_genes	MHP_UFV01_genes
OG0000504	MHJ_RS00870	FEF30_RS01205
OG0000505	MHJ_RS00905	FEF30_RS01240
OG0000506	MHJ_RS00915	FEF30_RS01250
OG0000507	MHJ_RS00950	FEF30_RS01285
OG0000508	MHJ_RS00230	FEF30_RS00565
OG0000509	MHJ_RS00265	FEF30_RS00600
OG0000510	MHJ_RS00275	FEF30_RS00610
OG0000511	MHJ_RS00410	FEF30_RS00745
OG0000512	MHJ_RS02510	FEF30_RS02930
OG0000513	MHJ_RS03395	FEF30_RS00145
OG0000514	MHJ_RS02830	FEF30_RS03240
OG0000515	MHJ_RS01535	FEF30_RS01895, FEF30_RS01890
OG0000516	MHJ_RS01965	FEF30_RS04330
OG0000517	MHJ_RS00065	FEF30_RS00395
OG0000518	MHJ_RS03080	FEF30_RS03455
OG0000519	MHJ_RS00760	FEF30_RS01095
OG0000520	MHJ_RS00885	FEF30_RS01220
OG0000521	MHJ_RS00245	FEF30_RS00580
OG0000522	MHJ_RS00280	FEF30_RS00615
OG0000523	MHJ_RS03335	FEF30_RS00080
OG0000524	MHJ_RS02635	FEF30_RS03045
OG0000525	MHJ_RS03305	FEF30_RS04105
OG0000526	MHJ_RS03870, MHJ_RS01785	FEF30_RS02235
OG0000527	MHJ_RS03865	FEF30_RS02175
OG0000528	MHJ_RS01970	FEF30_RS02395
OG0000529	MHJ_RS02190	FEF30_RS02615
OG0000530	MHJ_RS02290	FEF30_RS02720
OG0000531	MHJ_RS01370	FEF30_RS01715
OG0000532	MHJ_RS01585	FEF30_RS01945
OG0000533	MHJ_RS00585	FEF30_RS00915
OG0000534	MHJ_RS00360	FEF30_RS00695
OG0000535	MHJ_RS00045	FEF30_RS04175
OG0000536	MHJ_RS03510	FEF30_RS00260
OG0000537	MHJ_RS00705	FEF30_RS01035
OG0000538	MHJ_RS01095	FEF30_RS01435
OG0000539	MHJ_RS00190	FEF30_RS00530
OG0000540	MHJ_RS02600	FEF30_RS03015
OG0000541	MHJ_RS02680	FEF30_RS03095
OG0000542	MHJ_RS00330	FEF30_RS00665
OG0000544	MHJ_RS01225	FEF30_RS04245
OG0000546	MHJ_RS02755	FEF30_RS03165
OG0000547	MHJ_RS02885	FEF30_RS03290
OG0000548	MHJ_RS01550	FEF30_RS01910
OG0000549	MHJ_RS03295	FEF30_RS04100
OG0000550	MHJ_RS03430	FEF30_RS00180
OG0000551	MHJ_RS02965	FEF30_RS03360
OG0000552	MHJ_RS03115	FEF30_RS03490
OG0000553	MHJ_RS02650	FEF30_RS04365
OG0000554	MHJ_RS02335	FEF30_RS02765
OG0000555	MHJ_RS03945	FEF30_RS03295
OG0000557	MHJ_RS01235	FEF30_RS01575
OG0000558	MHJ_RS01205	FEF30_RS01545
OG0000559	MHJ_RS01645	FEF30_RS02015
OG0000560	MHJ_RS01760	FEF30_RS02215
OG0000561	MHJ_RS01080	FEF30_RS01420
OG0000562	MHJ_RS01765	FEF30_RS02220
OG0000563	MHJ_RS01750	FEF30_RS02205
OG0000564	MHJ_RS01260	FEF30_RS01600
OG0000565	MHJ_RS01820	FEF30_RS02260
OG0000566	MHJ_RS01810	FEF30_RS02245
OG0000567	MHJ_RS01780	FEF30_RS02230
OG0000568	MHJ_RS00665	FEF30_RS00995
OG0000569	MHJ_RS01210	FEF30_RS01550
OG0000570	MHJ_RS01215	FEF30_RS04240
OG0000571	MHJ_RS01220	FEF30_RS01560
OG0000572	MHJ_RS01240	FEF30_RS01580
OG0000573	MHJ_RS01640	FEF30_RS02010
OG0000574	MHJ_RS01280	FEF30_RS01620
OG0000575	MHJ_RS01195	FEF30_RS01535
OG0000576	MHJ_RS03625	FEF30_RS01970
OG0000577	MHJ_RS02620	FEF30_RS03035
OG0000578	MHJ_RS02645	FEF30_RS03055
OG0000579	MHJ_RS01740	FEF30_RS02195
OG0000580	MHJ_RS02760	FEF30_RS03170
OG0000581	MHJ_RS01725	FEF30_RS02180
OG0000582	MHJ_RS03835	FEF30_RS04250
OG0000583	MHJ_RS01630	FEF30_RS02000
OG0000585	MHJ_RS03590	FEF30_RS02585
OG0000586	MHJ_RS01620	FEF30_RS01985
OG0000587	MHJ_RS04025	FEF30_RS04465
OG0000588	MHJ_RS01600	FEF30_RS01960
OG0000589	MHJ_RS03650	FEF30_RS02520
OG0000591	MHJ_RS03990	FEF30_RS03985
OG0000592	MHJ_RS02610	FEF30_RS03025
OG0000593	MHJ_RS03495	FEF30_RS00245
OG0000594	MHJ_RS01200	FEF30_RS01540
OG0000595	MHJ_RS03020	FEF30_RS04470
OG0000596	MHJ_RS01685	FEF30_RS02140
OG0000597	MHJ_RS03015	FEF30_RS03375
OG0000598	MHJ_RS01690	FEF30_RS02145
OG0000599	MHJ_RS01695	FEF30_RS02150
OG0000601	MHJ_RS01755	FEF30_RS02210
OG0000602	MHJ_RS01990	FEF30_RS02420
OG0000606	MHJ_RS01730	FEF30_RS02185
OG0000607	MHJ_RS03755	FEF30_RS01525
OG0000610	MHJ_RS03970	FEF30_RS03840
OG0000612	MHJ_RS03855	FEF30_RS02155
OG0000615	MHJ_RS02655	FEF30_RS03065
OG0000621	MHJ_RS03985	FEF30_RS03980
OG0000652	MHJ_RS03975	FEF30_RS01905
