Orthogroup	MHP_J_genes	MHP_111A_genes
OG0000557	MHJ_RS01235	NB623_RS01385
OG0000558	MHJ_RS01205	NB623_RS01355
OG0000559	MHJ_RS01645	NB623_RS01825
OG0000560	MHJ_RS01760	NB623_RS02290
OG0000561	MHJ_RS01080	NB623_RS01240
OG0000562	MHJ_RS01765	NB623_RS02280
OG0000563	MHJ_RS01750	NB623_RS02295
OG0000564	MHJ_RS01260	NB623_RS01405
OG0000565	MHJ_RS01820	NB623_RS02220
OG0000566	MHJ_RS01810	NB623_RS02240
OG0000567	MHJ_RS01780	NB623_RS02265
OG0000568	MHJ_RS00665	NB623_RS00685
OG0000569	MHJ_RS01210	NB623_RS01360
OG0000570	MHJ_RS01215	NB623_RS01365
OG0000571	MHJ_RS01220	NB623_RS01370
OG0000572	MHJ_RS01240	NB623_RS01390
OG0000573	MHJ_RS01640	NB623_RS01820
OG0000574	MHJ_RS01280	NB623_RS01425
OG0000575	MHJ_RS01195	NB623_RS01350
OG0000576	MHJ_RS03625	NB623_RS01775
OG0000577	MHJ_RS02620	NB623_RS02825
OG0000578	MHJ_RS02645	NB623_RS02850
OG0000579	MHJ_RS01740	NB623_RS02305
OG0000580	MHJ_RS02760	NB623_RS02955
OG0000581	MHJ_RS01725	NB623_RS02310
OG0000582	MHJ_RS03835	NB623_RS01380
OG0000583	MHJ_RS01630	NB623_RS01810
OG0000585	MHJ_RS03590	NB623_RS02350
OG0000586	MHJ_RS01620	NB623_RS01795
OG0000587	MHJ_RS04025	NB623_RS02215
OG0000588	MHJ_RS01600	NB623_RS01765
OG0000589	MHJ_RS03650	NB623_RS01010
OG0000591	MHJ_RS03990	NB623_RS02200
OG0000592	MHJ_RS02610	NB623_RS02815
OG0000593	MHJ_RS03495	NB623_RS03720
OG0000596	MHJ_RS01685	NB623_RS01870
OG0000598	MHJ_RS01690	NB623_RS01875
OG0000599	MHJ_RS01695	NB623_RS01880
OG0000607	MHJ_RS03755	NB623_RS01335
OG0000610	MHJ_RS03970	NB623_RS00675
OG0000612	MHJ_RS03855	NB623_RS01885
