Orthogroup	MHP_NCTC10127_genes	MHP_TB1_genes
OG0000504	EXC50_RS03190	B5M19_RS01650
OG0000505	EXC50_RS03155	B5M19_RS03420
OG0000506	EXC50_RS03145	B5M19_RS03410
OG0000507	EXC50_RS03110	B5M19_RS03375
OG0000508	EXC50_RS00260	B5M19_RS00170
OG0000509	EXC50_RS00295	B5M19_RS00205
OG0000510	EXC50_RS00305	B5M19_RS00215
OG0000511	EXC50_RS03655	B5M19_RS03685
OG0000512	EXC50_RS01400	B5M19_RS01015
OG0000513	EXC50_RS02270	B5M19_RS00480
OG0000514	EXC50_RS01700	B5M19_RS01405
OG0000515	EXC50_RS00520	B5M19_RS03270
OG0000516	EXC50_RS00955	B5M19_RS00835
OG0000517	EXC50_RS00065	B5M19_RS01870
OG0000518	EXC50_RS01945	B5M19_RS01515
OG0000519	EXC50_RS03300	B5M19_RS01760
OG0000520	EXC50_RS03175	B5M19_RS01635
OG0000521	EXC50_RS00275	B5M19_RS00185
OG0000522	EXC50_RS00310	B5M19_RS00220
OG0000523	EXC50_RS02205	B5M19_RS00545
OG0000524	EXC50_RS01515	B5M19_RS00900
OG0000525	EXC50_RS02170	B5M19_RS00575
OG0000526	EXC50_RS04005	B5M19_RS04070
OG0000527	EXC50_RS00720	B5M19_RS04065
OG0000528	EXC50_RS00960	B5M19_RS00840
OG0000529	EXC50_RS01090	B5M19_RS02935
OG0000530	EXC50_RS01200	B5M19_RS02705
OG0000531	EXC50_RS02690	B5M19_RS01175
OG0000532	EXC50_RS00575	B5M19_RS04500
OG0000533	EXC50_RS03490	B5M19_RS04515
OG0000535	EXC50_RS00045	B5M19_RS04610
OG0000536	EXC50_RS02385	B5M19_RS00365
OG0000537	EXC50_RS03360	B5M19_RS01820
OG0000538	EXC50_RS02965	B5M19_RS04340
OG0000539	EXC50_RS00220	B5M19_RS00130
OG0000540	EXC50_RS01485	B5M19_RS00930
OG0000541	EXC50_RS01560	B5M19_RS00855
OG0000542	EXC50_RS00365	B5M19_RS00275
OG0000543	EXC50_RS00505	B5M19_RS04430
OG0000544	EXC50_RS02835	B5M19_RS04410
OG0000545	EXC50_RS00770	B5M19_RS00645
OG0000546	EXC50_RS01630	B5M19_RS02545
OG0000547	EXC50_RS01750	B5M19_RS01355
OG0000548	EXC50_RS00535	B5M19_RS03295
OG0000549	EXC50_RS02160	B5M19_RS00585
OG0000550	EXC50_RS02305	B5M19_RS04055
OG0000551	EXC50_RS01825	B5M19_RS01275
OG0000552	EXC50_RS01980	B5M19_RS01550
OG0000553	EXC50_RS01530	B5M19_RS00885
OG0000554	EXC50_RS01245	B5M19_RS02655
OG0000555	EXC50_RS04055	B5M19_RS01350
OG0000556	EXC50_RS03790, EXC50_RS03775	B5M19_RS02885
OG0000557	EXC50_RS02825	B5M19_RS02615
OG0000558	EXC50_RS02855	B5M19_RS03655
OG0000559	EXC50_RS00655	B5M19_RS02075
OG0000560	EXC50_RS00760	B5M19_RS00635
OG0000561	EXC50_RS02980	B5M19_RS02205
OG0000562	EXC50_RS00765	B5M19_RS00640
OG0000563	EXC50_RS00750	B5M19_RS00625
OG0000564	EXC50_RS04095	B5M19_RS03930
OG0000565	EXC50_RS00810	B5M19_RS00685
OG0000566	EXC50_RS00800	B5M19_RS00675
OG0000567	EXC50_RS00775	B5M19_RS00650
OG0000568	EXC50_RS03400	B5M19_RS01860
OG0000569	EXC50_RS02850	B5M19_RS03665
OG0000570	EXC50_RS02845	B5M19_RS02635
OG0000571	EXC50_RS02840	B5M19_RS02630
OG0000572	EXC50_RS02820	B5M19_RS02610
OG0000573	EXC50_RS00650	B5M19_RS02070
OG0000574	EXC50_RS02780	B5M19_RS02570
OG0000575	EXC50_RS02865	B5M19_RS03670
OG0000576	EXC50_RS00610	B5M19_RS02030
OG0000577	EXC50_RS01505	B5M19_RS00910
OG0000578	EXC50_RS01525	B5M19_RS00890
OG0000579	EXC50_RS00740	B5M19_RS00615
OG0000580	EXC50_RS04050	B5M19_RS02550
OG0000581	EXC50_RS00725	B5M19_RS00600
OG0000582	EXC50_RS04100	B5M19_RS04400
OG0000583	EXC50_RS00640	B5M19_RS02060
OG0000584	EXC50_RS03755	B5M19_RS02310
OG0000588	EXC50_RS00600	B5M19_RS02025
OG0000590	EXC50_RS03745	B5M19_RS02875
OG0000591	EXC50_RS03890	B5M19_RS04575
OG0000592	EXC50_RS01495	B5M19_RS04115
OG0000593	EXC50_RS02370	B5M19_RS00380
OG0000594	EXC50_RS02860	B5M19_RS03650
OG0000598	EXC50_RS00690	B5M19_RS02115
OG0000599	EXC50_RS00695	B5M19_RS02120
OG0000600	EXC50_RS02480	B5M19_RS02305
OG0000601	EXC50_RS00755	B5M19_RS00630
OG0000604	EXC50_RS04240	B5M19_RS04585
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	B5M19_RS02280
OG0000606	EXC50_RS00730	B5M19_RS00605
OG0000612	EXC50_RS03995	B5M19_RS04320
OG0000615	EXC50_RS01535	B5M19_RS00880
OG0000616	EXC50_RS03795	B5M19_RS02890
OG0000619	EXC50_RS00735	B5M19_RS00610
OG0000620	EXC50_RS03885	B5M19_RS03820
OG0000621	EXC50_RS04230	B5M19_RS04570
