Orthogroup	MHP_NCTC10127_genes	MHP_ES2L_genes
OG0000501	EXC50_RS01905	HZK19_RS03010
OG0000502	EXC50_RS02885	HZK19_RS01165
OG0000503	EXC50_RS03325	HZK19_RS00735
OG0000504	EXC50_RS03190	HZK19_RS00870
OG0000505	EXC50_RS03155	HZK19_RS00905
OG0000506	EXC50_RS03145	HZK19_RS00915
OG0000507	EXC50_RS03110	HZK19_RS00950
OG0000508	EXC50_RS00260	HZK19_RS00235
OG0000509	EXC50_RS00295	HZK19_RS00270
OG0000510	EXC50_RS00305	HZK19_RS00280
OG0000511	EXC50_RS03655	HZK19_RS00415
OG0000513	EXC50_RS02270	HZK19_RS03475
OG0000514	EXC50_RS01700	HZK19_RS02825
OG0000515	EXC50_RS02525	HZK19_RS01530
OG0000516	EXC50_RS00955	HZK19_RS01975
OG0000517	EXC50_RS00065	HZK19_RS00065
OG0000518	EXC50_RS01945	HZK19_RS03145
OG0000519	EXC50_RS03300	HZK19_RS00760
OG0000520	EXC50_RS03175	HZK19_RS00885
OG0000521	EXC50_RS00275	HZK19_RS00250
OG0000522	EXC50_RS00310	HZK19_RS00285
OG0000523	EXC50_RS02205	HZK19_RS03410
OG0000524	EXC50_RS01515	HZK19_RS02640
OG0000525	EXC50_RS02170	HZK19_RS03375
OG0000526	EXC50_RS04005	HZK19_RS03755
OG0000527	EXC50_RS00720	HZK19_RS01730
OG0000528	EXC50_RS00960	HZK19_RS01980
OG0000529	EXC50_RS01090	HZK19_RS02210
OG0000530	EXC50_RS01200	HZK19_RS02315
OG0000531	EXC50_RS02690	HZK19_RS01365
OG0000532	EXC50_RS00575	HZK19_RS01590
OG0000533	EXC50_RS03490	HZK19_RS00590
OG0000534	EXC50_RS00395	HZK19_RS00365
OG0000535	EXC50_RS00045	HZK19_RS00045
OG0000536	EXC50_RS02385	HZK19_RS03590
OG0000537	EXC50_RS03360	HZK19_RS00700
OG0000538	EXC50_RS02965	HZK19_RS01100
OG0000539	EXC50_RS00220	HZK19_RS00200
OG0000540	EXC50_RS01485	HZK19_RS02605
OG0000541	EXC50_RS01560	HZK19_RS02685
OG0000542	EXC50_RS00365	HZK19_RS00335
OG0000543	EXC50_RS00505, EXC50_RS03730	HZK19_RS03095
OG0000544	EXC50_RS02835	HZK19_RS01215
OG0000545	EXC50_RS00770	HZK19_RS01785
OG0000546	EXC50_RS01630	HZK19_RS02755
OG0000547	EXC50_RS01750	HZK19_RS02875
OG0000548	EXC50_RS00535	HZK19_RS01560
OG0000549	EXC50_RS02160	HZK19_RS03365
OG0000550	EXC50_RS02305	HZK19_RS03510
OG0000551	EXC50_RS01825	HZK19_RS02945
OG0000552	EXC50_RS01980	HZK19_RS03180
OG0000553	EXC50_RS01530	HZK19_RS02655
OG0000554	EXC50_RS01245	HZK19_RS02360
OG0000555	EXC50_RS04055	HZK19_RS02880
OG0000556	EXC50_RS03790, EXC50_RS03775	HZK19_RS03050
OG0000557	EXC50_RS02825	HZK19_RS01230
OG0000558	EXC50_RS02855	HZK19_RS01195
OG0000559	EXC50_RS00655	HZK19_RS01670
OG0000560	EXC50_RS00760	HZK19_RS01770
OG0000561	EXC50_RS02980	HZK19_RS01085
OG0000562	EXC50_RS00765	HZK19_RS01775
OG0000563	EXC50_RS00750	HZK19_RS01760
OG0000564	EXC50_RS04095	HZK19_RS03725
OG0000565	EXC50_RS00810	HZK19_RS01835
OG0000566	EXC50_RS00800	HZK19_RS01815
OG0000567	EXC50_RS00775	HZK19_RS01790
OG0000568	EXC50_RS03400	HZK19_RS00660
OG0000569	EXC50_RS02850	HZK19_RS01200
OG0000570	EXC50_RS02845	HZK19_RS01205
OG0000571	EXC50_RS02840	HZK19_RS01210
OG0000572	EXC50_RS02820	HZK19_RS01235
OG0000573	EXC50_RS00650	HZK19_RS01665
OG0000574	EXC50_RS02780	HZK19_RS01275
OG0000575	EXC50_RS02865	HZK19_RS01185
OG0000576	EXC50_RS00610	HZK19_RS01615
OG0000577	EXC50_RS01505	HZK19_RS02625
OG0000578	EXC50_RS01525	HZK19_RS02650
OG0000579	EXC50_RS00740	HZK19_RS01750
OG0000580	EXC50_RS04050	HZK19_RS02760
OG0000581	EXC50_RS00725	HZK19_RS01735
OG0000582	EXC50_RS04100	HZK19_RS01225
OG0000583	EXC50_RS00640	HZK19_RS01655
OG0000584	EXC50_RS03755	HZK19_RS03070
OG0000586	EXC50_RS00625	HZK19_RS01635
OG0000587	EXC50_RS03910	HZK19_RS03875
OG0000588	EXC50_RS00600	HZK19_RS01610
OG0000590	EXC50_RS03745	HZK19_RS03080
OG0000591	EXC50_RS03890	HZK19_RS03885
OG0000592	EXC50_RS01495	HZK19_RS02615
OG0000593	EXC50_RS02370	HZK19_RS03575
OG0000594	EXC50_RS02860	HZK19_RS01190
OG0000600	EXC50_RS02480	HZK19_RS03065
OG0000601	EXC50_RS00755	HZK19_RS01765
OG0000602	EXC50_RS00980	HZK19_RS02005
OG0000603	EXC50_RS03765	HZK19_RS03060
OG0000604	EXC50_RS04240	HZK19_RS03900
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	HZK19_RS03055
OG0000606	EXC50_RS00730	HZK19_RS01740
OG0000608	EXC50_RS04000	HZK19_RS01780
OG0000609	EXC50_RS03905	HZK19_RS01805
OG0000615	EXC50_RS01535	HZK19_RS02660
OG0000616	EXC50_RS03795	HZK19_RS03045
OG0000618	EXC50_RS02125	HZK19_RS03330
OG0000619	EXC50_RS00735	HZK19_RS01745
OG0000620	EXC50_RS03885	HZK19_RS01845
OG0000621	EXC50_RS04230	HZK19_RS03880
