Orthogroup	MHP_NCTC10127_genes	MHP_ES2_genes
OG0000501	EXC50_RS01905	E5E95_RS04280, E5E95_RS04275
OG0000502	EXC50_RS02885	E5E95_RS01220
OG0000503	EXC50_RS03325	E5E95_RS00760
OG0000504	EXC50_RS03190	E5E95_RS00895
OG0000506	EXC50_RS03145	E5E95_RS00960
OG0000508	EXC50_RS00260	E5E95_RS00250
OG0000509	EXC50_RS00295	E5E95_RS00285
OG0000510	EXC50_RS00305	E5E95_RS00295
OG0000511	EXC50_RS03655	E5E95_RS00430
OG0000512	EXC50_RS01400	E5E95_RS02755
OG0000513	EXC50_RS02270	E5E95_RS03645
OG0000514	EXC50_RS01700	E5E95_RS03060
OG0000516	EXC50_RS00955	E5E95_RS02130
OG0000517	EXC50_RS00065	E5E95_RS00065
OG0000518	EXC50_RS01945	E5E95_RS03315
OG0000519	EXC50_RS03300	E5E95_RS00785
OG0000520	EXC50_RS03175	E5E95_RS00910
OG0000521	EXC50_RS00275	E5E95_RS00265
OG0000522	EXC50_RS00310	E5E95_RS00300
OG0000523	EXC50_RS02205	E5E95_RS03580
OG0000525	EXC50_RS02170	E5E95_RS03545
OG0000526	EXC50_RS04005	E5E95_RS04020
OG0000527	EXC50_RS00720	E5E95_RS01880
OG0000528	EXC50_RS00960	E5E95_RS02135
OG0000529	EXC50_RS01090	E5E95_RS02355
OG0000531	EXC50_RS02690	E5E95_RS01415
OG0000532	EXC50_RS00575	E5E95_RS01740
OG0000533	EXC50_RS03490	E5E95_RS00600
OG0000534	EXC50_RS00395	E5E95_RS00380
OG0000535	EXC50_RS00045	E5E95_RS00045
OG0000536	EXC50_RS02385	E5E95_RS03765
OG0000537	EXC50_RS03360	E5E95_RS00725
OG0000538	EXC50_RS02965	E5E95_RS01140
OG0000539	EXC50_RS00220	E5E95_RS00210
OG0000540	EXC50_RS01485	E5E95_RS02840
OG0000541	EXC50_RS01560	E5E95_RS02920
OG0000543	EXC50_RS00505, EXC50_RS03730	E5E95_RS02460
OG0000544	EXC50_RS02835	E5E95_RS01270
OG0000545	EXC50_RS00770	E5E95_RS01945
OG0000546	EXC50_RS01630	E5E95_RS02990
OG0000547	EXC50_RS01750	E5E95_RS03110
OG0000548	EXC50_RS00535	E5E95_RS01615
OG0000549	EXC50_RS02160	E5E95_RS03535
OG0000550	EXC50_RS02305	E5E95_RS03680
OG0000553	EXC50_RS01530	E5E95_RS02890
OG0000554	EXC50_RS01245	E5E95_RS02600
OG0000555	EXC50_RS04055	E5E95_RS04170
OG0000556	EXC50_RS03790, EXC50_RS03775	E5E95_RS02515
OG0000557	EXC50_RS02825	E5E95_RS01280
OG0000558	EXC50_RS02855	E5E95_RS01250
OG0000559	EXC50_RS00655	E5E95_RS01810
OG0000560	EXC50_RS00760	E5E95_RS01930
OG0000561	EXC50_RS02980	E5E95_RS01125
OG0000562	EXC50_RS00765	E5E95_RS01935
OG0000563	EXC50_RS00750	E5E95_RS01920
OG0000564	EXC50_RS04095	E5E95_RS03980
OG0000565	EXC50_RS00810	E5E95_RS01985
OG0000566	EXC50_RS00800	E5E95_RS01975
OG0000567	EXC50_RS00775	E5E95_RS01950
OG0000568	EXC50_RS03400	E5E95_RS00685
OG0000569	EXC50_RS02850	E5E95_RS01255
OG0000570	EXC50_RS02845	E5E95_RS01260
OG0000571	EXC50_RS02840	E5E95_RS01265
OG0000572	EXC50_RS02820	E5E95_RS01285
OG0000573	EXC50_RS00650	E5E95_RS01805
OG0000574	EXC50_RS02780	E5E95_RS01325
OG0000575	EXC50_RS02865	E5E95_RS01240
OG0000576	EXC50_RS00610	E5E95_RS01765
OG0000577	EXC50_RS01505	E5E95_RS02860
OG0000578	EXC50_RS01525	E5E95_RS02885
OG0000579	EXC50_RS00740	E5E95_RS01900
OG0000580	EXC50_RS04050	E5E95_RS04160
OG0000581	EXC50_RS00725	E5E95_RS01885
OG0000582	EXC50_RS04100	E5E95_RS03970
OG0000583	EXC50_RS00640	E5E95_RS01795
OG0000584	EXC50_RS03755	E5E95_RS02485, E5E95_RS01705
OG0000586	EXC50_RS00625	E5E95_RS01780
OG0000587	EXC50_RS03910	E5E95_RS04030
OG0000588	EXC50_RS00600	E5E95_RS01755
OG0000590	EXC50_RS03745	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475
OG0000591	EXC50_RS03890	E5E95_RS04205
OG0000592	EXC50_RS01495	E5E95_RS02850
OG0000593	EXC50_RS02370	E5E95_RS03745
OG0000594	EXC50_RS02860	E5E95_RS01245
OG0000598	EXC50_RS00690	E5E95_RS01850
OG0000599	EXC50_RS00695	E5E95_RS01855
OG0000600	EXC50_RS02480	E5E95_RS02490
OG0000601	EXC50_RS00755	E5E95_RS01925
OG0000602	EXC50_RS00980	E5E95_RS02155
OG0000603	EXC50_RS03765	E5E95_RS02495
OG0000604	EXC50_RS04240	E5E95_RS04220
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	E5E95_RS02500
OG0000606	EXC50_RS00730	E5E95_RS01890
OG0000607	EXC50_RS04105	E5E95_RS03855
OG0000608	EXC50_RS04000	E5E95_RS01940
OG0000609	EXC50_RS03905	E5E95_RS03860
OG0000610	EXC50_RS04245	E5E95_RS04190
OG0000612	EXC50_RS03995	E5E95_RS04010
OG0000615	EXC50_RS01535	E5E95_RS02895
OG0000618	EXC50_RS02125	E5E95_RS03500
OG0000619	EXC50_RS00735	E5E95_RS01895
OG0000620	EXC50_RS03885	E5E95_RS04025
