Orthogroup	MHP_ES2L_protein	MHP_MHP691_protein
OG0000590	WP_218833877.1	WP_160585200.1
OG0000591	WP_041361678.1	WP_160607816.1
OG0000592	WP_179221186.1	WP_160608070.1
OG0000593	WP_011206475.1	WP_160585251.1
OG0000594	WP_179221271.1	WP_160607753.1
OG0000595	WP_240536637.1	WP_014579703.1
OG0000596	WP_094521768.1	WP_252862181.1
OG0000597	WP_014579787.1	WP_020835695.1
OG0000598	WP_160584731.1	WP_160608025.1
OG0000599	WP_014579714.1	WP_014579714.1
OG0000600	WP_179221049.1	WP_160608024.1
OG0000601	WP_240536657.1	WP_160607872.1
OG0000602	WP_240536609.1	WP_258555566.1
OG0000603	WP_179221248.1	WP_240536353.1
OG0000604	WP_240536656.1	WP_225972969.1
OG0000605	WP_179221136.1	WP_160608106.1
OG0000606	WP_179221207.1	WP_160607692.1
OG0000607	WP_179221209.1	WP_160607694.1
OG0000608	WP_179221105.1	WP_160590234.1
OG0000612	WP_011206323.1	WP_160607826.1
OG0000613	WP_160600802.1	WP_258555565.1
OG0000614	WP_011290300.1	WP_011290300.1
OG0000616	WP_179221099.1	WP_308704681.1
OG0000617	WP_258555257.1	WP_240536501.1
OG0000618	WP_240536648.1	WP_258555590.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_011284157.1
OG0000621	WP_240536617.1	WP_160585712.1
OG0000622	WP_179221137.1	WP_160607668.1
OG0000624	WP_020835859.1	WP_160608096.1
OG0000625	WP_002557992.1	WP_258555629.1
OG0000626	WP_179221200.1	WP_167871266.1
OG0000630	WP_002557993.1	WP_002557993.1
OG0000633	WP_179221208.1	WP_160584945.1
OG0000635	WP_094521655.1	WP_135618734.1
OG0000636	WP_094521557.1	WP_135618745.1
OG0000638	WP_179221091.1	WP_160608068.1
OG0000642	WP_179221112.1	WP_020835697.1
OG0000646	WP_179221113.1	WP_158520147.1
OG0000652	WP_269076340.1	WP_014579770.1
OG0000655	WP_240536588.1	WP_094521688.1
OG0000656	WP_233688423.1	WP_233688423.1
OG0000662	WP_179221115.1	WP_158632000.1
OG0000664	WP_334199378.1	WP_308704682.1
OG0000665	WP_233688424.1	WP_233688424.1
