Orthogroup	MHP_F72C_proteins	MHP_232_proteins
OG0000568	WP_146379498.1	WP_011206097.1
OG0000569	WP_146379543.1	WP_011205988.1
OG0000570	WP_146379544.1	WP_011205987.1
OG0000571	WP_135618664.1	WP_011205986.1
OG0000572	WP_146379546.1	WP_011205982.1
OG0000573	WP_135618777.1	WP_011206160.1
OG0000574	WP_014579714.1	WP_044284820.1
OG0000575	WP_146379542.1	WP_011205991.1
OG0000576	WP_011290145.1	WP_011206153.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_146379677.1	WP_011206329.1
OG0000579	WP_146379623.1	WP_011206178.1
OG0000580	WP_225972994.1	WP_044284840.1
OG0000581	WP_146379624.1	WP_011206175.1
OG0000582	WP_225973028.1	WP_011205984.1
OG0000583	WP_011290150.1	WP_011206158.1
OG0000586	WP_146379577.1	WP_238374144.1
OG0000587	WP_240536501.1	WP_173670106.1
OG0000588	WP_192894289.1	WP_173670105.1
OG0000591	WP_225972965.1	WP_165255037.1
OG0000592	WP_094521725.1	WP_011206323.1
OG0000593	WP_146379763.1	WP_011206512.1
OG0000594	WP_146379780.1	WP_044284777.1
OG0000596	WP_146379584.1	WP_011206168.1
OG0000598	WP_192894290.1	WP_011206169.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000601	WP_020835695.1	WP_014579787.1
OG0000602	WP_146379597.1	WP_011206220.1
OG0000604	WP_258555422.1	WP_269076338.1
OG0000606	WP_014579783.1	WP_011206176.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000609	WP_158520147.1	WP_158209056.1
OG0000611	WP_225973003.1	WP_232039500.1
OG0000612	WP_225973036.1	WP_232039520.1
OG0000615	WP_146379679.1	WP_232039547.1
OG0000618	WP_146379738.1	WP_011206463.1
