Orthogroup	MHP_NCTC10127_genes	MHP_UFV01_genes
OG0000509	EXC50_RS00295	FEF30_RS00600
OG0000510	EXC50_RS00305	FEF30_RS00610
OG0000511	EXC50_RS03655	FEF30_RS00745
OG0000512	EXC50_RS01400	FEF30_RS02930
OG0000513	EXC50_RS02270	FEF30_RS00145
OG0000514	EXC50_RS01700	FEF30_RS03240
OG0000515	EXC50_RS02525	FEF30_RS01885
OG0000516	EXC50_RS00955	FEF30_RS04330
OG0000517	EXC50_RS00065	FEF30_RS00395
OG0000518	EXC50_RS01945	FEF30_RS03455
OG0000519	EXC50_RS03300	FEF30_RS01095
OG0000520	EXC50_RS03175	FEF30_RS01220
OG0000521	EXC50_RS00275	FEF30_RS00580
OG0000522	EXC50_RS00310	FEF30_RS00615
OG0000523	EXC50_RS02205	FEF30_RS00080
OG0000524	EXC50_RS01515	FEF30_RS03045
OG0000525	EXC50_RS02170	FEF30_RS04105
OG0000526	EXC50_RS04005	FEF30_RS02235
OG0000527	EXC50_RS00720	FEF30_RS02175
OG0000528	EXC50_RS00960	FEF30_RS02395
OG0000529	EXC50_RS01090	FEF30_RS02615
OG0000530	EXC50_RS01200	FEF30_RS02720
OG0000531	EXC50_RS02690	FEF30_RS01715
OG0000532	EXC50_RS00575	FEF30_RS01945
OG0000533	EXC50_RS03490	FEF30_RS00915
OG0000534	EXC50_RS00395	FEF30_RS00695
OG0000535	EXC50_RS00045	FEF30_RS04175
OG0000536	EXC50_RS02385	FEF30_RS00260
OG0000537	EXC50_RS03360	FEF30_RS01035
OG0000538	EXC50_RS02965	FEF30_RS01435
OG0000539	EXC50_RS00220	FEF30_RS00530
OG0000540	EXC50_RS01485	FEF30_RS03015
OG0000541	EXC50_RS01560	FEF30_RS03095
OG0000542	EXC50_RS00365	FEF30_RS00665
OG0000544	EXC50_RS02835	FEF30_RS04245
OG0000545	EXC50_RS00770	FEF30_RS02225
OG0000546	EXC50_RS01630	FEF30_RS03165
OG0000547	EXC50_RS01750	FEF30_RS03290
OG0000548	EXC50_RS00535	FEF30_RS01910
OG0000549	EXC50_RS02160	FEF30_RS04100
OG0000550	EXC50_RS02305	FEF30_RS00180
OG0000551	EXC50_RS01825	FEF30_RS03360
OG0000552	EXC50_RS01980	FEF30_RS03490
OG0000553	EXC50_RS01530	FEF30_RS04365
OG0000554	EXC50_RS01245	FEF30_RS02765
OG0000555	EXC50_RS04055	FEF30_RS03295
OG0000557	EXC50_RS02825	FEF30_RS01575
OG0000558	EXC50_RS02855	FEF30_RS01545
OG0000559	EXC50_RS00655	FEF30_RS02015
OG0000560	EXC50_RS00760	FEF30_RS02215
OG0000561	EXC50_RS02980	FEF30_RS01420
OG0000562	EXC50_RS00765	FEF30_RS02220
OG0000563	EXC50_RS00750	FEF30_RS02205
OG0000564	EXC50_RS04095	FEF30_RS01600
OG0000565	EXC50_RS00810	FEF30_RS02260
OG0000566	EXC50_RS00800	FEF30_RS02245
OG0000567	EXC50_RS00775	FEF30_RS02230
OG0000568	EXC50_RS03400	FEF30_RS00995
OG0000569	EXC50_RS02850	FEF30_RS01550
OG0000570	EXC50_RS02845	FEF30_RS04240
OG0000571	EXC50_RS02840	FEF30_RS01560
OG0000572	EXC50_RS02820	FEF30_RS01580
OG0000573	EXC50_RS00650	FEF30_RS02010
OG0000574	EXC50_RS02780	FEF30_RS01620
OG0000575	EXC50_RS02865	FEF30_RS01535
OG0000576	EXC50_RS00610	FEF30_RS01970
OG0000577	EXC50_RS01505	FEF30_RS03035
OG0000578	EXC50_RS01525	FEF30_RS03055
OG0000579	EXC50_RS00740	FEF30_RS02195
OG0000580	EXC50_RS04050	FEF30_RS03170
OG0000581	EXC50_RS00725	FEF30_RS02180
OG0000582	EXC50_RS04100	FEF30_RS04250
OG0000583	EXC50_RS00640	FEF30_RS02000
OG0000584	EXC50_RS03755	FEF30_RS02075
OG0000586	EXC50_RS00625	FEF30_RS01985
OG0000587	EXC50_RS03910	FEF30_RS04465
OG0000588	EXC50_RS00600	FEF30_RS01960
OG0000591	EXC50_RS03890	FEF30_RS03985
OG0000592	EXC50_RS01495	FEF30_RS03025
OG0000593	EXC50_RS02370	FEF30_RS00245
OG0000594	EXC50_RS02860	FEF30_RS01540
OG0000598	EXC50_RS00690	FEF30_RS02145
OG0000599	EXC50_RS00695	FEF30_RS02150
OG0000600	EXC50_RS02480	FEF30_RS02080
OG0000601	EXC50_RS00755	FEF30_RS02210
OG0000602	EXC50_RS00980	FEF30_RS02420
OG0000604	EXC50_RS04240	FEF30_RS04060
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	FEF30_RS02095
OG0000606	EXC50_RS00730	FEF30_RS02185
OG0000607	EXC50_RS04105	FEF30_RS01525
OG0000610	EXC50_RS04245	FEF30_RS03840
OG0000612	EXC50_RS03995	FEF30_RS02155
OG0000615	EXC50_RS01535	FEF30_RS03065
OG0000618	EXC50_RS02125	FEF30_RS03625
OG0000619	EXC50_RS00735	FEF30_RS02190
OG0000621	EXC50_RS04230	FEF30_RS03980
OG0000645	EXC50_RS02900	FEF30_RS01495
