Orthogroup	MHP_NCTC10127_genes	MHP_111A_genes
OG0000554	EXC50_RS01245	NB623_RS02535
OG0000555	EXC50_RS04055	NB623_RS03080
OG0000556	EXC50_RS03790, EXC50_RS03775	NB623_RS01970
OG0000557	EXC50_RS02825	NB623_RS01385
OG0000558	EXC50_RS02855	NB623_RS01355
OG0000559	EXC50_RS00655	NB623_RS01825
OG0000560	EXC50_RS00760	NB623_RS02290
OG0000561	EXC50_RS02980	NB623_RS01240
OG0000562	EXC50_RS00765	NB623_RS02280
OG0000563	EXC50_RS00750	NB623_RS02295
OG0000564	EXC50_RS04095	NB623_RS01405
OG0000565	EXC50_RS00810	NB623_RS02220
OG0000566	EXC50_RS00800	NB623_RS02240
OG0000567	EXC50_RS00775	NB623_RS02265
OG0000568	EXC50_RS03400	NB623_RS00685
OG0000569	EXC50_RS02850	NB623_RS01360
OG0000570	EXC50_RS02845	NB623_RS01365
OG0000571	EXC50_RS02840	NB623_RS01370
OG0000572	EXC50_RS02820	NB623_RS01390
OG0000573	EXC50_RS00650	NB623_RS01820
OG0000574	EXC50_RS02780	NB623_RS01425
OG0000575	EXC50_RS02865	NB623_RS01350
OG0000576	EXC50_RS00610	NB623_RS01775
OG0000577	EXC50_RS01505	NB623_RS02825
OG0000578	EXC50_RS01525	NB623_RS02850
OG0000579	EXC50_RS00740	NB623_RS02305
OG0000580	EXC50_RS04050	NB623_RS02955
OG0000581	EXC50_RS00725	NB623_RS02310
OG0000582	EXC50_RS04100	NB623_RS01380
OG0000583	EXC50_RS00640	NB623_RS01810
OG0000584	EXC50_RS03715, EXC50_RS03705, EXC50_RS03755	NB623_RS01955
OG0000586	EXC50_RS00625	NB623_RS01795
OG0000587	EXC50_RS03910	NB623_RS02215
OG0000588	EXC50_RS00600	NB623_RS01765
OG0000590	EXC50_RS03745	NB623_RS01945
OG0000591	EXC50_RS03890	NB623_RS02200
OG0000592	EXC50_RS01495	NB623_RS02815
OG0000593	EXC50_RS02370	NB623_RS03720
OG0000596	EXC50_RS00685	NB623_RS01870
OG0000598	EXC50_RS00690	NB623_RS01875
OG0000599	EXC50_RS00695	NB623_RS01880
OG0000600	EXC50_RS02480, EXC50_RS03760	NB623_RS01960
OG0000603	EXC50_RS03765	NB623_RS01965
OG0000604	EXC50_RS04240	NB623_RS02965
OG0000607	EXC50_RS04105	NB623_RS01335
OG0000608	EXC50_RS04000	NB623_RS02275
OG0000609	EXC50_RS03905	NB623_RS02250
OG0000610	EXC50_RS04245	NB623_RS00675
OG0000611	EXC50_RS00090	NB623_RS00100
OG0000612	EXC50_RS03995	NB623_RS01885
OG0000616	EXC50_RS03795	NB623_RS01975
