Orthogroup	MHP_NCTC10127_genes	MHP_MHP682_genes
OG0000536	EXC50_RS02385	DR097_RS03385
OG0000537	EXC50_RS03360	DR097_RS01095
OG0000538	EXC50_RS02965	DR097_RS00500
OG0000539	EXC50_RS00220	DR097_RS00220
OG0000540	EXC50_RS01485	DR097_RS01560
OG0000541	EXC50_RS01560	DR097_RS01485
OG0000542	EXC50_RS00365	DR097_RS00080
OG0000543	EXC50_RS00505	DR097_RS02005
OG0000544	EXC50_RS02835	DR097_RS04515
OG0000545	EXC50_RS00770	DR097_RS02535
OG0000546	EXC50_RS01630	DR097_RS01750
OG0000547	EXC50_RS01750	DR097_RS04935
OG0000548	EXC50_RS00535	DR097_RS03110
OG0000549	EXC50_RS02160	DR097_RS04765
OG0000550	EXC50_RS02305	DR097_RS00615
OG0000551	EXC50_RS01825	DR097_RS01310
OG0000552	EXC50_RS01980	DR097_RS01380
OG0000553	EXC50_RS01530	DR097_RS04650
OG0000554	EXC50_RS01245	DR097_RS02160
OG0000556	EXC50_RS03790, EXC50_RS03775	DR097_RS04700
OG0000557	EXC50_RS02825	DR097_RS00355
OG0000558	EXC50_RS02855	DR097_RS00385
OG0000559	EXC50_RS00655	DR097_RS01855
OG0000560	EXC50_RS00760	DR097_RS02550
OG0000561	EXC50_RS02980	DR097_RS00515
OG0000562	EXC50_RS00765	DR097_RS02545
OG0000563	EXC50_RS00750	DR097_RS02565
OG0000564	EXC50_RS04095	DR097_RS03805
OG0000565	EXC50_RS00810	DR097_RS02490
OG0000566	EXC50_RS00800	DR097_RS02505
OG0000567	EXC50_RS00775	DR097_RS02530
OG0000568	EXC50_RS03400	DR097_RS01135
OG0000569	EXC50_RS02850	DR097_RS00380
OG0000570	EXC50_RS02845	DR097_RS04520
OG0000571	EXC50_RS02840	DR097_RS00370
OG0000572	EXC50_RS02820	DR097_RS00350
OG0000573	EXC50_RS00650	DR097_RS01860
OG0000575	EXC50_RS02865	DR097_RS00395
OG0000576	EXC50_RS00610	DR097_RS01905
OG0000577	EXC50_RS01505	DR097_RS01540
OG0000578	EXC50_RS01525	DR097_RS01520
OG0000579	EXC50_RS00740	DR097_RS03415
OG0000580	EXC50_RS04050	DR097_RS04150
OG0000581	EXC50_RS00725	DR097_RS03400
OG0000582	EXC50_RS04100	DR097_RS04510
OG0000583	EXC50_RS00640	DR097_RS01870
OG0000584	EXC50_RS03755	DR097_RS02035
OG0000586	EXC50_RS00625	DR097_RS01885
OG0000587	EXC50_RS03910	DR097_RS04895
OG0000590	EXC50_RS03745	DR097_RS02025
OG0000591	EXC50_RS03890	DR097_RS00880
OG0000592	EXC50_RS01495	DR097_RS01550
OG0000593	EXC50_RS02370	DR097_RS00550
OG0000594	EXC50_RS02860	DR097_RS00390
OG0000600	EXC50_RS02480	DR097_RS02040
OG0000601	EXC50_RS00755	DR097_RS02555
OG0000603	EXC50_RS03765	DR097_RS02045
OG0000604	EXC50_RS04240	DR097_RS04140
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	DR097_RS02050
OG0000606	EXC50_RS00730	DR097_RS03405
OG0000607	EXC50_RS04105	DR097_RS00405
OG0000608	EXC50_RS04000	DR097_RS04730
OG0000610	EXC50_RS04245	DR097_RS04060
OG0000611	EXC50_RS00090	DR097_RS02465
OG0000615	EXC50_RS01535	DR097_RS01510
OG0000616	EXC50_RS03795	DR097_RS02065
OG0000618	EXC50_RS02125	DR097_RS03000
OG0000619	EXC50_RS00735	DR097_RS03410
OG0000621	EXC50_RS04230	DR097_RS04020
